b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,-,-,-,2.80,0
14-Sep-17,-,-,-,2.80,0
13-Sep-17,-,-,-,2.80,0
12-Sep-17,2.68,2.80,2.58,2.80,5149
11-Sep-17,-,-,-,2.80,0
8-Sep-17,2.80,2.80,2.80,2.80,120
7-Sep-17,2.80,2.97,2.68,2.97,369
6-Sep-17,-,-,-,2.97,0
5-Sep-17,-,-,-,2.97,0
4-Sep-17,-,-,-,2.97,0
1-Sep-17,-,-,-,2.97,0
31-Aug-17,2.97,2.97,2.74,2.97,2637
30-Aug-17,-,-,-,2.97,0
29-Aug-17,2.87,2.97,2.75,2.97,6388
28-Aug-17,3.09,3.10,2.97,2.97,6510
25-Aug-17,3.01,3.09,3.01,3.09,101
24-Aug-17,3.01,3.01,3.01,3.01,1
23-Aug-17,3.15,3.15,2.87,2.87,2
22-Aug-17,2.90,2.90,2.90,2.90,100
21-Aug-17,2.88,2.88,2.77,2.77,1215
18-Aug-17,2.85,2.85,2.85,2.85,861
17-Aug-17,3.14,3.14,2.85,2.85,202
16-Aug-17,3.14,3.14,3.14,3.14,1
14-Aug-17,3.12,3.14,2.90,3.14,1106
11-Aug-17,3.12,3.12,3.12,3.12,1
10-Aug-17,3.12,3.12,3.12,3.12,4
9-Aug-17,3.13,3.13,3.08,3.12,110
8-Aug-17,3.15,3.15,3.15,3.15,1
7-Aug-17,3.07,3.15,2.94,3.15,84
4-Aug-17,3.13,3.13,3.13,3.13,1
3-Aug-17,3.13,3.13,3.13,3.13,2
2-Aug-17,3.13,3.13,3.13,3.13,43
1-Aug-17,3.13,3.13,3.08,3.13,106
31-Jul-17,3.20,3.20,3.05,3.14,1403
28-Jul-17,3.25,3.25,2.95,3.25,6076
27-Jul-17,3.25,3.25,3.04,3.20,4851
26-Jul-17,3.17,3.30,3.10,3.30,661
25-Jul-17,3.28,3.28,3.19,3.19,4634
24-Jul-17,3.28,3.28,3.28,3.28,1
21-Jul-17,3.50,3.50,3.35,3.37,1335
20-Jul-17,3.49,3.49,3.49,3.49,1000
19-Jul-17,3.49,3.49,3.49,3.49,1
18-Jul-17,3.50,3.50,3.50,3.50,1
17-Jul-17,3.50,3.50,3.50,3.50,77
14-Jul-17,3.50,3.50,3.38,3.50,199
13-Jul-17,3.50,3.50,3.50,3.50,2
12-Jul-17,3.50,3.50,3.38,3.38,679
11-Jul-17,3.50,3.50,3.50,3.50,2
10-Jul-17,3.38,3.48,3.38,3.48,1403
7-Jul-17,3.64,3.64,3.45,3.45,4709
6-Jul-17,3.65,3.65,3.65,3.65,2
5-Jul-17,3.59,3.59,3.59,3.59,1
4-Jul-17,3.59,3.59,3.59,3.59,1
3-Jul-17,3.60,3.60,3.59,3.59,2
30-Jun-17,3.62,3.62,3.60,3.60,1201
