b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,10.95,11.00,8.00,8.70,285451
14-Sep-17,11.47,11.83,11.47,11.69,50889
13-Sep-17,10.67,11.50,10.67,11.47,16045
12-Sep-17,11.00,11.30,10.80,11.05,16303
11-Sep-17,10.80,11.30,10.41,11.00,38429
8-Sep-17,9.93,10.90,9.76,10.56,64791
7-Sep-17,9.66,9.92,9.66,9.82,1278
6-Sep-17,9.76,9.90,9.66,9.77,4922
5-Sep-17,9.53,9.65,9.53,9.65,804
4-Sep-17,9.51,9.88,9.51,9.75,2603
1-Sep-17,9.40,9.70,9.40,9.70,4810
31-Aug-17,9.55,9.65,9.25,9.65,10679
30-Aug-17,9.50,9.70,9.50,9.69,3529
29-Aug-17,9.52,9.80,9.52,9.75,5572
28-Aug-17,10.00,10.00,9.30,9.70,6829
25-Aug-17,9.94,9.94,9.33,9.65,110462
24-Aug-17,8.62,10.40,8.62,9.97,186884
23-Aug-17,8.35,8.50,8.35,8.50,5681
22-Aug-17,8.49,8.50,8.32,8.49,4038
21-Aug-17,8.22,8.48,8.22,8.48,2597
18-Aug-17,8.44,8.44,8.21,8.44,905
17-Aug-17,8.49,8.49,8.21,8.44,6147
16-Aug-17,8.42,8.49,8.39,8.48,1309
14-Aug-17,8.65,8.65,8.50,8.50,279
11-Aug-17,8.63,8.63,8.50,8.60,1145
10-Aug-17,8.60,8.68,8.50,8.68,1337
9-Aug-17,8.57,8.69,8.50,8.69,2291
8-Aug-17,8.61,8.75,8.60,8.70,1202
7-Aug-17,8.75,8.78,8.70,8.75,3230
4-Aug-17,8.75,8.77,8.71,8.77,809
3-Aug-17,8.75,8.77,8.73,8.73,386
2-Aug-17,8.76,8.77,8.65,8.74,2405
1-Aug-17,8.48,8.80,8.42,8.65,13463
31-Jul-17,8.50,8.50,8.41,8.50,7775
28-Jul-17,8.39,8.50,8.34,8.49,18597
27-Jul-17,8.30,8.50,8.13,8.47,17146
26-Jul-17,8.17,8.35,8.12,8.35,7005
25-Jul-17,8.10,8.18,8.06,8.18,1551
24-Jul-17,8.18,8.28,8.06,8.16,8737
21-Jul-17,8.18,8.30,8.12,8.18,6168
20-Jul-17,8.29,8.37,8.11,8.18,17952
19-Jul-17,8.01,8.39,8.01,8.14,29946
18-Jul-17,7.85,8.24,7.80,8.08,14243
17-Jul-17,7.75,7.84,7.70,7.84,10342
14-Jul-17,7.73,7.80,7.66,7.80,3422
13-Jul-17,7.55,7.75,7.55,7.74,2205
12-Jul-17,7.60,7.77,7.55,7.75,1503
11-Jul-17,7.80,7.80,7.61,7.78,9441
10-Jul-17,7.84,7.84,7.69,7.84,378
7-Jul-17,7.84,7.84,7.61,7.84,1060
6-Jul-17,7.70,7.84,7.70,7.84,835
5-Jul-17,7.70,7.78,7.70,7.78,2532
4-Jul-17,7.70,7.78,7.70,7.78,2136
3-Jul-17,-,-,-,7.78,0
30-Jun-17,7.78,7.78,7.78,7.78,2420
29-Jun-17,7.79,7.79,7.79,7.79,130
28-Jun-17,7.81,7.81,7.80,7.80,3000
27-Jun-17,7.80,7.84,7.75,7.83,4971
26-Jun-17,7.60,7.80,7.60,7.80,19464
23-Jun-17,7.62,7.77,7.55,7.77,4600
22-Jun-17,7.74,7.77,7.55,7.60,6582
21-Jun-17,7.75,7.79,7.70,7.77,8925
20-Jun-17,7.50,7.95,7.50,7.75,32741
19-Jun-17,7.29,7.55,7.26,7.55,12475
16-Jun-17,7.23,7.34,7.23,7.34,1141
14-Jun-17,7.22,7.35,7.22,7.25,8242
13-Jun-17,7.24,7.34,7.24,7.27,2030
12-Jun-17,7.25,7.35,7.25,7.25,7917
9-Jun-17,7.24,7.40,7.24,7.32,451
8-Jun-17,7.23,7.40,7.23,7.31,4525
7-Jun-17,7.27,7.31,7.25,7.31,4518
6-Jun-17,7.23,7.30,7.23,7.25,1097
5-Jun-17,7.27,7.29,7.25,7.25,1040
2-Jun-17,7.26,7.39,7.26,7.39,12
1-Jun-17,7.35,7.40,7.25,7.40,7782
31-May-17,7.42,7.42,7.25,7.31,3537
30-May-17,7.22,7.30,7.22,7.30,324
29-May-17,7.22,7.25,7.22,7.23,1838
26-May-17,7.21,7.23,7.21,7.22,1940
25-May-17,7.48,7.48,7.21,7.27,24690
24-May-17,7.30,7.50,7.30,7.41,18789
23-May-17,7.45,7.45,7.30,7.30,11157
22-May-17,7.50,7.50,7.40,7.40,9038
19-May-17,7.15,7.77,7.15,7.40,45684
18-May-17,7.17,7.24,7.08,7.15,5074
17-May-17,7.20,7.25,7.05,7.10,18306
16-May-17,7.00,7.05,6.90,6.96,10609
15-May-17,6.89,6.98,6.82,6.86,7652
12-May-17,6.92,6.92,6.89,6.90,148
