b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.82,4.82,4.65,4.65,48544
14-Sep-17,4.82,4.82,4.78,4.80,7440
13-Sep-17,4.82,4.82,4.77,4.80,856
12-Sep-17,4.83,4.83,4.77,4.80,11068
11-Sep-17,4.83,4.83,4.78,4.78,2322
8-Sep-17,4.83,4.83,4.79,4.80,5224
7-Sep-17,4.84,4.84,4.78,4.83,11242
6-Sep-17,4.83,4.84,4.78,4.80,32937
5-Sep-17,4.83,4.83,4.78,4.79,2376
4-Sep-17,4.86,4.86,4.78,4.84,4246
1-Sep-17,4.85,4.86,4.78,4.80,18678
31-Aug-17,4.80,4.86,4.78,4.78,423264
30-Aug-17,4.89,4.89,4.79,4.79,9615
29-Aug-17,4.89,4.89,4.78,4.80,143767
28-Aug-17,4.89,4.89,4.79,4.79,69511
25-Aug-17,4.86,4.90,4.80,4.85,37838
24-Aug-17,4.86,4.86,4.79,4.86,13414
23-Aug-17,4.89,4.89,4.79,4.80,24801
22-Aug-17,4.89,4.90,4.80,4.90,24058
21-Aug-17,4.82,4.88,4.80,4.88,12918
18-Aug-17,4.88,4.88,4.81,4.81,3955
17-Aug-17,4.87,4.87,4.81,4.81,2397
16-Aug-17,4.89,4.89,4.82,4.82,23474
14-Aug-17,4.83,4.83,4.83,4.83,291
11-Aug-17,4.89,4.89,4.83,4.83,3496
10-Aug-17,4.89,4.89,4.80,4.89,1588
9-Aug-17,4.90,4.90,4.82,4.82,28181
8-Aug-17,4.90,4.90,4.80,4.89,8321
7-Aug-17,4.84,5.00,4.82,4.84,26527
4-Aug-17,4.84,4.84,4.79,4.84,3935
3-Aug-17,4.84,4.84,4.79,4.79,4048
2-Aug-17,4.84,4.84,4.79,4.84,145
1-Aug-17,4.84,4.84,4.79,4.79,3935
31-Jul-17,4.81,4.85,4.80,4.84,12560
28-Jul-17,4.85,4.85,4.81,4.81,7317
27-Jul-17,4.86,4.86,4.81,4.81,11264
26-Jul-17,4.85,4.85,4.83,4.83,18677
25-Jul-17,4.85,4.85,4.83,4.85,26455
24-Jul-17,4.93,4.93,4.83,4.83,3219
21-Jul-17,4.90,4.90,4.81,4.89,2255
20-Jul-17,4.90,4.90,4.83,4.90,5288
19-Jul-17,4.89,4.95,4.75,4.83,623793
18-Jul-17,4.83,4.89,4.82,4.85,3494
17-Jul-17,4.93,4.93,4.84,4.84,12253
14-Jul-17,4.88,4.95,4.83,4.83,20270
13-Jul-17,4.92,4.92,4.83,4.83,10722
12-Jul-17,4.95,4.95,4.86,4.90,163198
11-Jul-17,4.98,4.98,4.88,4.89,13508
10-Jul-17,4.91,4.93,4.86,4.93,7958
7-Jul-17,4.85,4.90,4.82,4.88,56117
6-Jul-17,4.88,4.91,4.85,4.85,10766
5-Jul-17,4.86,4.97,4.85,4.88,113801
4-Jul-17,4.65,4.95,4.64,4.90,170997
3-Jul-17,4.82,4.82,4.68,4.72,48268
30-Jun-17,4.90,4.90,4.82,4.82,118554
29-Jun-17,5.02,5.02,4.87,4.90,52982
28-Jun-17,5.08,5.09,4.95,4.95,153957
27-Jun-17,5.11,5.11,4.92,5.10,136058
26-Jun-17,5.20,5.20,5.11,5.11,137816
23-Jun-17,5.27,5.27,5.20,5.20,146137
