b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,45.60,46.23,45.35,46.23,44391
14-Sep-17,45.61,45.91,45.41,45.50,10670
13-Sep-17,46.19,46.34,45.61,45.61,12228
12-Sep-17,46.01,46.60,45.70,46.20,23018
11-Sep-17,46.16,46.63,46.16,46.49,65085
8-Sep-17,45.82,46.47,45.65,46.41,30151
7-Sep-17,45.92,46.34,45.27,46.15,19058
6-Sep-17,46.29,46.63,46.00,46.25,39256
5-Sep-17,46.40,46.75,45.71,46.01,16239
4-Sep-17,46.46,46.64,46.35,46.60,5678
1-Sep-17,46.71,47.05,46.71,46.75,23371
31-Aug-17,47.00,47.12,46.81,47.12,21952
30-Aug-17,46.00,47.09,46.00,47.00,40836
29-Aug-17,46.41,46.60,45.51,45.60,21612
28-Aug-17,46.10,46.80,46.10,46.72,61781
25-Aug-17,45.91,46.30,45.80,46.28,24315
24-Aug-17,45.90,46.21,45.86,46.15,12203
23-Aug-17,45.82,46.30,45.74,46.00,21910
22-Aug-17,46.01,46.50,45.81,46.30,19536
21-Aug-17,45.35,45.92,45.30,45.65,24596
18-Aug-17,45.75,45.90,45.35,45.35,8317
17-Aug-17,45.23,46.12,45.23,45.80,73367
16-Aug-17,45.02,45.70,45.02,45.21,19179
14-Aug-17,44.10,45.80,44.10,45.60,24581
11-Aug-17,44.50,44.70,44.03,44.40,19759
10-Aug-17,45.06,45.35,44.55,44.66,22866
9-Aug-17,45.15,45.35,45.02,45.10,17374
8-Aug-17,45.25,45.38,45.02,45.38,22450
7-Aug-17,45.50,45.59,45.10,45.30,21127
4-Aug-17,46.50,46.62,45.50,45.50,27757
3-Aug-17,46.10,46.50,45.95,46.50,17260
2-Aug-17,46.51,46.83,46.10,46.50,28096
1-Aug-17,46.95,46.95,46.25,46.50,49739
31-Jul-17,47.00,47.00,45.98,46.95,48132
28-Jul-17,47.11,47.22,46.70,47.00,34681
27-Jul-17,46.71,47.13,46.55,46.91,37961
26-Jul-17,47.01,47.44,46.50,47.05,44996
25-Jul-17,46.67,47.29,46.67,46.90,97589
24-Jul-17,46.00,47.45,45.82,47.35,30638
21-Jul-17,46.50,46.55,45.67,46.26,23173
20-Jul-17,46.67,47.00,46.50,46.70,25424
19-Jul-17,47.02,47.63,46.55,47.00,31266
18-Jul-17,47.50,47.60,46.34,47.00,30679
17-Jul-17,49.00,49.30,48.80,48.99,57820
14-Jul-17,48.85,49.00,48.50,48.80,102197
13-Jul-17,48.81,49.11,48.75,48.85,19852
12-Jul-17,48.61,48.88,48.61,48.75,18548
11-Jul-17,48.93,48.93,48.59,48.77,11526
10-Jul-17,49.16,49.25,48.81,48.81,14300
7-Jul-17,49.01,49.19,49.00,49.08,15718
6-Jul-17,49.01,49.19,49.00,49.08,18802
5-Jul-17,49.31,49.33,49.00,49.20,20781
4-Jul-17,49.00,49.25,48.85,49.07,41348
3-Jul-17,48.70,49.13,48.70,49.00,83336
30-Jun-17,48.41,49.05,48.41,48.82,93603
29-Jun-17,48.20,48.80,48.00,48.80,13811
28-Jun-17,48.02,48.34,48.00,48.24,12326
27-Jun-17,47.79,49.20,47.79,48.40,86222
26-Jun-17,47.51,47.75,47.38,47.75,43106
23-Jun-17,48.61,48.61,47.52,47.80,11692
22-Jun-17,49.01,49.01,48.40,48.60,39265
21-Jun-17,48.28,49.20,48.21,48.81,69451
20-Jun-17,46.97,48.99,46.80,48.95,50742
19-Jun-17,46.19,47.40,46.10,46.97,10915
16-Jun-17,47.10,47.29,46.20,46.20,60905
14-Jun-17,47.50,47.89,47.07,47.40,16739
13-Jun-17,47.73,48.19,47.00,47.93,12187
12-Jun-17,49.14,49.14,48.16,48.44,21552
9-Jun-17,48.16,49.19,48.16,49.19,19084
8-Jun-17,48.15,48.55,48.15,48.44,12218
7-Jun-17,49.02,49.30,48.28,48.50,21393
6-Jun-17,49.13,49.27,48.72,49.27,49437
5-Jun-17,48.56,49.49,48.37,49.49,60915
2-Jun-17,46.74,48.50,46.39,48.50,73161
1-Jun-17,46.32,46.62,46.02,46.45,10403
31-May-17,46.60,46.95,45.80,46.66,40963
30-May-17,45.86,46.65,45.54,46.65,42675
29-May-17,46.30,46.37,45.86,46.00,9280
26-May-17,46.31,46.60,45.86,46.43,30028
25-May-17,46.69,46.99,46.24,46.58,24611
24-May-17,46.40,47.00,46.40,46.69,20448
23-May-17,47.26,47.29,46.30,46.50,35059
22-May-17,46.98,47.97,46.68,47.40,50232
19-May-17,46.35,47.00,45.90,46.90,24209
18-May-17,46.63,46.85,45.34,46.41,87926
17-May-17,48.00,48.16,46.86,46.86,60666
16-May-17,47.42,48.50,47.04,48.50,40529
15-May-17,47.70,48.00,47.30,47.56,32054
12-May-17,48.16,48.26,47.41,47.69,29158
11-May-17,47.42,48.53,47.39,48.29,45222
10-May-17,48.00,48.10,46.93,47.42,42133
9-May-17,48.44,48.44,47.60,47.82,48238
8-May-17,45.99,48.44,45.89,48.44,143075
5-May-17,45.49,45.74,45.27,45.65,87640
4-May-17,45.16,45.73,45.15,45.55,160443
2-May-17,45.40,45.96,45.09,45.11,95881
28-Apr-17,45.61,45.74,45.02,45.40,181971
27-Apr-17,45.98,46.20,45.82,46.00,125696
26-Apr-17,46.00,46.02,45.50,45.80,240656
25-Apr-17,44.90,45.83,44.60,45.72,678673
24-Apr-17,45.00,45.10,44.64,44.89,25906
21-Apr-17,45.00,45.40,44.70,44.88,68651
20-Apr-17,45.00,45.30,44.76,44.93,57403
19-Apr-17,44.80,45.00,44.75,45.00,257544
18-Apr-17,44.60,45.00,44.60,44.72,10032
13-Apr-17,44.79,44.84,44.58,44.63,2412
12-Apr-17,44.95,44.98,44.66,44.88,20709
11-Apr-17,44.95,44.95,44.55,44.55,37630
10-Apr-17,44.40,45.19,44.38,45.00,418934
7-Apr-17,44.47,44.60,44.22,44.35,26349
6-Apr-17,44.65,44.88,44.45,44.52,25179
5-Apr-17,43.75,44.70,43.75,44.70,31548
