b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,9.79,9.91,9.50,9.50,112970
14-Sep-17,9.94,9.94,9.81,9.88,884528
13-Sep-17,9.95,10.00,9.91,9.94,114679
12-Sep-17,9.95,10.00,9.88,9.95,96711
11-Sep-17,10.00,10.04,9.73,9.95,33952
8-Sep-17,10.00,10.02,9.93,10.02,26193
7-Sep-17,10.03,10.03,9.91,10.02,20188
6-Sep-17,9.90,10.10,9.75,9.97,450455
5-Sep-17,10.00,10.10,9.76,9.80,242713
4-Sep-17,10.04,10.15,9.97,10.00,156434
1-Sep-17,9.94,10.08,9.90,10.05,311974
31-Aug-17,9.54,9.93,9.53,9.90,503975
30-Aug-17,9.54,9.59,9.47,9.54,112197
29-Aug-17,9.50,9.54,9.44,9.54,20588
28-Aug-17,9.55,9.56,9.45,9.48,18522
25-Aug-17,9.42,9.55,9.41,9.55,30824
24-Aug-17,9.43,9.54,9.43,9.54,52345
23-Aug-17,9.43,9.50,9.32,9.41,416437
22-Aug-17,9.44,9.50,9.33,9.46,396944
21-Aug-17,9.15,9.44,9.12,9.44,232369
18-Aug-17,9.00,9.12,8.92,9.07,15970
17-Aug-17,9.02,9.11,9.02,9.03,6711
16-Aug-17,8.75,9.10,8.73,9.02,115468
14-Aug-17,8.92,9.07,8.80,8.97,43196
11-Aug-17,8.80,9.05,8.68,9.05,189119
10-Aug-17,9.40,9.40,9.05,9.05,36162
9-Aug-17,9.55,9.58,9.38,9.38,22044
8-Aug-17,9.55,9.60,9.47,9.55,109705
7-Aug-17,9.64,9.66,9.60,9.63,11381
4-Aug-17,9.64,9.65,9.55,9.60,30179
3-Aug-17,9.63,9.64,9.51,9.60,31767
2-Aug-17,9.49,9.65,9.49,9.64,14249
1-Aug-17,9.50,9.62,9.49,9.62,83485
31-Jul-17,9.53,9.58,9.50,9.58,186236
28-Jul-17,9.51,9.56,9.50,9.56,16947
27-Jul-17,9.47,9.56,9.47,9.55,170958
26-Jul-17,9.50,9.55,9.45,9.55,13291
25-Jul-17,9.42,9.52,9.42,9.46,246851
24-Jul-17,9.39,9.56,9.37,9.55,53523
21-Jul-17,9.47,9.47,9.40,9.41,9955
20-Jul-17,9.56,9.57,9.47,9.50,66967
19-Jul-17,9.47,9.58,9.45,9.57,413433
18-Jul-17,9.45,9.60,9.45,9.50,39945
17-Jul-17,9.56,9.58,9.50,9.50,27854
14-Jul-17,9.50,9.55,9.40,9.55,22407
13-Jul-17,9.50,9.53,9.45,9.50,32847
12-Jul-17,9.47,9.51,9.40,9.50,49018
11-Jul-17,9.46,9.46,9.45,9.46,6555
10-Jul-17,9.44,9.46,9.36,9.45,9594
7-Jul-17,9.49,9.49,9.19,9.44,251836
6-Jul-17,9.63,9.63,9.43,9.48,28698
5-Jul-17,9.57,9.61,9.52,9.60,243551
4-Jul-17,9.60,9.61,9.50,9.58,109216
3-Jul-17,9.82,9.82,9.51,9.60,16843
30-Jun-17,9.66,9.80,9.63,9.70,299494
29-Jun-17,9.59,9.66,9.52,9.63,104872
28-Jun-17,9.56,9.68,9.51,9.51,24207
27-Jun-17,9.65,9.70,9.54,9.68,24879
26-Jun-17,9.70,9.70,9.54,9.65,157711
23-Jun-17,9.47,9.80,9.47,9.65,119798
22-Jun-17,9.35,9.49,9.35,9.47,417514
21-Jun-17,9.40,9.42,9.31,9.40,382108
20-Jun-17,9.38,9.44,9.28,9.41,264433
19-Jun-17,9.39,9.43,9.28,9.38,37678
16-Jun-17,9.29,9.40,9.29,9.30,65692
14-Jun-17,9.35,9.35,9.10,9.30,165447
13-Jun-17,9.29,9.39,9.29,9.33,91453
12-Jun-17,9.43,9.43,9.29,9.31,47363
9-Jun-17,9.40,9.44,9.30,9.39,362388
8-Jun-17,9.39,9.41,9.28,9.35,152952
7-Jun-17,9.36,9.40,9.27,9.40,40268
6-Jun-17,9.30,9.30,9.25,9.30,104146
5-Jun-17,9.35,9.40,9.30,9.30,80742
2-Jun-17,9.30,9.45,9.25,9.25,128063
1-Jun-17,9.29,9.33,9.26,9.30,47292
31-May-17,9.20,9.32,9.09,9.09,393729
30-May-17,9.16,9.30,9.14,9.30,283185
29-May-17,9.20,9.20,9.02,9.13,126593
26-May-17,9.16,9.20,9.04,9.20,249493
25-May-17,9.25,9.25,9.11,9.16,38875
24-May-17,9.15,9.26,9.15,9.26,80062
23-May-17,9.23,9.29,9.17,9.28,18132
22-May-17,9.07,9.29,9.07,9.23,141090
19-May-17,9.05,9.20,9.01,9.18,23334
18-May-17,9.01,9.19,9.00,9.14,29232
17-May-17,9.18,9.18,9.00,9.02,134231
16-May-17,9.22,9.27,9.10,9.25,45174
15-May-17,9.50,9.59,9.18,9.29,99846
12-May-17,9.27,9.31,9.25,9.28,196104
11-May-17,9.04,9.29,9.04,9.27,226093
10-May-17,9.20,9.20,9.03,9.09,478567
9-May-17,9.27,9.29,9.13,9.20,19877
8-May-17,9.00,9.20,8.88,9.20,292273
5-May-17,9.15,9.15,8.98,9.00,157282
4-May-17,9.01,9.37,9.01,9.30,140665
2-May-17,9.42,9.42,9.15,9.15,82968
28-Apr-17,9.37,9.37,9.16,9.20,41229
27-Apr-17,9.53,9.55,9.31,9.37,60660
26-Apr-17,9.39,9.50,9.31,9.50,195322
25-Apr-17,9.17,9.39,9.07,9.39,228674
24-Apr-17,9.15,9.16,9.05,9.16,121169
21-Apr-17,9.02,9.15,9.02,9.06,432793
20-Apr-17,8.94,9.14,8.94,9.02,1714289
19-Apr-17,8.78,9.00,8.77,8.94,993572
18-Apr-17,8.57,8.79,8.57,8.79,817728
13-Apr-17,8.45,8.58,8.38,8.50,328772
12-Apr-17,8.33,8.42,8.33,8.36,179132
11-Apr-17,8.48,8.48,8.33,8.33,39953
10-Apr-17,8.46,8.50,8.31,8.43,15633
7-Apr-17,8.38,8.49,8.38,8.40,21142
6-Apr-17,8.43,8.48,8.35,8.48,27266
5-Apr-17,8.33,8.50,8.30,8.50,72513
4-Apr-17,8.39,8.49,8.28,8.30,197908
3-Apr-17,8.39,8.45,8.39,8.42,17640
31-Mar-17,8.54,8.55,8.37,8.40,24209
30-Mar-17,8.55,8.58,8.53,8.55,29647
29-Mar-17,8.48,8.65,8.48,8.60,436905
28-Mar-17,8.41,8.57,8.41,8.48,378841
27-Mar-17,8.33,8.39,8.30,8.35,34103
