b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.85,12.91,12.31,12.89,3913
14-Sep-17,13.30,13.40,12.85,12.85,3888
13-Sep-17,13.98,13.98,12.74,13.55,4918
12-Sep-17,14.05,14.49,13.86,14.00,4109
11-Sep-17,14.91,14.99,14.20,14.20,4928
8-Sep-17,15.70,15.80,14.91,14.91,16540
7-Sep-17,15.85,15.85,15.32,15.74,370
6-Sep-17,15.85,15.85,15.40,15.60,769
5-Sep-17,15.85,15.85,15.50,15.60,351
4-Sep-17,15.80,15.80,15.42,15.50,265
1-Sep-17,15.69,15.85,15.50,15.85,1151
31-Aug-17,15.69,15.69,15.69,15.69,1
30-Aug-17,15.80,15.80,15.67,15.67,360
29-Aug-17,15.10,15.80,15.10,15.80,2857
28-Aug-17,14.30,15.06,14.30,15.06,4279
25-Aug-17,14.19,14.20,14.00,14.10,3452
24-Aug-17,14.54,14.71,13.90,14.19,6663
23-Aug-17,14.50,14.71,13.80,14.59,5808
22-Aug-17,15.20,15.22,14.70,14.71,5223
21-Aug-17,15.90,15.90,14.51,15.22,7786
18-Aug-17,16.40,16.40,16.25,16.25,492
17-Aug-17,16.48,16.48,16.31,16.40,142
16-Aug-17,16.75,16.75,16.75,16.75,1
14-Aug-17,16.77,16.77,16.45,16.45,878
11-Aug-17,16.45,16.77,16.45,16.77,280
10-Aug-17,16.72,16.80,16.45,16.80,342
9-Aug-17,16.72,16.72,16.72,16.72,2
8-Aug-17,16.72,16.72,16.10,16.60,795
7-Aug-17,16.70,16.80,16.30,16.40,1079
4-Aug-17,16.50,16.70,16.30,16.70,369
3-Aug-17,16.80,16.80,16.32,16.32,251
2-Aug-17,16.95,16.95,16.30,16.80,106
1-Aug-17,16.75,16.90,16.75,16.90,350
31-Jul-17,16.35,16.83,16.35,16.83,1137
28-Jul-17,16.50,16.50,16.20,16.27,237
27-Jul-17,16.20,16.50,16.20,16.50,255
26-Jul-17,16.20,16.20,16.20,16.20,297
25-Jul-17,16.30,16.30,16.20,16.20,2089
24-Jul-17,16.40,16.40,16.12,16.40,689
21-Jul-17,16.22,16.48,16.05,16.05,1136
20-Jul-17,16.23,16.49,16.23,16.49,380
19-Jul-17,16.50,16.50,16.50,16.50,120
18-Jul-17,16.95,16.95,16.50,16.50,146
17-Jul-17,16.10,16.50,16.10,16.50,1205
14-Jul-17,16.20,16.35,16.20,16.30,2926
13-Jul-17,16.41,16.41,15.87,16.30,6264
12-Jul-17,15.90,16.56,15.34,16.56,4397
11-Jul-17,17.00,17.00,16.16,16.40,5472
10-Jul-17,16.81,17.00,16.81,17.00,535
7-Jul-17,16.99,17.00,16.81,16.82,827
6-Jul-17,16.95,16.99,16.80,16.99,82
5-Jul-17,16.98,16.98,16.98,16.98,2
4-Jul-17,16.90,17.00,16.80,16.98,1326
3-Jul-17,17.00,17.00,16.60,16.95,395
