b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.95,3.98,3.90,3.98,22299
14-Sep-17,3.95,3.95,3.88,3.91,5080
13-Sep-17,3.95,3.95,3.88,3.95,1460
12-Sep-17,3.99,3.99,3.92,3.95,5803
11-Sep-17,3.95,4.03,3.95,4.00,11423
8-Sep-17,3.95,3.98,3.90,3.98,6983
7-Sep-17,3.94,3.94,3.85,3.90,11936
6-Sep-17,3.98,3.98,3.90,3.91,2232
5-Sep-17,3.98,3.98,3.90,3.92,5046
4-Sep-17,3.96,3.99,3.90,3.92,7712
1-Sep-17,3.98,3.99,3.97,3.98,2010
31-Aug-17,3.96,3.99,3.96,3.99,5513
30-Aug-17,3.95,3.98,3.89,3.98,1412
29-Aug-17,3.94,3.95,3.87,3.88,15581
28-Aug-17,3.91,3.97,3.90,3.97,5124
25-Aug-17,3.86,3.98,3.86,3.98,1976
24-Aug-17,3.88,4.00,3.75,4.00,24429
23-Aug-17,3.98,3.98,3.85,3.85,890
22-Aug-17,3.91,3.93,3.90,3.90,40814
21-Aug-17,3.90,3.92,3.84,3.91,8462
18-Aug-17,3.99,3.99,3.91,3.91,5104
17-Aug-17,4.00,4.00,3.91,3.99,14332
16-Aug-17,3.85,4.01,3.84,4.01,7307
14-Aug-17,3.87,3.96,3.87,3.95,3154
11-Aug-17,3.90,3.98,3.90,3.98,550
10-Aug-17,3.94,4.02,3.92,4.00,51491
9-Aug-17,3.82,4.03,3.82,3.98,18893
8-Aug-17,3.75,3.80,3.75,3.80,28854
7-Aug-17,3.66,3.75,3.63,3.75,80014
4-Aug-17,3.66,3.68,3.64,3.66,61298
3-Aug-17,3.66,3.68,3.61,3.68,52457
2-Aug-17,3.90,3.92,3.52,3.74,117804
1-Aug-17,3.97,3.97,3.93,3.93,3532
31-Jul-17,4.03,4.03,3.94,3.98,42553
28-Jul-17,3.94,4.03,3.93,4.03,8040
27-Jul-17,3.96,3.96,3.93,3.96,9310
26-Jul-17,3.95,4.04,3.90,4.00,32454
25-Jul-17,-,-,-,4.04,0
24-Jul-17,3.93,4.04,3.93,4.04,2892
21-Jul-17,3.94,4.05,3.90,4.05,12360
20-Jul-17,3.99,3.99,3.93,3.95,14677
19-Jul-17,3.95,3.95,3.94,3.95,4062
18-Jul-17,3.97,4.00,3.96,3.98,5070
17-Jul-17,3.99,4.00,3.96,4.00,7561
14-Jul-17,3.97,3.97,3.97,3.97,3262
13-Jul-17,3.99,4.01,3.94,4.01,14785
12-Jul-17,4.01,4.01,4.01,4.01,250
11-Jul-17,4.01,4.02,3.95,4.02,2141
10-Jul-17,3.95,4.01,3.95,4.01,12214
7-Jul-17,3.90,3.95,3.90,3.95,9960
6-Jul-17,3.97,4.01,3.95,4.01,23141
5-Jul-17,3.99,3.99,3.95,3.98,51277
4-Jul-17,4.01,4.01,3.99,3.99,41420
