b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.27,0.30,0.25,0.30,381820
14-Sep-17,0.26,0.27,0.26,0.27,65647
13-Sep-17,0.30,0.30,0.25,0.25,595085
12-Sep-17,0.30,0.31,0.29,0.30,318190
11-Sep-17,0.31,0.32,0.29,0.30,253621
8-Sep-17,0.35,0.37,0.32,0.32,418073
7-Sep-17,0.39,0.40,0.33,0.36,1122406
6-Sep-17,0.41,0.41,0.39,0.40,86981
5-Sep-17,0.41,0.42,0.39,0.41,144516
4-Sep-17,0.42,0.43,0.38,0.41,1106081
1-Sep-17,0.41,0.49,0.41,0.46,1923188
31-Aug-17,0.38,0.45,0.38,0.41,1711637
30-Aug-17,0.38,0.41,0.37,0.38,416407
29-Aug-17,0.38,0.38,0.36,0.38,325392
28-Aug-17,0.40,0.41,0.38,0.38,345162
25-Aug-17,0.39,0.45,0.37,0.39,1471384
24-Aug-17,0.38,0.40,0.35,0.36,4654595
23-Aug-17,0.41,0.41,0.37,0.39,978650
22-Aug-17,0.43,0.45,0.36,0.40,3063145
21-Aug-17,0.44,0.48,0.42,0.43,1257176
18-Aug-17,0.53,0.57,0.44,0.44,1696941
17-Aug-17,0.69,0.77,0.53,0.53,2088597
16-Aug-17,0.45,0.58,0.45,0.58,930614
14-Aug-17,0.36,0.44,0.36,0.44,628061
11-Aug-17,0.37,0.37,0.33,0.33,525421
10-Aug-17,-,-,-,0.38,0
9-Aug-17,-,-,-,0.38,0
8-Aug-17,-,-,-,0.38,0
7-Aug-17,-,-,-,0.38,0
4-Aug-17,-,-,-,0.38,0
3-Aug-17,-,-,-,0.38,0
2-Aug-17,0.52,0.52,0.38,0.38,1176259
1-Aug-17,0.37,0.51,0.37,0.51,690369
31-Jul-17,0.37,0.37,0.36,0.37,53501
28-Jul-17,0.36,0.38,0.34,0.37,609682
27-Jul-17,0.48,0.50,0.40,0.40,234571
26-Jul-17,0.50,0.50,0.47,0.49,86564
25-Jul-17,0.52,0.52,0.49,0.50,34804
24-Jul-17,0.52,0.54,0.51,0.51,123801
21-Jul-17,0.49,0.53,0.49,0.51,188148
20-Jul-17,0.49,0.58,0.47,0.48,603677
19-Jul-17,0.51,0.53,0.48,0.49,126698
18-Jul-17,0.53,0.57,0.50,0.51,122691
17-Jul-17,0.52,0.58,0.52,0.53,241430
14-Jul-17,0.64,0.68,0.52,0.52,123331
13-Jul-17,0.62,0.74,0.62,0.62,32985
12-Jul-17,0.73,0.78,0.66,0.66,17885
11-Jul-17,1.03,1.08,0.75,0.75,106582
10-Jul-17,1.39,1.39,1.03,1.03,30383
7-Jul-17,1.30,1.38,1.30,1.35,1668
6-Jul-17,1.50,1.50,1.22,1.30,7828
5-Jul-17,1.76,1.76,1.44,1.51,5829
4-Jul-17,1.76,1.76,1.67,1.67,1002
3-Jul-17,1.70,1.70,1.70,1.70,894
30-Jun-17,1.46,1.59,1.46,1.59,2125
29-Jun-17,1.68,1.68,1.50,1.50,13784
28-Jun-17,1.57,1.57,1.57,1.57,1
27-Jun-17,1.62,1.65,1.56,1.56,7371
26-Jun-17,1.92,1.99,1.73,1.73,20080
23-Jun-17,2.28,2.28,2.06,2.17,8998
22-Jun-17,3.05,3.05,2.42,2.42,6527
21-Jun-17,3.09,3.09,2.79,2.79,1501
20-Jun-17,3.09,3.09,3.02,3.09,7
19-Jun-17,3.09,3.09,2.82,3.05,95
16-Jun-17,3.36,3.36,3.00,3.00,1611
14-Jun-17,3.36,3.36,3.14,3.14,5255
13-Jun-17,3.25,3.35,3.25,3.35,5547
12-Jun-17,3.15,3.36,2.85,3.25,2705
9-Jun-17,3.05,3.05,3.00,3.05,162
8-Jun-17,3.36,3.36,3.00,3.00,5363
7-Jun-17,3.36,3.36,3.10,3.36,317
6-Jun-17,3.38,3.38,3.04,3.38,620
5-Jun-17,3.38,3.38,3.05,3.14,2057
2-Jun-17,3.38,3.38,3.24,3.24,201
1-Jun-17,-,-,-,3.39,0
31-May-17,3.39,3.39,3.39,3.39,1
30-May-17,3.39,3.39,3.39,3.39,1
29-May-17,3.25,3.39,3.25,3.39,10019
26-May-17,3.39,3.39,3.15,3.15,2702
25-May-17,3.37,3.39,3.30,3.39,4796
