b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,14.87,14.90,14.87,14.90,757
14-Sep-17,-,-,-,14.90,0
13-Sep-17,-,-,-,14.90,0
12-Sep-17,14.89,14.90,14.89,14.90,150
11-Sep-17,14.40,14.90,14.40,14.90,382
8-Sep-17,14.60,14.98,14.45,14.45,17033
7-Sep-17,14.90,14.90,14.60,14.60,800
6-Sep-17,-,-,-,14.80,0
5-Sep-17,-,-,-,14.80,0
4-Sep-17,14.71,14.90,14.65,14.80,7127
1-Sep-17,15.00,15.00,14.71,14.71,832
31-Aug-17,14.95,15.25,14.95,15.25,783
30-Aug-17,14.95,14.95,14.95,14.95,100
29-Aug-17,14.27,15.00,14.27,14.99,930
28-Aug-17,15.14,15.15,14.26,15.15,482
25-Aug-17,14.80,15.19,14.60,15.19,4078
24-Aug-17,14.80,14.80,14.75,14.80,1500
23-Aug-17,14.60,14.70,14.60,14.70,282
22-Aug-17,-,-,-,14.60,0
21-Aug-17,-,-,-,14.60,0
18-Aug-17,14.21,14.60,14.11,14.60,4988
17-Aug-17,14.41,14.60,14.30,14.60,4627
16-Aug-17,15.40,15.40,14.50,14.80,3015
14-Aug-17,15.50,16.43,14.60,14.60,1725
11-Aug-17,14.96,14.96,14.92,14.92,20300
10-Aug-17,14.48,15.48,14.48,15.00,9037
9-Aug-17,14.48,14.48,14.30,14.30,2004
8-Aug-17,14.49,14.49,14.07,14.07,1028
7-Aug-17,14.35,14.49,14.10,14.49,865
4-Aug-17,14.20,14.49,13.50,14.49,4639
3-Aug-17,14.30,14.30,14.29,14.29,375
2-Aug-17,14.49,14.49,14.49,14.49,380
1-Aug-17,14.50,14.50,14.40,14.50,610
31-Jul-17,14.21,14.21,14.21,14.21,299
28-Jul-17,14.50,14.50,14.50,14.50,60
27-Jul-17,14.27,14.27,14.10,14.15,340
26-Jul-17,14.27,14.97,14.27,14.40,3744
25-Jul-17,14.55,14.55,14.32,14.32,2723
24-Jul-17,-,-,-,14.99,0
21-Jul-17,15.00,15.00,14.48,14.99,3339
20-Jul-17,14.80,15.00,14.80,15.00,1585
19-Jul-17,-,-,-,14.80,0
18-Jul-17,15.10,15.10,14.80,14.80,950
17-Jul-17,15.00,15.00,15.00,15.00,1700
14-Jul-17,14.99,15.05,14.90,14.90,2276
13-Jul-17,-,-,-,15.69,0
12-Jul-17,15.00,15.69,14.30,15.69,131
11-Jul-17,15.00,15.00,14.30,15.00,451
10-Jul-17,15.01,15.01,15.00,15.00,1000
7-Jul-17,-,-,-,15.70,0
6-Jul-17,15.70,15.70,15.50,15.70,284
5-Jul-17,15.90,15.90,15.70,15.70,261
4-Jul-17,15.80,16.10,15.80,16.10,630
3-Jul-17,15.79,15.80,15.79,15.80,1019
30-Jun-17,15.40,15.80,15.40,15.80,409
29-Jun-17,15.65,15.65,15.65,15.65,100
28-Jun-17,-,-,-,15.70,0
27-Jun-17,15.20,15.80,15.20,15.70,326
26-Jun-17,15.69,15.70,15.69,15.69,511
23-Jun-17,15.78,15.78,15.50,15.76,728
22-Jun-17,15.20,15.78,15.20,15.69,355
21-Jun-17,15.79,15.80,15.79,15.80,100
20-Jun-17,15.80,15.80,15.80,15.80,250
19-Jun-17,15.80,16.00,15.80,15.80,276
16-Jun-17,15.19,15.40,15.10,15.40,748
14-Jun-17,14.51,15.00,14.51,15.00,351
13-Jun-17,14.51,14.75,14.51,14.55,3440
12-Jun-17,15.10,16.00,14.50,15.17,3445
9-Jun-17,15.90,16.39,15.50,15.50,1861
8-Jun-17,16.29,16.29,16.00,16.05,1352
7-Jun-17,16.80,16.80,16.30,16.30,1670
6-Jun-17,16.32,16.80,16.32,16.80,748
5-Jun-17,-,-,-,17.27,0
2-Jun-17,17.01,17.27,16.80,17.27,868
1-Jun-17,17.40,17.40,17.20,17.25,1825
31-May-17,17.50,17.70,17.25,17.70,928
30-May-17,17.70,17.70,17.70,17.70,100
29-May-17,17.55,17.96,17.41,17.96,911
26-May-17,17.90,17.90,17.50,17.50,492
25-May-17,17.71,17.80,17.60,17.80,627
24-May-17,18.47,18.47,17.80,17.80,994
23-May-17,18.00,18.40,17.90,17.95,2573
22-May-17,18.30,18.99,17.90,17.95,2859
19-May-17,20.37,20.63,20.37,20.61,6762
18-May-17,20.37,20.46,20.31,20.34,9429
17-May-17,20.00,20.20,19.98,20.20,5127
16-May-17,20.37,20.38,19.95,20.00,6658
15-May-17,20.79,20.87,20.39,20.39,9264
12-May-17,20.98,20.98,20.80,20.85,4667
11-May-17,20.85,20.98,20.60,20.60,2045
10-May-17,20.90,20.90,20.70,20.80,2446
9-May-17,21.21,21.23,20.80,20.90,6116
8-May-17,20.55,21.26,20.55,21.21,7230
5-May-17,20.46,20.48,20.22,20.48,5728
4-May-17,19.80,20.50,19.80,20.35,7409
2-May-17,19.80,19.80,19.75,19.80,4580
28-Apr-17,19.50,19.80,19.50,19.75,12400
27-Apr-17,19.60,19.80,19.40,19.50,7878
26-Apr-17,19.60,19.60,19.40,19.50,1616
25-Apr-17,19.50,19.85,19.50,19.50,5529
24-Apr-17,19.80,19.81,19.30,19.72,13688
