b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,25.66,25.75,25.55,25.66,4942
14-Sep-17,25.99,25.99,25.70,25.75,1301
13-Sep-17,26.16,26.16,25.70,25.99,722
12-Sep-17,26.00,26.20,25.70,26.20,2698
11-Sep-17,25.62,25.85,25.60,25.85,909
8-Sep-17,25.75,25.76,25.62,25.62,312
7-Sep-17,26.39,26.39,25.71,25.75,460
6-Sep-17,26.40,26.40,25.70,26.00,1151
5-Sep-17,26.30,26.35,26.30,26.30,154
4-Sep-17,26.75,26.75,26.00,26.30,1095
1-Sep-17,26.80,26.80,26.50,26.80,1051
31-Aug-17,26.88,26.88,26.50,26.85,35702
30-Aug-17,26.24,26.89,25.71,26.88,9920
29-Aug-17,26.30,26.30,26.20,26.20,572
28-Aug-17,26.20,26.20,25.90,26.20,10958
25-Aug-17,26.30,26.30,26.00,26.28,3457
24-Aug-17,25.90,26.37,25.73,26.30,47082
23-Aug-17,25.36,26.00,25.36,25.50,29238
22-Aug-17,25.85,26.00,25.35,25.50,23901
21-Aug-17,25.90,25.90,25.50,25.50,21760
18-Aug-17,25.41,25.90,25.41,25.90,1353
17-Aug-17,25.90,25.98,25.50,25.98,25503
16-Aug-17,25.90,25.90,25.50,25.50,191
14-Aug-17,25.80,25.90,25.32,25.90,3456
11-Aug-17,25.89,25.89,25.30,25.75,820
10-Aug-17,25.50,26.00,25.31,25.95,22558
9-Aug-17,25.55,25.55,25.21,25.53,12245
8-Aug-17,25.74,25.74,25.00,25.50,16319
7-Aug-17,25.90,25.90,25.51,25.60,2085
4-Aug-17,26.10,26.10,25.80,25.90,4268
3-Aug-17,25.90,25.90,25.45,25.65,332
2-Aug-17,25.50,25.80,25.42,25.50,7432
1-Aug-17,26.15,26.15,25.41,25.85,1350
31-Jul-17,25.60,26.20,25.24,26.20,12474
28-Jul-17,25.27,26.00,24.80,25.40,13463
27-Jul-17,24.95,25.27,24.95,25.27,1788
