b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.42,0.42,0.41,0.42,98948
14-Sep-17,0.41,0.43,0.41,0.42,41970
13-Sep-17,0.44,0.44,0.41,0.41,43143
12-Sep-17,0.41,0.43,0.41,0.43,96660
11-Sep-17,0.41,0.43,0.41,0.41,40322
8-Sep-17,0.42,0.42,0.41,0.42,60909
7-Sep-17,0.42,0.42,0.41,0.42,56182
6-Sep-17,0.43,0.43,0.40,0.41,457507
5-Sep-17,0.43,0.45,0.43,0.44,161100
4-Sep-17,0.46,0.46,0.43,0.43,355695
1-Sep-17,0.45,0.47,0.44,0.46,129135
31-Aug-17,0.47,0.47,0.45,0.45,35767
30-Aug-17,0.47,0.48,0.47,0.47,35948
29-Aug-17,0.47,0.47,0.45,0.47,34962
28-Aug-17,0.44,0.48,0.44,0.47,452073
25-Aug-17,0.46,0.46,0.44,0.45,67223
24-Aug-17,0.48,0.48,0.45,0.47,77409
23-Aug-17,0.48,0.49,0.46,0.48,68510
22-Aug-17,0.44,0.48,0.43,0.48,208048
21-Aug-17,0.44,0.45,0.41,0.45,118673
18-Aug-17,0.47,0.47,0.43,0.44,319522
17-Aug-17,0.46,0.47,0.45,0.47,56884
16-Aug-17,0.47,0.47,0.45,0.46,173021
14-Aug-17,0.47,0.48,0.45,0.47,197189
11-Aug-17,0.47,0.49,0.46,0.47,166144
10-Aug-17,0.50,0.50,0.47,0.49,242782
9-Aug-17,0.49,0.50,0.46,0.50,189138
8-Aug-17,0.51,0.51,0.49,0.50,75105
7-Aug-17,0.51,0.51,0.50,0.51,35958
4-Aug-17,0.49,0.51,0.49,0.51,98269
3-Aug-17,0.50,0.50,0.49,0.50,40378
2-Aug-17,0.50,0.52,0.50,0.51,106592
1-Aug-17,0.51,0.52,0.49,0.50,91506
31-Jul-17,0.48,0.52,0.48,0.50,194552
28-Jul-17,0.50,0.51,0.48,0.49,151455
27-Jul-17,0.51,0.51,0.49,0.50,102573
26-Jul-17,0.51,0.53,0.51,0.52,65680
25-Jul-17,0.53,0.54,0.50,0.52,126291
24-Jul-17,0.53,0.54,0.53,0.54,88965
21-Jul-17,0.53,0.54,0.53,0.54,73162
20-Jul-17,0.54,0.55,0.53,0.54,386587
19-Jul-17,0.54,0.56,0.53,0.55,292482
18-Jul-17,0.51,0.54,0.50,0.54,565948
17-Jul-17,0.50,0.53,0.50,0.52,190971
14-Jul-17,0.47,0.51,0.46,0.50,202282
13-Jul-17,0.47,0.48,0.46,0.47,31450
12-Jul-17,0.48,0.49,0.44,0.48,150142
11-Jul-17,0.48,0.49,0.47,0.48,27614
10-Jul-17,0.48,0.49,0.47,0.48,31508
7-Jul-17,0.49,0.49,0.48,0.48,78601
6-Jul-17,0.50,0.51,0.48,0.49,80160
5-Jul-17,0.50,0.50,0.49,0.50,24050
4-Jul-17,0.50,0.50,0.49,0.50,40550
3-Jul-17,0.51,0.52,0.50,0.50,54658
30-Jun-17,0.51,0.52,0.50,0.52,73979
29-Jun-17,0.52,0.53,0.50,0.51,51756
28-Jun-17,0.50,0.53,0.50,0.52,69139
27-Jun-17,0.50,0.54,0.49,0.51,164318
26-Jun-17,0.48,0.51,0.47,0.49,122755
23-Jun-17,0.48,0.49,0.47,0.49,166889
22-Jun-17,0.51,0.51,0.48,0.49,164733
21-Jun-17,0.48,0.51,0.48,0.50,85251
20-Jun-17,0.49,0.50,0.48,0.50,45719
19-Jun-17,0.51,0.52,0.47,0.50,278004
16-Jun-17,0.53,0.54,0.51,0.51,128596
14-Jun-17,0.54,0.57,0.52,0.52,161482
13-Jun-17,0.52,0.55,0.51,0.54,265745
12-Jun-17,0.53,0.53,0.52,0.52,132904
9-Jun-17,0.52,0.55,0.52,0.53,126076
8-Jun-17,0.53,0.53,0.52,0.53,69859
7-Jun-17,0.54,0.54,0.52,0.53,115550
6-Jun-17,0.53,0.55,0.51,0.54,543291
5-Jun-17,0.56,0.57,0.53,0.53,195157
2-Jun-17,0.56,0.56,0.55,0.56,97350
1-Jun-17,0.57,0.57,0.56,0.57,62394
31-May-17,0.56,0.58,0.56,0.58,29476
30-May-17,0.58,0.58,0.55,0.56,89929
29-May-17,0.60,0.60,0.57,0.58,169070
26-May-17,0.59,0.60,0.58,0.59,148863
25-May-17,0.59,0.62,0.58,0.60,493697
24-May-17,0.54,0.59,0.54,0.59,404192
23-May-17,0.54,0.55,0.53,0.54,85925
22-May-17,0.55,0.55,0.53,0.55,163771
19-May-17,0.55,0.55,0.53,0.55,206899
18-May-17,0.55,0.57,0.55,0.56,185753
17-May-17,0.57,0.57,0.55,0.56,240152
16-May-17,0.56,0.58,0.55,0.57,178137
15-May-17,0.58,0.59,0.57,0.57,109968
12-May-17,0.57,0.59,0.57,0.58,75809
11-May-17,0.59,0.59,0.56,0.57,116367
10-May-17,0.60,0.60,0.58,0.59,116609
9-May-17,0.58,0.60,0.56,0.60,472300
8-May-17,0.62,0.63,0.57,0.57,1133510
5-May-17,0.65,0.65,0.62,0.63,170112
4-May-17,0.65,0.67,0.64,0.65,123919
2-May-17,0.63,0.67,0.63,0.65,186510
28-Apr-17,0.68,0.68,0.66,0.67,123461
27-Apr-17,0.65,0.68,0.65,0.66,102877
26-Apr-17,0.68,0.69,0.64,0.67,451162
25-Apr-17,0.70,0.70,0.68,0.68,190854
24-Apr-17,0.69,0.72,0.68,0.69,215011
21-Apr-17,0.68,0.69,0.68,0.68,59578
20-Apr-17,0.68,0.70,0.68,0.68,57162
19-Apr-17,0.67,0.70,0.67,0.69,144913
18-Apr-17,0.68,0.69,0.68,0.68,85149
13-Apr-17,0.67,0.69,0.67,0.69,108014
12-Apr-17,0.68,0.69,0.67,0.67,31871
11-Apr-17,0.68,0.69,0.67,0.67,169569
10-Apr-17,0.72,0.72,0.68,0.68,283433
7-Apr-17,0.69,0.72,0.68,0.71,293159
6-Apr-17,0.67,0.69,0.67,0.68,210928
5-Apr-17,0.69,0.70,0.67,0.68,90883
4-Apr-17,0.67,0.69,0.66,0.69,297642
3-Apr-17,0.68,0.70,0.66,0.67,184559
31-Mar-17,0.69,0.69,0.68,0.68,138974
30-Mar-17,0.69,0.70,0.69,0.69,56797
29-Mar-17,0.68,0.71,0.68,0.69,122693
28-Mar-17,0.68,0.71,0.68,0.68,134720
27-Mar-17,0.70,0.71,0.68,0.68,270072
24-Mar-17,0.72,0.73,0.69,0.71,392743
23-Mar-17,0.72,0.74,0.71,0.72,237080
22-Mar-17,0.73,0.74,0.71,0.73,272367
21-Mar-17,0.74,0.77,0.73,0.74,428080
20-Mar-17,0.74,0.75,0.73,0.74,102017
17-Mar-17,0.73,0.74,0.73,0.74,160592
16-Mar-17,0.75,0.75,0.74,0.74,145631
15-Mar-17,0.76,0.77,0.74,0.74,138193
14-Mar-17,0.73,0.78,0.71,0.76,573454
13-Mar-17,0.75,0.75,0.71,0.73,441591
10-Mar-17,0.75,0.77,0.74,0.74,204479
9-Mar-17,0.78,0.78,0.71,0.75,690194
8-Mar-17,0.81,0.81,0.75,0.78,408518
7-Mar-17,0.83,0.83,0.80,0.81,657132
6-Mar-17,0.84,0.84,0.81,0.83,720982
3-Mar-17,0.85,0.86,0.82,0.84,486259
2-Mar-17,0.85,0.89,0.84,0.85,912940
1-Mar-17,0.81,0.87,0.80,0.85,668875
28-Feb-17,0.82,0.84,0.80,0.81,413912
27-Feb-17,0.85,0.87,0.81,0.82,499675
24-Feb-17,0.85,0.86,0.83,0.84,693166
23-Feb-17,0.89,0.89,0.85,0.85,346205
22-Feb-17,0.90,0.90,0.88,0.88,397464
21-Feb-17,0.88,0.92,0.86,0.90,1786864
20-Feb-17,0.80,0.88,0.80,0.88,2248180
17-Feb-17,0.80,0.81,0.79,0.80,482449
16-Feb-17,0.77,0.81,0.76,0.80,1673704
15-Feb-17,0.77,0.81,0.75,0.76,1079883
14-Feb-17,0.79,0.80,0.76,0.77,276288
13-Feb-17,0.81,0.81,0.79,0.79,328945
10-Feb-17,0.82,0.83,0.78,0.79,1183548
9-Feb-17,0.76,0.83,0.76,0.81,3430337
8-Feb-17,0.74,0.74,0.72,0.72,191342
7-Feb-17,0.73,0.74,0.72,0.73,297474
6-Feb-17,0.71,0.74,0.71,0.74,463897
3-Feb-17,0.71,0.72,0.70,0.71,93861
2-Feb-17,0.72,0.72,0.70,0.70,507569
1-Feb-17,0.68,0.73,0.68,0.72,593088
31-Jan-17,0.69,0.70,0.68,0.68,115621
30-Jan-17,0.69,0.71,0.69,0.70,78168
27-Jan-17,0.69,0.72,0.68,0.70,253273
26-Jan-17,0.70,0.75,0.68,0.69,619938
25-Jan-17,0.69,0.70,0.68,0.70,102890
24-Jan-17,0.67,0.69,0.67,0.69,57936
23-Jan-17,0.67,0.68,0.66,0.67,82287
20-Jan-17,0.68,0.69,0.67,0.67,115842
19-Jan-17,0.68,0.70,0.67,0.68,73568
18-Jan-17,0.68,0.70,0.67,0.68,176959
17-Jan-17,0.71,0.71,0.68,0.69,100947
16-Jan-17,0.71,0.71,0.69,0.71,107744
13-Jan-17,0.71,0.72,0.70,0.71,132414
12-Jan-17,0.71,0.72,0.70,0.71,185501
11-Jan-17,0.71,0.72,0.70,0.71,245023
10-Jan-17,0.71,0.72,0.69,0.71,333279
9-Jan-17,0.67,0.73,0.67,0.72,635731
5-Jan-17,0.66,0.69,0.66,0.67,256568
4-Jan-17,0.68,0.69,0.64,0.66,745908
3-Jan-17,0.70,0.73,0.66,0.69,1587041
2-Jan-17,0.75,0.76,0.70,0.71,617880
30-Dec-16,0.68,0.76,0.68,0.74,1785906
29-Dec-16,0.65,0.67,0.63,0.67,382902
28-Dec-16,0.63,0.65,0.62,0.65,637445
