b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.62,3.82,3.62,3.72,16237
14-Sep-17,3.84,3.84,3.62,3.71,9796
13-Sep-17,3.74,3.83,3.74,3.83,17945
12-Sep-17,3.72,3.76,3.70,3.74,14136
11-Sep-17,3.53,3.73,3.53,3.72,27173
8-Sep-17,3.26,3.50,3.26,3.48,39795
7-Sep-17,3.24,3.28,3.04,3.26,29672
6-Sep-17,3.40,3.48,3.21,3.28,21759
5-Sep-17,3.49,3.49,3.23,3.40,22907
4-Sep-17,3.65,3.65,3.46,3.54,14619
1-Sep-17,3.60,3.62,3.60,3.62,803
31-Aug-17,3.62,3.65,3.55,3.59,16688
30-Aug-17,3.70,3.74,3.50,3.61,58159
29-Aug-17,3.70,3.75,3.70,3.74,1881
28-Aug-17,3.70,3.74,3.70,3.74,4304
25-Aug-17,3.76,3.77,3.71,3.71,2407
24-Aug-17,3.74,3.78,3.66,3.78,4825
23-Aug-17,3.74,3.75,3.67,3.74,3635
22-Aug-17,3.72,3.73,3.71,3.72,969
21-Aug-17,3.82,3.82,3.70,3.74,7978
18-Aug-17,3.77,3.82,3.77,3.82,5783
17-Aug-17,3.78,3.78,3.74,3.78,2753
16-Aug-17,3.64,3.78,3.64,3.78,24488
14-Aug-17,3.50,3.64,3.50,3.64,45163
11-Aug-17,3.50,3.50,3.50,3.50,104
10-Aug-17,3.59,3.60,3.48,3.50,6335
9-Aug-17,3.66,3.68,3.35,3.50,28516
8-Aug-17,3.55,3.69,3.55,3.65,20134
7-Aug-17,3.45,3.55,3.40,3.55,8920
4-Aug-17,3.44,3.60,3.38,3.54,30207
3-Aug-17,3.49,3.49,3.44,3.46,2381
2-Aug-17,3.47,3.50,3.46,3.49,1718
1-Aug-17,3.50,3.50,3.49,3.50,1926
31-Jul-17,3.50,3.50,3.48,3.50,1853
28-Jul-17,3.49,3.50,3.45,3.50,8570
27-Jul-17,3.48,3.49,3.44,3.49,3205
26-Jul-17,3.44,3.48,3.43,3.48,3030
25-Jul-17,3.40,3.44,3.40,3.44,211
24-Jul-17,3.38,3.43,3.38,3.43,851
21-Jul-17,3.33,3.40,3.33,3.40,9693
20-Jul-17,3.33,3.51,3.33,3.35,12880
19-Jul-17,3.33,3.34,3.30,3.33,6379
18-Jul-17,3.34,3.35,3.34,3.35,663
17-Jul-17,3.35,3.50,3.33,3.34,11121
14-Jul-17,3.34,3.36,3.31,3.36,3448
13-Jul-17,3.40,3.40,3.32,3.33,1931
