b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.56,0.56,0.55,0.56,39766
14-Sep-17,0.65,0.65,0.54,0.57,60290
31-Aug-17,0.64,0.64,0.64,0.64,17755
30-Aug-17,0.68,0.68,0.68,0.68,365
29-Aug-17,0.68,0.68,0.68,0.68,500
28-Aug-17,0.66,0.68,0.66,0.68,4618
25-Aug-17,-,-,-,0.70,0
24-Aug-17,0.70,0.70,0.70,0.70,5000
23-Aug-17,0.66,0.70,0.66,0.70,2600
22-Aug-17,-,-,-,0.70,0
21-Aug-17,0.70,0.70,0.70,0.70,20
18-Aug-17,0.72,0.72,0.68,0.68,8760
17-Aug-17,0.70,0.70,0.66,0.66,1805
16-Aug-17,0.72,0.72,0.72,0.72,10
14-Aug-17,0.66,0.72,0.66,0.72,45
11-Aug-17,0.68,0.72,0.68,0.72,522
10-Aug-17,0.68,0.72,0.68,0.72,1856
9-Aug-17,0.70,0.70,0.70,0.70,3194
8-Aug-17,0.70,0.70,0.70,0.70,11306
7-Aug-17,0.74,0.74,0.74,0.74,100
4-Aug-17,0.74,0.74,0.70,0.70,726
3-Aug-17,0.70,0.70,0.70,0.70,7767
2-Aug-17,0.74,0.74,0.74,0.74,550
1-Aug-17,-,-,-,0.74,0
31-Jul-17,0.74,0.74,0.74,0.74,1000
28-Jul-17,0.72,0.72,0.72,0.72,5992
27-Jul-17,0.72,0.72,0.72,0.72,79
26-Jul-17,0.74,0.74,0.70,0.70,7504
25-Jul-17,0.74,0.74,0.74,0.74,425
24-Jul-17,0.76,0.76,0.74,0.74,14154
21-Jul-17,0.72,0.76,0.72,0.76,10905
20-Jul-17,0.66,0.68,0.66,0.68,4791
19-Jul-17,0.64,0.66,0.64,0.66,7800
18-Jul-17,0.62,0.62,0.62,0.62,17051
17-Jul-17,0.64,0.64,0.62,0.62,2502
14-Jul-17,0.62,0.62,0.62,0.62,15696
13-Jul-17,0.66,0.66,0.64,0.64,25640
12-Jul-17,0.66,0.68,0.66,0.68,7046
11-Jul-17,0.68,0.68,0.66,0.66,15278
10-Jul-17,0.70,0.70,0.70,0.70,6804
7-Jul-17,-,-,-,0.72,0
6-Jul-17,0.72,0.72,0.72,0.72,10394
5-Jul-17,0.74,0.74,0.72,0.72,11496
4-Jul-17,0.76,0.76,0.76,0.76,17298
3-Jul-17,0.78,0.78,0.78,0.78,5904
30-Jun-17,0.80,0.82,0.80,0.82,205
29-Jun-17,0.82,0.82,0.80,0.82,6324
28-Jun-17,0.78,0.82,0.78,0.80,4417
27-Jun-17,0.78,0.80,0.76,0.80,2296
26-Jun-17,0.78,0.80,0.78,0.80,3407
23-Jun-17,0.78,0.80,0.78,0.80,4
22-Jun-17,0.76,0.80,0.76,0.80,7727
21-Jun-17,0.78,0.80,0.76,0.76,13260
20-Jun-17,0.78,0.78,0.78,0.78,500
19-Jun-17,0.78,0.80,0.78,0.80,480
16-Jun-17,0.78,0.80,0.76,0.80,20482
14-Jun-17,0.78,0.82,0.78,0.82,101
13-Jun-17,0.78,0.82,0.78,0.80,5934
12-Jun-17,0.82,0.82,0.82,0.82,1050
9-Jun-17,0.78,0.80,0.78,0.80,13890
8-Jun-17,0.80,0.82,0.76,0.82,23942
7-Jun-17,0.88,0.88,0.80,0.84,19616
6-Jun-17,0.88,0.88,0.88,0.88,9750
5-Jun-17,0.80,0.88,0.80,0.88,15904
2-Jun-17,0.80,0.86,0.80,0.86,27388
1-Jun-17,0.78,0.80,0.78,0.80,2032
31-May-17,0.78,0.80,0.76,0.80,5708
30-May-17,0.76,0.80,0.76,0.80,11998
29-May-17,0.78,0.82,0.76,0.80,14143
26-May-17,0.76,0.80,0.76,0.80,2319
25-May-17,0.80,0.82,0.76,0.82,4006
24-May-17,0.78,0.82,0.78,0.82,4162
23-May-17,0.80,0.80,0.80,0.80,1810
22-May-17,0.80,0.80,0.78,0.80,5323
19-May-17,0.82,0.84,0.78,0.82,13232
18-May-17,0.84,0.84,0.76,0.82,26162
17-May-17,0.84,0.86,0.84,0.84,17384
16-May-17,0.86,0.86,0.84,0.86,2996
15-May-17,0.84,0.88,0.84,0.88,4730
12-May-17,0.88,0.88,0.84,0.86,21972
11-May-17,0.86,0.88,0.86,0.86,4432
10-May-17,0.88,0.88,0.86,0.88,19088
9-May-17,0.88,0.88,0.86,0.88,14202
8-May-17,0.88,0.92,0.88,0.90,16343
5-May-17,0.88,0.90,0.88,0.88,7922
4-May-17,0.90,0.90,0.88,0.90,14260
2-May-17,0.88,0.92,0.84,0.90,55208
28-Apr-17,0.88,0.90,0.84,0.88,77370
27-Apr-17,0.92,0.92,0.88,0.90,74384
