b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.82,1.82,1.80,1.80,8169
14-Sep-17,1.85,1.85,1.85,1.85,50
13-Sep-17,1.85,1.85,1.85,1.85,55
12-Sep-17,1.82,1.85,1.82,1.85,227
11-Sep-17,1.85,1.86,1.82,1.86,586
8-Sep-17,1.85,1.85,1.85,1.85,50
7-Sep-17,1.85,1.85,1.82,1.85,1715
6-Sep-17,1.85,1.85,1.85,1.85,56
5-Sep-17,1.86,1.86,1.86,1.86,55
1-Sep-17,1.79,1.86,1.79,1.86,4230
31-Aug-17,-,-,-,1.86,0
30-Aug-17,-,-,-,1.86,0
29-Aug-17,1.86,1.86,1.86,1.86,180
28-Aug-17,1.80,1.80,1.79,1.79,5690
25-Aug-17,1.86,1.86,1.80,1.86,3428
24-Aug-17,1.86,1.86,1.80,1.86,131
23-Aug-17,1.86,1.86,1.86,1.86,5
22-Aug-17,1.86,1.86,1.86,1.86,92
21-Aug-17,1.86,1.86,1.86,1.86,50
18-Aug-17,1.86,1.86,1.86,1.86,53
17-Aug-17,-,-,-,1.86,0
16-Aug-17,1.86,1.86,1.86,1.86,53
14-Aug-17,1.86,1.86,1.82,1.86,977
11-Aug-17,1.86,1.86,1.86,1.86,55
10-Aug-17,1.86,1.86,1.86,1.86,60
9-Aug-17,1.86,1.86,1.86,1.86,155
8-Aug-17,1.86,1.86,1.86,1.86,5
7-Aug-17,1.86,1.86,1.82,1.86,62
4-Aug-17,1.86,1.86,1.86,1.86,51
3-Aug-17,1.82,1.86,1.82,1.86,650
2-Aug-17,1.85,1.86,1.85,1.86,48
1-Aug-17,1.86,1.86,1.86,1.86,51
31-Jul-17,1.86,1.86,1.82,1.86,232
28-Jul-17,1.86,1.86,1.86,1.86,56
27-Jul-17,1.86,1.86,1.86,1.86,70
26-Jul-17,1.86,1.86,1.86,1.86,56
25-Jul-17,1.86,1.86,1.86,1.86,58
24-Jul-17,1.85,1.86,1.82,1.86,415
21-Jul-17,1.86,1.86,1.86,1.86,96
20-Jul-17,1.86,1.86,1.86,1.86,50
19-Jul-17,1.86,1.86,1.86,1.86,15
18-Jul-17,1.87,1.87,1.86,1.86,50
17-Jul-17,1.87,1.87,1.87,1.87,51
14-Jul-17,1.87,1.87,1.87,1.87,5
13-Jul-17,1.88,1.88,1.83,1.83,1889
12-Jul-17,1.88,1.88,1.88,1.88,51
11-Jul-17,1.88,1.88,1.83,1.88,1076
10-Jul-17,1.88,1.88,1.88,1.88,55
