b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,205.00,205.10,203.80,205.00,12299
14-Sep-17,205.00,205.30,203.30,205.00,9677
13-Sep-17,204.75,206.85,203.15,205.00,3251
12-Sep-17,205.65,205.65,203.90,205.00,8875
11-Sep-17,206.90,206.90,203.80,205.00,13770
8-Sep-17,205.00,205.00,203.40,204.95,17020
7-Sep-17,205.00,205.00,203.25,205.00,8539
6-Sep-17,205.40,206.90,202.10,204.95,14461
5-Sep-17,205.00,206.90,201.70,205.35,10671
4-Sep-17,201.00,207.40,201.00,204.80,8383
1-Sep-17,202.50,207.45,197.70,203.70,12789
31-Aug-17,198.30,200.80,195.50,200.00,13010
30-Aug-17,201.00,201.00,196.15,197.50,30747
29-Aug-17,198.25,200.00,195.10,200.00,14054
28-Aug-17,198.90,201.45,197.65,200.00,12539
25-Aug-17,196.00,199.50,196.00,199.50,11381
24-Aug-17,198.00,198.00,195.10,197.70,17105
23-Aug-17,198.00,198.00,194.55,196.95,16079
22-Aug-17,198.00,198.00,195.00,195.10,15013
21-Aug-17,196.65,197.00,194.00,197.00,24474
18-Aug-17,197.00,197.90,194.00,196.70,9029
17-Aug-17,195.90,196.85,194.20,196.85,4706
16-Aug-17,194.00,195.90,194.00,195.90,3726
14-Aug-17,193.05,196.20,193.05,194.00,1701
11-Aug-17,196.40,196.40,194.00,194.00,2588
10-Aug-17,198.00,198.00,195.00,196.90,32918
9-Aug-17,197.00,198.00,194.35,195.00,15031
8-Aug-17,196.20,197.85,195.05,196.90,10672
7-Aug-17,197.00,198.00,196.50,196.75,1032
4-Aug-17,196.10,196.20,194.00,196.15,5190
3-Aug-17,197.50,197.50,192.90,195.95,14820
2-Aug-17,199.90,199.90,189.70,198.00,62256
1-Aug-17,199.00,199.00,196.05,199.00,8961
31-Jul-17,196.05,198.85,196.05,198.00,43971
28-Jul-17,195.00,196.70,195.00,196.00,27598
27-Jul-17,193.50,195.60,193.25,195.00,35271
26-Jul-17,190.55,193.20,190.55,193.15,27944
25-Jul-17,189.60,190.50,189.10,190.00,21244
24-Jul-17,189.95,191.85,186.00,190.10,11937
21-Jul-17,184.45,189.75,184.00,189.00,28158
20-Jul-17,185.50,187.80,183.05,186.25,10819
19-Jul-17,186.00,187.15,185.15,185.15,9398
18-Jul-17,187.10,188.45,185.95,186.10,783
17-Jul-17,187.55,189.95,187.25,187.25,13389
14-Jul-17,186.85,188.35,186.85,187.65,16590
13-Jul-17,185.00,186.85,185.00,186.85,13477
12-Jul-17,184.95,185.80,183.50,185.30,3054
11-Jul-17,184.00,185.00,183.10,185.00,7066
10-Jul-17,181.10,184.50,180.15,184.00,16973
7-Jul-17,184.00,184.85,182.05,182.05,1758
6-Jul-17,183.75,184.00,182.65,183.75,50849
5-Jul-17,183.00,183.85,181.60,183.75,11343
4-Jul-17,182.00,184.45,181.55,183.75,15292
3-Jul-17,181.50,183.50,181.50,182.80,17175
30-Jun-17,182.95,183.25,181.55,182.35,5200
29-Jun-17,182.85,186.00,182.25,183.75,1528
28-Jun-17,183.10,184.00,183.00,183.00,825
27-Jun-17,183.65,185.05,183.65,184.95,3668
26-Jun-17,187.75,187.75,183.60,183.65,3306
23-Jun-17,184.00,187.95,184.00,184.85,7339
22-Jun-17,184.25,185.90,183.25,184.40,2008
21-Jun-17,180.90,186.95,180.90,185.05,4991
20-Jun-17,180.95,182.70,179.70,181.60,4676
19-Jun-17,178.30,181.00,178.30,180.00,5414
16-Jun-17,178.45,181.65,178.20,178.20,8879
14-Jun-17,179.95,182.00,179.90,181.05,2878
13-Jun-17,179.95,180.50,178.60,180.50,2597
12-Jun-17,179.80,179.80,177.75,178.00,2226
9-Jun-17,180.85,182.80,178.10,181.15,2652
8-Jun-17,180.60,180.60,177.50,179.40,16639
7-Jun-17,182.70,182.85,178.20,178.85,5499
6-Jun-17,178.10,182.85,178.10,180.45,3681
5-Jun-17,185.80,185.80,179.00,179.00,3417
2-Jun-17,181.85,185.30,179.90,184.25,12299
1-Jun-17,176.50,180.40,176.35,180.40,5972
31-May-17,178.00,181.40,176.45,176.60,20409
30-May-17,180.60,183.90,176.70,176.75,6738
29-May-17,182.80,184.95,180.40,182.20,3152
26-May-17,185.75,186.00,182.15,182.15,6360
25-May-17,183.40,185.90,182.00,185.80,5025
24-May-17,181.50,181.80,180.85,181.50,6944
23-May-17,185.00,186.90,181.10,181.60,13968
22-May-17,180.85,185.75,178.05,185.00,18732
19-May-17,178.45,184.90,174.00,180.85,24128
18-May-17,181.20,182.40,175.05,179.00,22403
17-May-17,184.00,187.60,182.45,182.45,106840
16-May-17,186.00,186.00,184.00,184.70,70203
15-May-17,184.40,186.00,181.00,185.05,5460
12-May-17,184.00,184.50,180.10,183.00,26056
11-May-17,186.40,186.40,182.10,185.10,29340
10-May-17,183.00,192.05,183.00,186.45,142341
9-May-17,180.65,181.95,179.20,180.60,31166
8-May-17,181.90,181.90,178.75,179.10,5093
5-May-17,181.90,181.90,179.20,180.80,66796
4-May-17,179.00,181.70,179.00,181.30,29786
2-May-17,179.95,179.95,178.00,179.05,6086
28-Apr-17,179.90,179.90,177.20,179.10,8511
27-Apr-17,179.95,179.95,176.30,179.25,4253
26-Apr-17,180.05,182.00,177.60,180.00,8591
25-Apr-17,174.80,180.30,174.00,179.50,114835
24-Apr-17,170.05,174.40,170.05,174.00,17211
21-Apr-17,168.85,173.70,168.85,172.40,201713
20-Apr-17,169.40,171.00,168.10,168.45,26680
19-Apr-17,168.90,170.00,165.35,169.00,50767
18-Apr-17,167.50,167.60,165.00,166.50,1972
13-Apr-17,165.45,170.00,165.45,168.50,1846
12-Apr-17,164.00,167.50,162.00,166.30,41323
11-Apr-17,168.25,170.10,164.60,164.60,61573
10-Apr-17,172.50,172.80,168.35,168.35,1938
7-Apr-17,171.15,173.40,171.15,171.20,1650
6-Apr-17,170.10,172.50,169.55,172.50,2891
5-Apr-17,170.20,173.80,168.60,172.00,5186
4-Apr-17,172.35,172.35,170.20,171.00,27184
