b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.55,2.55,2.27,2.50,110294
14-Sep-17,2.43,2.53,2.43,2.52,15980
13-Sep-17,2.50,2.50,2.34,2.44,21150
12-Sep-17,2.54,2.54,2.50,2.50,401
11-Sep-17,2.55,2.55,2.43,2.53,3882
8-Sep-17,2.55,2.55,2.55,2.55,2
7-Sep-17,2.55,2.55,2.54,2.54,311
6-Sep-17,2.55,2.55,2.55,2.55,86
5-Sep-17,2.55,2.55,2.55,2.55,2
4-Sep-17,2.45,2.55,2.44,2.55,16352
1-Sep-17,2.46,2.46,2.46,2.46,2
31-Aug-17,2.46,2.46,2.46,2.46,2
30-Aug-17,2.46,2.46,2.46,2.46,587
29-Aug-17,2.59,2.59,2.36,2.44,49334
28-Aug-17,2.50,2.59,2.50,2.59,6003
25-Aug-17,2.59,2.59,2.35,2.51,16190
24-Aug-17,2.59,2.60,2.59,2.60,233
23-Aug-17,2.62,2.62,2.59,2.59,96
22-Aug-17,2.60,2.60,2.60,2.60,121
21-Aug-17,2.73,2.73,2.60,2.60,14088
18-Aug-17,2.82,2.82,2.73,2.73,600
17-Aug-17,2.75,2.75,2.74,2.75,257
16-Aug-17,2.72,2.72,2.72,2.72,902
14-Aug-17,2.85,2.85,2.72,2.72,5665
11-Aug-17,2.89,2.89,2.75,2.85,10973
10-Aug-17,2.89,2.89,2.84,2.84,318
9-Aug-17,2.88,2.89,2.80,2.89,599
8-Aug-17,2.89,2.89,2.77,2.86,405
7-Aug-17,2.93,2.93,2.84,2.89,12983
4-Aug-17,2.82,2.90,2.80,2.83,19937
3-Aug-17,2.85,2.85,2.80,2.80,82
2-Aug-17,2.85,2.85,2.82,2.82,122
1-Aug-17,2.84,2.85,2.75,2.85,28271
31-Jul-17,2.83,2.83,2.80,2.80,162
28-Jul-17,2.83,2.83,2.81,2.81,151
27-Jul-17,2.83,2.83,2.82,2.82,472
26-Jul-17,2.70,2.83,2.70,2.83,26067
25-Jul-17,2.73,2.85,2.70,2.70,39570
24-Jul-17,2.75,2.76,2.70,2.70,702
21-Jul-17,2.77,2.77,2.71,2.71,386
20-Jul-17,2.69,2.70,2.68,2.70,8492
19-Jul-17,2.66,2.67,2.64,2.67,12497
18-Jul-17,2.62,2.66,2.62,2.66,5050
17-Jul-17,2.62,2.62,2.60,2.60,1302
14-Jul-17,2.63,2.63,2.61,2.61,2
13-Jul-17,2.63,2.63,2.54,2.62,784
12-Jul-17,2.66,2.66,2.60,2.60,741
11-Jul-17,2.66,2.66,2.65,2.66,137
10-Jul-17,2.62,2.75,2.55,2.66,20271
7-Jul-17,2.60,2.70,2.51,2.70,12057
6-Jul-17,2.66,2.67,2.50,2.63,10786
5-Jul-17,2.62,2.77,2.51,2.77,6542
4-Jul-17,2.70,2.70,2.57,2.62,16461
3-Jul-17,2.73,2.73,2.70,2.70,2556
30-Jun-17,2.73,2.74,2.73,2.73,5389
29-Jun-17,2.77,2.77,2.62,2.73,6011
28-Jun-17,2.77,2.77,2.77,2.77,2
27-Jun-17,2.80,2.80,2.72,2.77,5006
26-Jun-17,2.77,2.77,2.75,2.75,802
23-Jun-17,2.77,2.77,2.74,2.74,92
22-Jun-17,2.77,2.77,2.72,2.72,219
21-Jun-17,2.79,2.79,2.74,2.77,384
20-Jun-17,2.69,2.75,2.68,2.74,17648
19-Jun-17,2.65,2.66,2.65,2.66,1025
16-Jun-17,2.67,2.67,2.65,2.65,266
14-Jun-17,2.55,2.73,2.55,2.69,6173
13-Jun-17,2.58,2.60,2.45,2.60,20660
12-Jun-17,2.60,2.60,2.48,2.58,8411
9-Jun-17,2.69,2.69,2.61,2.65,12206
8-Jun-17,2.70,2.70,2.63,2.69,2537
7-Jun-17,2.63,2.73,2.63,2.70,1626
6-Jun-17,2.73,2.73,2.72,2.72,667
5-Jun-17,2.74,2.74,2.72,2.74,2002
2-Jun-17,2.74,2.74,2.72,2.72,127
1-Jun-17,2.72,2.72,2.70,2.72,447
31-May-17,2.74,2.74,2.70,2.73,15024
30-May-17,2.72,2.72,2.72,2.72,1072
29-May-17,2.72,2.72,2.70,2.72,18102
26-May-17,2.72,2.75,2.72,2.74,129
25-May-17,2.74,2.74,2.72,2.72,559
24-May-17,2.74,2.75,2.72,2.74,5217
23-May-17,2.74,2.80,2.74,2.80,396
22-May-17,2.80,2.80,2.70,2.75,6163
19-May-17,2.84,2.84,2.74,2.82,6083
18-May-17,2.65,2.84,2.52,2.83,15717
