b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.45,4.45,4.43,4.45,91003
14-Sep-17,4.43,4.45,4.43,4.44,41257
13-Sep-17,4.40,4.45,4.40,4.45,125430
12-Sep-17,4.46,4.46,4.40,4.43,83896
11-Sep-17,4.41,4.44,4.40,4.43,101924
8-Sep-17,4.42,4.45,4.42,4.45,32746
7-Sep-17,4.45,4.45,4.42,4.45,83001
6-Sep-17,4.46,4.46,4.42,4.44,63827
5-Sep-17,4.45,4.49,4.45,4.45,71103
4-Sep-17,4.48,4.49,4.44,4.45,31024
1-Sep-17,4.45,4.49,4.43,4.48,26393
31-Aug-17,4.39,4.45,4.39,4.45,55997
30-Aug-17,4.38,4.42,4.38,4.41,31515
29-Aug-17,4.41,4.45,4.38,4.42,194341
28-Aug-17,4.44,4.50,4.40,4.42,148160
25-Aug-17,4.45,4.46,4.38,4.42,160418
24-Aug-17,4.36,4.45,4.33,4.45,268880
23-Aug-17,4.34,4.37,4.31,4.35,236387
22-Aug-17,4.31,4.35,4.26,4.34,295256
21-Aug-17,4.38,4.39,4.23,4.31,201149
18-Aug-17,4.38,4.39,4.34,4.38,222195
17-Aug-17,4.36,4.36,4.31,4.36,199835
16-Aug-17,4.29,4.37,4.28,4.37,137740
14-Aug-17,4.38,4.38,4.17,4.32,263366
11-Aug-17,4.38,4.39,4.35,4.39,27230
10-Aug-17,4.38,4.39,4.35,4.39,14379
9-Aug-17,4.37,4.39,4.33,4.39,52441
8-Aug-17,4.38,4.40,4.36,4.37,145627
7-Aug-17,4.37,4.41,4.37,4.38,15661
4-Aug-17,4.38,4.41,4.38,4.38,14384
3-Aug-17,4.36,4.41,4.36,4.38,168063
2-Aug-17,4.44,4.44,4.35,4.38,142365
1-Aug-17,4.41,4.44,4.39,4.44,49226
31-Jul-17,4.40,4.45,4.40,4.40,126601
28-Jul-17,4.42,4.45,4.40,4.40,96069
27-Jul-17,4.41,4.45,4.39,4.42,40217
26-Jul-17,4.39,4.43,4.39,4.42,1749
25-Jul-17,4.40,4.43,4.38,4.38,33656
24-Jul-17,4.44,4.45,4.42,4.42,7166
21-Jul-17,4.45,4.46,4.44,4.44,26682
20-Jul-17,4.50,4.54,4.41,4.47,64333
19-Jul-17,4.48,4.49,4.45,4.49,38501
18-Jul-17,4.48,4.51,4.44,4.47,82246
17-Jul-17,4.49,4.49,4.43,4.45,95429
14-Jul-17,4.40,4.49,4.40,4.49,56218
13-Jul-17,4.37,4.42,4.37,4.42,100467
12-Jul-17,4.34,4.39,4.34,4.39,23746
11-Jul-17,4.36,4.37,4.34,4.35,84926
10-Jul-17,4.33,4.39,4.33,4.37,42293
7-Jul-17,4.33,4.36,4.33,4.34,34849
6-Jul-17,4.37,4.37,4.33,4.35,33109
5-Jul-17,4.32,4.37,4.32,4.37,73278
4-Jul-17,4.37,4.37,4.33,4.33,89705
3-Jul-17,4.41,4.41,4.36,4.38,110598
30-Jun-17,4.48,4.48,4.38,4.39,503506
29-Jun-17,4.48,4.48,4.42,4.45,111505
28-Jun-17,4.45,4.46,4.43,4.45,62162
27-Jun-17,4.42,4.48,4.40,4.45,92748
26-Jun-17,4.44,4.44,4.42,4.43,35602
23-Jun-17,4.44,4.49,4.43,4.44,123049
22-Jun-17,4.45,4.47,4.44,4.45,191090
21-Jun-17,4.45,4.50,4.43,4.45,70949
20-Jun-17,4.50,4.50,4.45,4.45,104779
19-Jun-17,4.48,4.52,4.43,4.52,98185
16-Jun-17,4.42,4.46,4.42,4.45,71605
14-Jun-17,4.45,4.48,4.43,4.43,96336
13-Jun-17,4.41,4.45,4.40,4.45,132429
12-Jun-17,4.35,4.44,4.32,4.41,91590
9-Jun-17,4.29,4.38,4.29,4.36,114875
8-Jun-17,4.30,4.32,4.28,4.32,110783
7-Jun-17,4.34,4.35,4.26,4.33,145136
6-Jun-17,4.32,4.36,4.29,4.36,144282
5-Jun-17,4.40,4.40,4.31,4.36,204616
2-Jun-17,4.39,4.43,4.36,4.37,60567
1-Jun-17,4.45,4.49,4.33,4.41,120728
31-May-17,4.32,4.45,4.30,4.45,300611
30-May-17,4.26,4.39,4.23,4.37,158221
29-May-17,4.24,4.33,4.16,4.32,117295
26-May-17,4.31,4.33,4.25,4.25,28731
25-May-17,4.20,4.33,4.19,4.24,283645
24-May-17,4.08,4.15,4.07,4.15,166522
