b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,102.90,104.00,101.50,104.00,655352
14-Sep-17,104.75,104.75,102.80,103.90,298668
13-Sep-17,105.00,105.90,104.50,105.00,186069
12-Sep-17,104.05,106.50,102.45,104.90,269428
11-Sep-17,104.40,105.00,104.05,104.05,241207
8-Sep-17,106.00,106.95,103.00,103.50,432843
7-Sep-17,105.00,107.00,104.65,106.95,390214
6-Sep-17,104.20,105.85,104.20,105.00,280009
5-Sep-17,104.00,106.85,102.80,103.35,272741
4-Sep-17,103.90,104.65,102.15,104.00,185555
1-Sep-17,103.00,105.10,101.65,105.00,306104
31-Aug-17,105.00,107.35,101.00,104.00,714187
30-Aug-17,100.00,104.95,99.98,104.75,660479
29-Aug-17,100.00,101.00,98.15,100.00,580654
28-Aug-17,104.05,106.95,99.05,101.85,779835
25-Aug-17,100.55,104.70,100.55,104.45,528556
24-Aug-17,98.42,100.80,98.42,100.50,608480
23-Aug-17,95.80,98.70,95.34,98.42,433743
22-Aug-17,93.12,95.49,92.55,95.33,321533
21-Aug-17,90.92,93.49,90.56,93.30,368894
18-Aug-17,92.00,93.20,90.50,90.91,384904
17-Aug-17,90.60,91.79,90.52,91.30,217462
16-Aug-17,90.65,92.00,90.51,91.00,328027
14-Aug-17,89.25,91.89,89.23,90.49,300080
11-Aug-17,88.99,89.42,87.01,89.22,389258
10-Aug-17,91.48,91.70,89.09,89.75,287417
9-Aug-17,89.88,92.17,88.05,92.00,441319
8-Aug-17,87.00,90.85,86.97,90.45,498343
7-Aug-17,84.70,87.00,84.70,87.00,261659
4-Aug-17,84.52,85.20,84.00,84.65,192684
3-Aug-17,85.00,85.29,84.48,84.90,248432
2-Aug-17,85.00,86.19,84.48,85.00,446630
1-Aug-17,82.80,85.00,82.80,85.00,583404
31-Jul-17,83.37,84.79,82.54,82.78,667338
28-Jul-17,83.20,83.20,80.58,81.42,399574
27-Jul-17,85.00,85.00,83.10,84.05,311238
26-Jul-17,84.20,86.43,81.70,85.00,993406
25-Jul-17,79.80,84.00,79.80,84.00,988055
24-Jul-17,77.19,79.95,77.18,79.70,585973
21-Jul-17,77.30,78.24,77.05,77.19,265112
20-Jul-17,76.00,77.85,75.53,77.48,331312
19-Jul-17,77.00,77.70,75.11,76.39,342301
18-Jul-17,76.15,77.68,76.10,77.38,694164
17-Jul-17,74.00,76.32,74.00,76.32,442413
14-Jul-17,73.90,74.00,72.82,74.00,165989
13-Jul-17,74.50,74.69,73.46,74.00,410954
12-Jul-17,73.05,74.39,73.05,74.39,284492
11-Jul-17,72.55,73.43,72.55,72.90,219091
10-Jul-17,73.75,73.93,71.84,72.72,141885
7-Jul-17,73.99,74.00,73.01,73.50,103266
6-Jul-17,72.95,74.00,72.95,73.97,166346
5-Jul-17,73.80,73.80,72.56,72.99,233093
4-Jul-17,74.45,74.85,73.65,74.00,91641
3-Jul-17,73.82,74.85,73.52,74.79,162936
30-Jun-17,74.10,74.38,73.53,73.97,183001
29-Jun-17,74.59,74.59,73.41,74.17,348419
28-Jun-17,73.10,74.78,72.70,73.08,295044
27-Jun-17,71.01,73.65,71.01,73.52,310555
26-Jun-17,70.88,71.78,70.50,71.50,175467
23-Jun-17,70.10,71.29,70.01,70.41,158282
22-Jun-17,70.20,71.83,70.08,70.34,201585
21-Jun-17,68.65,70.70,68.50,70.70,327510
20-Jun-17,70.60,71.80,68.07,68.65,300557
19-Jun-17,69.50,70.54,68.94,70.49,215390
16-Jun-17,68.46,69.89,68.22,69.01,576478
14-Jun-17,68.10,68.26,67.51,68.21,163403
13-Jun-17,67.21,68.89,67.21,67.78,275218
12-Jun-17,70.00,70.00,66.80,67.71,331119
9-Jun-17,69.64,70.80,69.61,70.20,181134
8-Jun-17,69.50,70.20,68.50,69.56,283582
7-Jun-17,70.50,70.90,69.21,69.65,372385
6-Jun-17,67.50,70.00,67.00,70.00,317739
5-Jun-17,67.33,68.49,65.98,67.99,316200
2-Jun-17,69.95,70.28,67.02,67.31,401884
1-Jun-17,67.00,69.49,65.00,69.20,589041
31-May-17,69.00,69.74,66.52,66.89,871955
30-May-17,70.59,70.59,67.56,68.80,443638
29-May-17,72.00,72.49,69.40,70.72,416650
26-May-17,74.74,75.19,71.51,71.88,647575
25-May-17,78.26,79.50,74.91,75.19,749178
24-May-17,73.10,75.15,72.82,74.55,318759
23-May-17,73.30,74.28,72.86,73.00,204498
22-May-17,73.30,74.50,72.70,72.82,396968
19-May-17,75.00,75.34,72.46,72.68,304780
18-May-17,74.80,74.81,70.70,73.56,543815
17-May-17,76.20,77.16,74.50,74.81,617559
16-May-17,76.80,77.90,76.10,77.49,329819
15-May-17,76.05,78.14,76.00,76.49,307365
12-May-17,77.25,77.88,75.12,75.14,553077
11-May-17,79.18,80.19,76.62,76.65,546582
10-May-17,77.21,80.30,77.20,79.63,775463
9-May-17,75.09,78.24,74.50,77.75,569207
8-May-17,75.50,75.99,73.80,74.60,518097
5-May-17,74.50,75.20,72.40,75.10,668648
4-May-17,78.00,78.30,75.31,75.41,1096338
2-May-17,80.00,81.40,78.61,79.00,654261
28-Apr-17,74.05,80.29,74.00,78.30,1576673
27-Apr-17,72.07,73.78,71.66,73.60,538380
26-Apr-17,72.10,72.79,71.60,71.95,349878
