b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.56,1.58,1.56,1.57,16185
14-Sep-17,1.55,1.57,1.55,1.57,18624
13-Sep-17,1.56,1.57,1.56,1.56,13431
12-Sep-17,1.57,1.58,1.56,1.57,62335
11-Sep-17,1.58,1.59,1.57,1.58,20527
8-Sep-17,1.58,1.59,1.56,1.58,25742
7-Sep-17,1.60,1.60,1.59,1.59,60136
6-Sep-17,1.57,1.60,1.57,1.59,190385
5-Sep-17,1.55,1.57,1.55,1.57,32507
4-Sep-17,1.59,1.61,1.55,1.56,121733
1-Sep-17,1.61,1.61,1.57,1.59,138509
31-Aug-17,1.62,1.70,1.58,1.62,521182
30-Aug-17,1.60,1.60,1.57,1.57,33011
29-Aug-17,1.59,1.60,1.58,1.59,29292
28-Aug-17,1.63,1.63,1.60,1.60,33987
25-Aug-17,1.62,1.64,1.60,1.61,43414
24-Aug-17,1.60,1.62,1.59,1.62,49437
23-Aug-17,1.62,1.62,1.58,1.60,46278
22-Aug-17,1.60,1.62,1.59,1.61,167282
21-Aug-17,1.60,1.61,1.59,1.60,75524
18-Aug-17,1.63,1.63,1.61,1.62,13109
17-Aug-17,1.67,1.67,1.62,1.63,41169
16-Aug-17,1.65,1.67,1.65,1.67,5466
14-Aug-17,1.65,1.68,1.63,1.63,42978
11-Aug-17,1.66,1.68,1.65,1.68,12464
10-Aug-17,1.70,1.70,1.65,1.68,18539
9-Aug-17,1.72,1.72,1.68,1.70,4254
8-Aug-17,1.72,1.72,1.68,1.70,30089
7-Aug-17,1.71,1.73,1.71,1.72,9493
4-Aug-17,1.70,1.72,1.69,1.70,82652
3-Aug-17,1.69,1.70,1.69,1.70,18044
2-Aug-17,1.69,1.69,1.65,1.66,78932
1-Aug-17,1.70,1.71,1.66,1.69,89445
31-Jul-17,1.71,1.71,1.67,1.68,46237
28-Jul-17,1.70,1.71,1.67,1.70,3495
27-Jul-17,1.70,1.70,1.70,1.70,11171
26-Jul-17,1.68,1.70,1.62,1.70,63258
25-Jul-17,1.71,1.71,1.67,1.68,281239
24-Jul-17,1.72,1.74,1.69,1.69,31216
21-Jul-17,1.70,1.71,1.68,1.68,68190
20-Jul-17,1.75,1.78,1.69,1.72,100479
19-Jul-17,1.78,1.80,1.73,1.74,57394
18-Jul-17,1.84,1.84,1.77,1.77,36702
17-Jul-17,1.80,1.93,1.80,1.82,41731
14-Jul-17,1.82,1.82,1.77,1.79,37401
13-Jul-17,1.85,1.85,1.79,1.79,110341
12-Jul-17,1.89,1.90,1.85,1.85,64656
11-Jul-17,1.90,1.90,1.89,1.89,872
10-Jul-17,1.92,1.92,1.88,1.90,33096
7-Jul-17,1.94,1.94,1.93,1.93,2608
6-Jul-17,1.94,1.94,1.93,1.94,12801
5-Jul-17,1.96,1.96,1.92,1.93,43083
4-Jul-17,1.96,1.97,1.94,1.95,29860
3-Jul-17,1.98,1.98,1.96,1.96,16380
30-Jun-17,1.98,1.98,1.97,1.98,5740
29-Jun-17,1.97,1.98,1.96,1.96,8200
28-Jun-17,2.00,2.00,1.95,1.95,19226
27-Jun-17,2.00,2.00,1.96,2.00,11590
26-Jun-17,2.00,2.00,1.95,2.00,20887
23-Jun-17,1.97,2.00,1.96,2.00,25190
22-Jun-17,2.00,2.00,1.95,1.99,16951
21-Jun-17,1.97,1.97,1.95,1.96,3885
20-Jun-17,2.00,2.00,1.97,1.99,13000
19-Jun-17,2.00,2.00,2.00,2.00,6481
16-Jun-17,2.00,2.00,1.99,2.00,47750
14-Jun-17,2.01,2.01,1.99,2.00,23590
13-Jun-17,2.00,2.00,1.99,2.00,34500
12-Jun-17,1.97,2.00,1.97,2.00,36133
9-Jun-17,1.99,1.99,1.95,1.99,66635
8-Jun-17,1.99,2.01,1.99,2.00,18347
7-Jun-17,1.99,2.00,1.95,1.96,77348
6-Jun-17,1.96,2.00,1.95,1.95,32100
5-Jun-17,1.92,1.99,1.92,1.95,44810
2-Jun-17,1.97,2.00,1.97,2.00,6139
1-Jun-17,2.00,2.00,1.97,2.00,12000
31-May-17,2.00,2.02,2.00,2.02,68787
30-May-17,2.00,2.00,1.99,1.99,23700
29-May-17,2.02,2.02,2.02,2.02,1010
26-May-17,2.00,2.02,1.99,1.99,5650
25-May-17,2.00,2.02,1.99,1.99,23170
24-May-17,1.98,2.02,1.98,2.00,4628
23-May-17,2.00,2.00,1.98,2.00,18650
22-May-17,2.00,2.02,1.99,2.00,23555
19-May-17,2.00,2.00,1.99,2.00,57017
18-May-17,2.00,2.00,1.98,1.99,26105
17-May-17,2.06,2.06,1.96,2.00,35024
16-May-17,2.05,2.10,2.04,2.05,62643
15-May-17,2.02,2.05,2.02,2.02,46615
12-May-17,2.04,2.05,2.02,2.02,29490
11-May-17,2.08,2.10,2.03,2.04,207757
10-May-17,2.09,2.10,2.08,2.08,54877
9-May-17,2.09,2.10,2.09,2.09,34121
8-May-17,2.10,2.10,2.08,2.10,25357
5-May-17,2.12,2.15,2.10,2.10,29386
4-May-17,2.13,2.15,2.09,2.12,49799
2-May-17,2.13,2.15,2.12,2.13,13077
28-Apr-17,2.15,2.15,2.12,2.13,174316
27-Apr-17,2.18,2.19,2.12,2.15,139348
26-Apr-17,2.20,2.20,2.17,2.20,114086
25-Apr-17,2.19,2.22,2.18,2.22,47799
24-Apr-17,2.19,2.22,2.17,2.20,51464
21-Apr-17,2.22,2.22,2.17,2.20,36569
20-Apr-17,2.23,2.23,2.23,2.23,330
19-Apr-17,2.20,2.24,2.20,2.24,2050
18-Apr-17,2.16,2.24,2.16,2.24,23025
13-Apr-17,2.19,2.21,2.15,2.17,38535
12-Apr-17,2.24,2.25,2.20,2.23,36134
11-Apr-17,2.26,2.27,2.23,2.26,27845
10-Apr-17,2.28,2.28,2.26,2.28,7719
7-Apr-17,2.30,2.30,2.26,2.28,6893
6-Apr-17,2.28,2.30,2.26,2.29,5577
5-Apr-17,2.30,2.30,2.27,2.30,7905
4-Apr-17,2.34,2.34,2.28,2.32,2032
3-Apr-17,2.31,2.35,2.28,2.28,142259
31-Mar-17,2.27,2.35,2.27,2.35,10591
30-Mar-17,2.32,2.36,2.27,2.30,4004
29-Mar-17,2.39,2.39,2.30,2.36,17002
28-Mar-17,2.30,2.39,2.30,2.37,19364
27-Mar-17,2.30,2.34,2.30,2.31,10956
24-Mar-17,2.30,2.30,2.28,2.30,10763
23-Mar-17,2.26,2.30,2.25,2.30,43887
22-Mar-17,2.34,2.34,2.26,2.27,46507
21-Mar-17,2.40,2.40,2.28,2.30,51176
20-Mar-17,2.40,2.40,2.39,2.40,29007
17-Mar-17,2.41,2.45,2.40,2.40,53265
16-Mar-17,2.40,2.53,2.40,2.41,113077
15-Mar-17,2.40,2.40,2.39,2.40,30814
14-Mar-17,2.45,2.45,2.27,2.40,60855
13-Mar-17,2.48,2.48,2.35,2.44,45574
10-Mar-17,2.40,2.55,2.40,2.48,185936
9-Mar-17,2.41,2.46,2.39,2.44,101529
8-Mar-17,2.38,2.44,2.33,2.40,35372
7-Mar-17,2.44,2.46,2.30,2.38,146300
6-Mar-17,2.36,2.48,2.34,2.40,177531
3-Mar-17,2.26,2.38,2.24,2.36,240587
2-Mar-17,2.15,2.28,2.15,2.26,244461
1-Mar-17,2.14,2.16,2.12,2.14,190453
28-Feb-17,2.10,2.14,2.10,2.14,61136
27-Feb-17,2.11,2.12,2.10,2.10,11459
24-Feb-17,2.11,2.13,2.10,2.11,13108
23-Feb-17,2.12,2.13,2.10,2.12,34623
22-Feb-17,2.11,2.13,2.11,2.13,6160
21-Feb-17,2.12,2.13,2.11,2.11,40304
20-Feb-17,2.12,2.13,2.11,2.11,30184
17-Feb-17,2.13,2.17,2.13,2.13,10649
16-Feb-17,2.17,2.17,2.15,2.15,3220
15-Feb-17,2.16,2.18,2.14,2.14,5655
14-Feb-17,2.16,2.19,2.16,2.18,47912
13-Feb-17,2.18,2.19,2.11,2.16,28436
10-Feb-17,2.14,2.20,2.14,2.19,51219
9-Feb-17,2.12,2.14,2.10,2.12,15064
8-Feb-17,2.14,2.14,2.10,2.13,36361
7-Feb-17,2.15,2.15,2.11,2.12,26670
6-Feb-17,2.19,2.19,2.16,2.16,20501
3-Feb-17,2.21,2.22,2.19,2.19,25206
2-Feb-17,2.20,2.21,2.20,2.20,127609
1-Feb-17,2.21,2.25,2.21,2.23,58610
31-Jan-17,2.10,2.23,2.10,2.21,219097
30-Jan-17,2.13,2.17,2.13,2.15,103522
27-Jan-17,2.12,2.13,2.09,2.13,10843
26-Jan-17,2.14,2.14,2.10,2.13,33085
25-Jan-17,2.05,2.14,2.05,2.13,142771
24-Jan-17,2.06,2.06,1.98,2.03,43852
23-Jan-17,2.05,2.08,2.05,2.06,32460
20-Jan-17,2.08,2.08,2.05,2.06,38160
19-Jan-17,2.08,2.08,2.06,2.07,30989
18-Jan-17,2.11,2.11,2.06,2.08,34056
17-Jan-17,2.12,2.12,2.07,2.11,29948
16-Jan-17,2.12,2.12,2.09,2.12,67667
13-Jan-17,2.10,2.12,2.09,2.10,22696
12-Jan-17,2.12,2.12,2.10,2.10,28356
11-Jan-17,2.12,2.14,2.12,2.12,65382
10-Jan-17,2.12,2.12,2.11,2.11,82645
9-Jan-17,2.15,2.17,2.14,2.14,5000
