b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,61.46,61.46,58.95,58.95,502167
14-Sep-17,59.20,61.74,58.11,61.00,171954
13-Sep-17,60.00,60.00,59.00,59.20,84646
12-Sep-17,60.00,60.28,59.02,59.80,86012
11-Sep-17,60.10,60.75,59.00,60.40,88269
8-Sep-17,61.00,61.00,59.10,59.96,104771
7-Sep-17,62.19,62.19,60.40,61.20,57697
6-Sep-17,62.50,62.50,61.55,61.90,112869
5-Sep-17,62.00,62.22,61.50,62.05,47165
4-Sep-17,61.00,62.19,61.00,61.50,39187
1-Sep-17,60.70,62.90,60.68,61.20,78649
31-Aug-17,59.05,61.41,59.05,60.70,421132
30-Aug-17,57.60,58.10,57.49,57.99,27324
29-Aug-17,58.35,58.35,57.58,57.58,87011
28-Aug-17,59.22,59.55,58.21,58.40,66795
25-Aug-17,60.00,60.03,59.21,59.50,45437
24-Aug-17,61.51,61.60,59.21,60.00,33874
23-Aug-17,61.99,61.99,61.27,61.60,62943
22-Aug-17,61.55,62.00,61.50,61.50,20104
21-Aug-17,61.02,62.83,61.02,61.71,34872
18-Aug-17,62.41,62.89,61.05,61.05,10242
17-Aug-17,62.00,63.13,61.54,62.41,29360
16-Aug-17,62.10,62.99,61.26,62.30,41008
14-Aug-17,63.50,63.60,61.61,62.96,12660
11-Aug-17,62.00,62.96,61.21,62.96,116141
10-Aug-17,62.48,62.60,61.23,62.59,19758
9-Aug-17,62.48,62.48,62.00,62.22,72717
8-Aug-17,62.45,62.95,61.51,62.01,156299
7-Aug-17,62.90,63.69,62.38,62.38,20422
4-Aug-17,63.80,63.80,62.51,62.51,12573
3-Aug-17,63.80,63.80,62.76,63.00,22265
2-Aug-17,62.87,63.89,62.87,63.81,7558
1-Aug-17,62.93,63.84,62.87,62.87,14724
31-Jul-17,64.00,64.00,62.93,63.59,16813
28-Jul-17,63.19,63.96,63.16,63.82,34589
27-Jul-17,63.66,63.86,62.58,63.60,30899
26-Jul-17,62.90,63.50,62.16,63.01,24490
25-Jul-17,63.00,63.00,61.71,62.35,30475
24-Jul-17,65.00,65.01,62.95,63.01,48525
21-Jul-17,66.55,66.55,64.55,64.94,14573
20-Jul-17,66.30,66.70,65.38,66.44,100869
19-Jul-17,65.40,66.30,65.21,66.30,9560
18-Jul-17,66.48,66.48,63.60,66.14,55600
17-Jul-17,66.49,66.50,65.11,65.51,28967
14-Jul-17,66.49,66.50,65.01,66.00,4995
13-Jul-17,65.10,66.36,64.64,65.51,19035
12-Jul-17,65.30,65.90,65.10,65.10,43649
11-Jul-17,67.13,67.13,65.16,65.30,28550
10-Jul-17,67.20,67.20,65.96,67.17,8143
7-Jul-17,66.21,67.20,65.68,67.20,7038
6-Jul-17,66.20,67.22,65.15,66.20,36166
5-Jul-17,66.46,66.46,65.65,66.00,104093
4-Jul-17,65.11,66.39,65.00,66.00,28164
3-Jul-17,65.30,66.00,64.87,65.10,18755
30-Jun-17,66.97,66.97,64.36,64.85,34138
29-Jun-17,66.84,66.87,65.56,66.86,8445
28-Jun-17,66.40,67.44,65.00,65.00,21439
27-Jun-17,67.47,67.47,66.30,66.68,11623
26-Jun-17,67.12,67.92,65.06,65.60,21423
23-Jun-17,67.30,67.75,66.55,67.75,16942
22-Jun-17,67.00,67.37,66.40,67.00,10163
21-Jun-17,65.90,67.64,65.00,66.34,123114
20-Jun-17,64.50,66.00,64.50,65.78,84019
19-Jun-17,64.10,64.90,64.10,64.50,19606
16-Jun-17,65.00,65.00,64.00,64.00,54897
14-Jun-17,63.75,65.30,63.75,64.50,64942
13-Jun-17,66.80,67.05,61.89,63.85,121431
12-Jun-17,69.00,69.29,66.80,66.80,30715
9-Jun-17,70.30,70.30,69.11,69.70,26949
8-Jun-17,71.35,71.35,69.60,69.80,82793
7-Jun-17,70.90,71.00,70.35,71.00,32771
6-Jun-17,71.00,71.29,70.82,70.90,147450
5-Jun-17,69.60,71.49,69.60,71.00,71430
2-Jun-17,68.00,69.00,68.00,69.00,25831
1-Jun-17,68.30,68.50,67.81,68.33,55748
31-May-17,67.80,68.33,67.13,67.56,60407
30-May-17,68.85,68.85,67.80,68.12,10815
29-May-17,68.00,68.63,68.00,68.30,37179
26-May-17,69.00,69.22,67.80,68.00,36697
25-May-17,69.00,69.38,68.72,68.72,22875
24-May-17,67.50,69.00,67.50,68.70,50998
23-May-17,67.00,67.66,66.39,67.60,25732
22-May-17,68.42,68.42,66.25,66.25,21196
19-May-17,66.99,67.75,66.95,67.26,36639
18-May-17,66.36,67.33,66.20,67.00,65953
17-May-17,66.90,67.27,66.35,66.35,60606
16-May-17,66.53,67.64,66.20,67.00,28124
15-May-17,68.00,68.03,67.10,67.16,115573
12-May-17,68.40,68.40,67.52,68.00,76209
11-May-17,68.47,68.96,67.13,67.94,33947
10-May-17,69.00,69.13,66.98,67.51,67776
9-May-17,68.50,69.40,68.04,68.98,29289
8-May-17,69.00,69.56,67.38,67.50,117049
5-May-17,68.60,68.99,66.60,68.67,47029
4-May-17,70.00,70.00,66.00,66.60,96269
2-May-17,70.28,70.48,69.71,70.00,23623
28-Apr-17,71.99,72.00,69.00,69.00,34524
27-Apr-17,69.21,71.50,69.21,71.00,80418
26-Apr-17,70.00,70.45,69.51,70.00,29535
25-Apr-17,68.23,69.50,67.80,69.50,100700
24-Apr-17,67.30,68.24,66.82,67.73,57131
21-Apr-17,66.80,68.30,66.80,67.29,22704
20-Apr-17,70.00,70.00,66.08,66.80,114173
19-Apr-17,69.09,70.44,68.20,70.00,64155
18-Apr-17,68.71,69.74,67.80,69.50,31307
13-Apr-17,67.80,69.04,67.80,68.75,52727
12-Apr-17,69.91,70.14,67.82,67.82,25027
11-Apr-17,69.32,71.00,68.52,69.00,42963
10-Apr-17,68.52,70.00,68.01,69.32,31003
7-Apr-17,70.80,70.80,68.83,69.00,80385
6-Apr-17,73.00,73.00,70.50,70.80,47210
5-Apr-17,73.00,73.29,72.55,73.00,33534
4-Apr-17,73.19,73.24,71.71,73.10,119623
3-Apr-17,72.00,72.90,71.52,71.95,29215
31-Mar-17,73.20,73.20,71.50,71.50,16003
30-Mar-17,71.00,72.97,71.00,72.97,13267
29-Mar-17,71.03,73.00,71.03,71.13,18236
28-Mar-17,72.00,73.19,71.06,71.72,101326
27-Mar-17,71.15,72.37,71.00,72.03,31505
24-Mar-17,73.15,74.00,72.11,72.70,150345
23-Mar-17,74.63,74.63,73.50,74.00,59294
22-Mar-17,74.27,75.00,73.13,74.63,95912
21-Mar-17,74.50,75.00,74.17,74.96,38766
20-Mar-17,74.10,75.02,74.10,75.02,7992
17-Mar-17,76.60,76.60,74.09,74.70,145580
16-Mar-17,75.44,76.20,75.25,75.46,77095
15-Mar-17,75.50,75.81,73.25,74.32,78281
14-Mar-17,74.45,75.30,74.12,74.21,51329
13-Mar-17,73.50,74.40,73.01,74.19,39122
10-Mar-17,74.45,74.45,72.50,73.50,96851
9-Mar-17,74.50,75.32,73.50,73.90,70718
8-Mar-17,77.00,77.00,74.30,74.70,100917
7-Mar-17,77.82,77.82,74.55,76.95,62950
6-Mar-17,78.35,78.48,76.74,77.00,59926
3-Mar-17,79.19,79.19,76.91,77.01,91673
2-Mar-17,79.00,79.20,78.27,78.30,62714
1-Mar-17,79.85,79.95,78.52,78.80,56293
28-Feb-17,79.99,79.99,77.19,78.50,51528
27-Feb-17,78.52,79.84,78.52,79.60,24929
24-Feb-17,80.90,81.89,76.52,79.00,81200
23-Feb-17,79.50,80.62,79.00,80.00,77775
22-Feb-17,79.80,79.80,78.83,79.20,73981
21-Feb-17,77.89,79.60,77.89,79.50,70764
20-Feb-17,77.60,79.18,77.11,79.00,13618
17-Feb-17,78.11,79.50,77.22,77.50,64961
16-Feb-17,76.00,78.89,75.99,78.87,76350
15-Feb-17,76.80,77.44,75.25,76.70,90326
14-Feb-17,77.97,78.50,76.36,76.80,104864
13-Feb-17,78.95,78.95,76.90,77.30,46360
10-Feb-17,79.95,80.00,76.10,78.95,67853
9-Feb-17,76.80,79.89,76.16,79.60,57687
8-Feb-17,76.07,76.90,75.94,76.55,51297
7-Feb-17,75.69,76.99,75.51,76.60,36452
6-Feb-17,76.82,77.31,75.21,76.61,41749
3-Feb-17,77.56,77.96,75.21,76.82,61096
2-Feb-17,78.50,79.71,77.51,77.56,18686
1-Feb-17,80.22,80.50,78.09,78.50,70677
31-Jan-17,79.21,80.39,77.68,79.82,126744
30-Jan-17,79.99,79.99,77.50,78.00,55726
27-Jan-17,77.00,79.99,76.75,79.99,79309
26-Jan-17,76.10,77.72,75.90,76.75,99100
25-Jan-17,74.74,77.15,74.20,76.00,182106
24-Jan-17,74.49,74.50,73.06,74.50,121513
23-Jan-17,73.50,74.63,72.07,74.23,119757
20-Jan-17,73.08,75.60,72.05,73.50,33027
19-Jan-17,72.20,73.09,72.20,73.08,32992
18-Jan-17,74.50,74.50,71.01,72.20,223562
17-Jan-17,73.80,75.00,73.80,74.00,55411
16-Jan-17,72.95,74.97,72.95,74.80,105174
13-Jan-17,72.05,74.54,71.63,73.86,165943
12-Jan-17,68.60,72.95,67.72,72.95,264441
11-Jan-17,64.52,69.46,64.52,68.60,94706
10-Jan-17,66.68,66.68,64.51,64.51,117358
9-Jan-17,64.89,66.25,63.43,66.25,131982
