b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,120.70,120.95,119.00,119.00,946482
14-Sep-17,119.70,121.30,118.60,120.15,604240
13-Sep-17,123.65,123.70,119.90,120.30,1090281
12-Sep-17,125.50,125.85,122.70,123.70,480772
11-Sep-17,124.70,126.00,123.50,125.45,515119
8-Sep-17,125.00,125.00,122.05,123.40,925872
7-Sep-17,126.25,127.60,125.35,125.80,588738
6-Sep-17,129.50,129.80,125.60,125.80,674118
5-Sep-17,128.70,132.25,127.80,128.80,1486053
4-Sep-17,126.95,128.20,126.80,128.00,351275
1-Sep-17,126.55,127.40,125.50,127.10,381628
31-Aug-17,127.50,128.25,125.05,126.10,843251
30-Aug-17,127.30,127.85,126.30,126.80,647350
29-Aug-17,127.00,127.10,124.25,126.70,714908
28-Aug-17,126.90,127.50,125.05,126.60,527754
25-Aug-17,125.80,127.00,125.00,126.00,1027849
24-Aug-17,122.40,124.05,122.00,123.55,576536
23-Aug-17,123.10,123.50,121.15,122.20,376938
22-Aug-17,122.10,124.25,122.10,123.10,850953
21-Aug-17,120.00,121.35,119.55,121.35,350694
18-Aug-17,120.35,121.00,118.50,118.70,851003
17-Aug-17,123.40,123.50,120.25,120.35,560491
16-Aug-17,119.00,123.60,118.30,123.00,756757
14-Aug-17,119.60,119.80,118.15,118.70,364529
11-Aug-17,119.20,119.85,118.50,118.65,608202
10-Aug-17,123.25,124.25,120.10,120.60,376560
9-Aug-17,125.00,125.40,122.25,123.25,648349
8-Aug-17,121.45,124.75,120.95,124.70,714674
7-Aug-17,119.95,122.00,119.40,121.55,547313
4-Aug-17,120.90,121.00,119.05,119.95,458768
3-Aug-17,118.80,120.45,118.00,119.70,562104
2-Aug-17,121.00,121.90,119.05,119.05,662819
1-Aug-17,122.65,122.70,120.20,121.00,1059331
31-Jul-17,123.70,124.90,122.00,122.30,1035060
28-Jul-17,123.05,123.30,121.20,121.70,759193
27-Jul-17,124.40,125.60,122.60,124.60,617726
26-Jul-17,123.20,124.75,122.50,124.00,934768
