b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.80,5.98,5.73,5.75,15921
14-Sep-17,5.95,5.95,5.85,5.85,2337
13-Sep-17,6.02,6.02,5.80,5.91,7922
12-Sep-17,6.06,6.06,5.89,5.99,4877
11-Sep-17,5.98,6.08,5.98,6.06,5903
8-Sep-17,5.97,5.97,5.88,5.96,4717
7-Sep-17,6.11,6.11,5.88,5.88,9108
6-Sep-17,6.05,6.07,6.00,6.07,2215
5-Sep-17,6.05,6.15,6.04,6.14,7176
4-Sep-17,6.00,6.04,5.80,6.04,22780
1-Sep-17,6.07,6.07,6.00,6.02,2023
31-Aug-17,6.14,6.14,5.99,5.99,10185
30-Aug-17,6.16,6.16,6.16,6.16,1
29-Aug-17,6.17,6.17,6.15,6.16,578
28-Aug-17,6.20,6.20,6.08,6.16,488
25-Aug-17,6.19,6.19,6.00,6.19,1245
24-Aug-17,6.24,6.24,6.09,6.19,5601
23-Aug-17,6.15,6.28,6.10,6.24,6693
22-Aug-17,6.20,6.20,6.01,6.01,10680
21-Aug-17,6.24,6.24,6.10,6.15,3707
18-Aug-17,6.28,6.28,6.28,6.28,1
17-Aug-17,6.20,6.20,6.16,6.17,4033
16-Aug-17,6.30,6.30,6.17,6.17,25231
14-Aug-17,6.47,6.48,6.34,6.36,9840
11-Aug-17,6.49,6.51,6.41,6.48,8136
10-Aug-17,6.52,6.52,6.35,6.40,974
9-Aug-17,6.48,6.53,6.41,6.43,1159
8-Aug-17,6.55,6.79,6.20,6.41,33530
7-Aug-17,6.59,6.59,6.41,6.56,14012
4-Aug-17,6.30,6.60,6.30,6.54,48882
3-Aug-17,6.28,6.29,6.26,6.26,106
2-Aug-17,6.30,6.30,6.25,6.27,1005
1-Aug-17,6.30,6.30,6.24,6.24,4058
31-Jul-17,6.32,6.32,6.30,6.30,103
28-Jul-17,6.32,6.32,6.23,6.32,3386
27-Jul-17,6.33,6.33,6.25,6.32,1056
26-Jul-17,6.34,6.34,6.24,6.24,3820
25-Jul-17,6.29,6.35,6.24,6.35,1464
24-Jul-17,6.29,6.30,6.25,6.30,2022
21-Jul-17,6.29,6.30,6.25,6.30,4464
20-Jul-17,6.36,6.36,6.26,6.29,5904
19-Jul-17,6.33,6.34,6.25,6.29,2591
18-Jul-17,6.32,6.33,6.32,6.32,1492
17-Jul-17,6.24,6.34,6.23,6.29,2549
14-Jul-17,6.24,6.28,6.21,6.28,3041
13-Jul-17,6.34,6.34,6.20,6.21,14906
12-Jul-17,6.48,6.48,6.30,6.30,14791
11-Jul-17,6.28,6.54,6.12,6.45,184006
10-Jul-17,6.95,6.95,6.79,6.94,2167
7-Jul-17,6.90,6.93,6.66,6.86,14926
