b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.85,4.00,3.82,3.90,37230
14-Sep-17,3.93,3.97,3.87,3.89,20123
13-Sep-17,3.95,3.99,3.93,3.98,22617
12-Sep-17,3.96,3.98,3.96,3.98,34841
11-Sep-17,4.00,4.00,3.98,3.99,1017
8-Sep-17,4.02,4.02,3.96,4.00,11522
7-Sep-17,4.02,4.02,3.99,4.02,7307
6-Sep-17,4.03,4.03,3.99,4.02,19521
5-Sep-17,4.04,4.07,3.98,4.05,25051
4-Sep-17,4.01,4.08,3.98,4.05,25001
1-Sep-17,4.00,4.08,3.98,4.08,23189
31-Aug-17,4.05,4.05,3.98,4.00,15340
30-Aug-17,4.06,4.10,4.02,4.08,12272
29-Aug-17,4.09,4.12,4.06,4.11,7173
28-Aug-17,4.11,4.14,4.07,4.14,177855
25-Aug-17,4.08,4.12,4.07,4.11,63716
24-Aug-17,4.08,4.10,4.06,4.10,47831
23-Aug-17,4.05,4.11,4.05,4.08,50927
22-Aug-17,4.01,4.05,3.97,4.03,79996
21-Aug-17,3.97,4.03,3.94,4.00,40290
18-Aug-17,4.00,4.03,3.97,4.03,8195
17-Aug-17,4.00,4.05,3.98,4.05,44188
16-Aug-17,4.00,4.03,4.00,4.03,71378
14-Aug-17,3.95,4.02,3.95,4.02,674
11-Aug-17,4.04,4.04,3.98,4.02,39414
10-Aug-17,4.05,4.05,4.02,4.04,36410
9-Aug-17,4.05,4.05,3.98,4.05,36436
8-Aug-17,4.05,4.08,4.01,4.06,137874
7-Aug-17,4.09,4.09,4.06,4.07,6266
4-Aug-17,4.04,4.09,4.04,4.09,17238
3-Aug-17,4.07,4.09,4.07,4.07,28138
2-Aug-17,4.05,4.09,4.05,4.09,58180
1-Aug-17,4.05,4.09,4.04,4.08,45229
31-Jul-17,4.05,4.08,4.04,4.08,5370
28-Jul-17,4.05,4.09,4.03,4.09,22690
27-Jul-17,4.07,4.10,4.07,4.08,31048
26-Jul-17,4.12,4.14,4.00,4.07,55608
25-Jul-17,4.07,4.12,4.06,4.10,38510
24-Jul-17,4.11,4.13,4.05,4.05,14967
21-Jul-17,4.13,4.15,4.11,4.13,42700
20-Jul-17,4.08,4.16,4.08,4.11,328258
19-Jul-17,4.07,4.11,4.05,4.11,9669
18-Jul-17,4.10,4.10,4.05,4.07,23183
17-Jul-17,4.12,4.15,4.10,4.12,49720
14-Jul-17,4.15,4.15,4.11,4.12,60587
13-Jul-17,4.12,4.16,4.12,4.16,47001
12-Jul-17,4.08,4.17,4.08,4.13,29274
11-Jul-17,4.11,4.14,4.10,4.10,17671
10-Jul-17,4.10,4.18,4.08,4.10,74514
7-Jul-17,4.06,4.12,4.04,4.09,43912
6-Jul-17,4.01,4.06,4.01,4.06,56896
5-Jul-17,4.01,4.06,4.01,4.03,39256
4-Jul-17,4.03,4.05,4.03,4.03,29388
3-Jul-17,4.00,4.03,4.00,4.03,25098
30-Jun-17,3.96,4.02,3.96,4.02,43632
29-Jun-17,4.01,4.06,3.95,4.02,37826
28-Jun-17,3.95,4.07,3.93,4.02,34808
27-Jun-17,4.02,4.09,4.02,4.02,97532
26-Jun-17,3.92,3.95,3.87,3.94,10249
23-Jun-17,3.93,3.94,3.93,3.94,2510
22-Jun-17,3.95,3.95,3.86,3.94,9214
21-Jun-17,3.90,3.99,3.83,3.93,23282
20-Jun-17,3.99,3.99,3.82,3.85,41424
19-Jun-17,4.05,4.05,3.98,4.00,15126
16-Jun-17,4.08,4.08,4.02,4.07,10155
14-Jun-17,4.03,4.07,4.03,4.07,20888
13-Jun-17,4.06,4.08,4.01,4.07,68252
12-Jun-17,4.06,4.12,4.06,4.10,84149
9-Jun-17,4.16,4.16,4.06,4.13,189142
8-Jun-17,4.01,4.19,4.00,4.18,3898479
7-Jun-17,3.75,4.01,3.72,4.00,346622
6-Jun-17,3.52,3.87,3.48,3.68,170664
5-Jun-17,3.57,3.57,3.46,3.51,22841
2-Jun-17,3.60,3.60,3.45,3.54,57857
1-Jun-17,3.60,3.61,3.50,3.59,28915
31-May-17,3.60,3.66,3.56,3.60,35470
30-May-17,3.64,3.64,3.59,3.63,12739
29-May-17,3.66,3.68,3.62,3.67,5533
26-May-17,3.63,3.69,3.60,3.69,17686
25-May-17,3.64,3.66,3.60,3.66,65295
24-May-17,3.86,3.86,3.48,3.64,92874
23-May-17,3.78,3.78,3.68,3.74,46377
22-May-17,3.90,3.93,3.78,3.78,48530
19-May-17,3.84,3.94,3.77,3.94,90676
18-May-17,3.91,3.96,3.63,3.84,159354
17-May-17,4.12,4.12,3.94,3.96,158961
