b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,301.50,308.00,298.65,298.65,300725
14-Sep-17,310.50,313.00,301.10,302.95,90258
13-Sep-17,304.80,311.50,304.65,311.00,118839
12-Sep-17,304.35,306.10,300.20,304.50,130750
11-Sep-17,310.50,314.40,300.40,301.00,109967
8-Sep-17,299.45,315.05,295.15,310.00,152122
7-Sep-17,310.00,313.75,297.15,299.55,258268
6-Sep-17,344.90,344.90,301.10,317.10,378536
5-Sep-17,340.80,340.80,333.00,339.00,26098
4-Sep-17,339.20,344.65,337.05,338.90,36816
1-Sep-17,340.00,341.00,337.30,339.00,55218
31-Aug-17,337.00,343.80,337.00,340.95,79071
30-Aug-17,327.00,334.00,325.15,334.00,59020
29-Aug-17,335.80,339.20,320.10,322.25,34329
28-Aug-17,338.80,340.00,335.35,336.40,25886
25-Aug-17,338.75,340.00,335.05,338.80,24575
24-Aug-17,338.50,341.00,335.35,337.50,15667
23-Aug-17,337.00,339.45,331.20,336.50,14699
22-Aug-17,334.50,338.00,333.15,337.00,30222
21-Aug-17,337.30,341.95,333.40,335.20,14479
18-Aug-17,338.85,342.20,335.25,338.30,18489
17-Aug-17,338.95,343.95,337.60,338.85,79623
16-Aug-17,336.70,339.45,333.50,337.45,12459
14-Aug-17,339.50,339.50,332.00,332.05,29996
11-Aug-17,332.25,339.65,330.20,335.10,37392
10-Aug-17,332.00,339.80,330.20,333.50,58602
9-Aug-17,341.00,341.00,328.55,331.80,30206
8-Aug-17,337.40,341.45,336.00,340.00,39606
7-Aug-17,330.25,339.00,330.25,336.80,44210
4-Aug-17,343.10,344.90,328.00,330.25,52637
3-Aug-17,348.50,349.70,340.95,343.00,20808
2-Aug-17,348.45,348.55,346.60,347.70,52328
1-Aug-17,347.45,348.00,340.00,348.00,33447
31-Jul-17,340.00,349.35,338.40,344.00,34111
28-Jul-17,340.00,342.65,334.05,337.50,56950
27-Jul-17,334.10,342.80,334.00,338.50,75320
26-Jul-17,336.00,337.95,332.00,334.70,45832
25-Jul-17,334.10,339.95,332.40,332.40,46340
24-Jul-17,329.00,337.35,327.40,334.00,63781
21-Jul-17,322.55,331.50,322.55,330.65,68822
20-Jul-17,323.50,333.45,321.30,324.00,101445
19-Jul-17,319.50,321.80,315.50,317.50,61363
18-Jul-17,312.45,319.50,312.00,319.50,43038
17-Jul-17,307.00,316.35,307.00,313.40,37130
14-Jul-17,301.95,307.00,301.70,306.95,58374
13-Jul-17,306.50,308.55,300.85,301.95,27169
12-Jul-17,301.55,307.00,300.15,307.00,60715
11-Jul-17,305.70,306.95,301.25,301.45,19678
10-Jul-17,301.10,307.00,301.10,305.00,40893
7-Jul-17,303.60,303.70,298.20,301.00,17835
6-Jul-17,303.00,305.00,302.25,303.60,44493
