b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,402.90,404.30,399.20,404.10,3408
14-Sep-17,403.80,404.90,398.50,400.05,19013
13-Sep-17,400.10,406.00,400.10,403.75,14239
12-Sep-17,396.00,401.75,396.00,400.80,7924
11-Sep-17,390.00,397.95,390.00,396.00,2695
8-Sep-17,393.15,396.40,390.25,390.25,2795
7-Sep-17,397.95,397.95,390.50,392.15,1914
6-Sep-17,404.60,404.60,394.25,396.55,2856
5-Sep-17,400.15,404.80,399.05,404.80,11181
4-Sep-17,398.60,401.50,398.60,399.50,673
1-Sep-17,402.05,403.50,396.30,398.40,1449
31-Aug-17,395.50,405.45,395.50,402.10,5537
30-Aug-17,388.50,402.00,386.05,395.75,9982
29-Aug-17,400.00,401.20,389.00,389.00,22491
28-Aug-17,398.50,400.00,395.50,399.70,5244
25-Aug-17,403.00,403.00,396.45,399.00,6206
24-Aug-17,408.50,408.50,403.60,405.00,2303
23-Aug-17,407.80,410.00,404.00,405.05,6215
22-Aug-17,431.00,433.75,431.00,431.75,16168
21-Aug-17,432.80,433.00,424.60,430.00,10658
18-Aug-17,433.70,433.70,431.00,431.30,5218
17-Aug-17,433.70,433.75,430.00,433.75,6708
16-Aug-17,430.00,433.55,430.00,432.95,8044
14-Aug-17,424.00,430.00,423.35,429.50,4601
11-Aug-17,424.00,424.95,417.05,423.20,6505
10-Aug-17,424.90,424.90,419.50,423.40,5271
9-Aug-17,420.00,424.00,418.15,424.00,4394
8-Aug-17,424.00,424.90,417.65,420.00,6877
7-Aug-17,420.00,421.00,418.80,420.95,10592
4-Aug-17,420.00,421.00,417.10,417.10,11240
3-Aug-17,423.00,423.00,413.30,421.75,20817
2-Aug-17,425.10,425.75,420.00,421.80,2851
1-Aug-17,418.70,422.50,418.15,418.15,3194
31-Jul-17,425.70,425.70,418.50,418.55,2783
28-Jul-17,420.00,425.00,418.95,425.00,2853
27-Jul-17,419.00,420.90,418.80,420.00,8927
26-Jul-17,419.80,422.95,418.30,419.90,4671
25-Jul-17,420.45,420.45,417.70,419.50,6879
24-Jul-17,423.00,425.95,418.00,418.00,3027
21-Jul-17,425.30,425.30,420.75,421.50,8330
20-Jul-17,425.00,425.00,421.55,423.20,12458
19-Jul-17,426.00,427.95,423.05,423.90,3723
18-Jul-17,429.00,430.00,423.20,423.20,7293
17-Jul-17,427.25,429.45,427.25,428.00,1854
14-Jul-17,425.00,427.05,425.00,427.00,3642
13-Jul-17,429.75,429.75,424.50,425.00,2837
12-Jul-17,431.95,431.95,425.05,428.60,2405
11-Jul-17,432.00,432.00,428.50,429.00,1275
10-Jul-17,433.75,433.75,431.00,433.00,1263
7-Jul-17,432.55,433.75,430.10,431.35,1231
6-Jul-17,427.95,433.75,427.95,433.75,10784
5-Jul-17,432.60,432.60,425.05,427.95,1892
4-Jul-17,434.60,434.60,429.50,431.90,3310
3-Jul-17,435.70,435.70,429.10,432.95,1431
30-Jun-17,433.90,435.00,429.80,435.00,2408
29-Jun-17,433.50,433.75,427.30,433.75,5198
28-Jun-17,427.60,433.00,425.25,433.00,4329
27-Jun-17,425.25,435.10,423.65,431.00,5053
26-Jun-17,435.90,435.90,421.20,425.25,3424
23-Jun-17,436.00,436.00,430.90,433.00,2795
22-Jun-17,430.10,435.95,430.10,434.70,1597
21-Jun-17,434.40,436.00,430.40,435.95,1386
20-Jun-17,436.95,436.95,430.55,434.55,970
19-Jun-17,440.00,440.00,430.20,435.35,2084
16-Jun-17,434.10,439.00,429.05,439.00,1615
14-Jun-17,428.00,434.90,424.50,434.90,1877
13-Jun-17,428.70,429.95,422.60,429.95,2564
12-Jun-17,429.80,429.80,424.00,427.00,3305
9-Jun-17,430.80,430.80,425.05,430.50,671
8-Jun-17,427.60,431.95,424.60,429.20,3010
7-Jun-17,428.70,429.00,423.35,427.95,694
6-Jun-17,427.00,429.00,423.55,428.30,9504
5-Jun-17,428.40,428.40,422.05,427.00,2094
2-Jun-17,429.35,429.35,422.20,424.65,1450
1-Jun-17,430.00,430.00,422.25,422.50,1242
31-May-17,429.10,430.00,420.25,430.00,19515
30-May-17,423.00,430.00,419.05,430.00,3097
29-May-17,422.50,423.45,417.50,423.00,1742
26-May-17,421.10,427.40,420.05,424.20,1987
25-May-17,421.70,424.50,421.70,422.10,1258
24-May-17,423.00,425.00,419.05,420.85,17014
23-May-17,423.70,423.95,418.30,423.55,15122
22-May-17,426.25,429.90,417.50,417.50,4281
19-May-17,423.00,427.45,416.15,425.35,2821
18-May-17,426.00,427.95,414.05,422.75,4118
17-May-17,425.00,435.00,416.50,428.00,4972
16-May-17,421.80,427.50,421.75,424.50,3592
15-May-17,419.00,424.95,416.00,421.75,2236
12-May-17,422.70,426.90,413.15,419.20,12286
