b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.83,0.86,0.83,0.84,145082
14-Sep-17,0.84,0.88,0.84,0.84,228885
13-Sep-17,0.86,0.87,0.84,0.85,114309
12-Sep-17,0.89,0.89,0.84,0.87,139700
11-Sep-17,0.92,0.92,0.88,0.89,155065
8-Sep-17,0.89,0.90,0.85,0.90,457828
7-Sep-17,0.92,0.93,0.88,0.89,301492
6-Sep-17,0.90,0.93,0.90,0.91,232615
5-Sep-17,0.93,0.96,0.89,0.91,296132
4-Sep-17,0.96,0.96,0.91,0.93,523504
1-Sep-17,1.07,1.07,0.97,0.97,656789
31-Aug-17,0.90,1.08,0.87,1.05,537369
30-Aug-17,0.89,0.92,0.89,0.89,77280
29-Aug-17,0.91,0.93,0.89,0.91,86136
28-Aug-17,0.89,0.93,0.89,0.91,48682
25-Aug-17,0.90,0.92,0.88,0.89,41790
24-Aug-17,0.88,0.92,0.88,0.90,31591
23-Aug-17,0.92,0.92,0.87,0.90,33053
22-Aug-17,0.90,0.93,0.89,0.91,74011
21-Aug-17,0.88,0.90,0.87,0.89,49855
18-Aug-17,0.84,0.88,0.82,0.88,110312
17-Aug-17,0.91,0.91,0.83,0.84,183865
16-Aug-17,0.90,0.93,0.90,0.90,147888
14-Aug-17,0.93,0.93,0.91,0.91,103757
11-Aug-17,0.96,0.97,0.92,0.95,135281
10-Aug-17,0.94,0.96,0.93,0.96,110557
9-Aug-17,0.97,0.97,0.93,0.94,138456
8-Aug-17,0.98,0.99,0.94,0.97,218745
7-Aug-17,1.01,1.02,0.97,1.00,56352
4-Aug-17,0.98,1.01,0.97,1.00,64030
3-Aug-17,0.95,0.98,0.95,0.98,56561
2-Aug-17,0.98,0.99,0.94,0.94,438055
1-Aug-17,0.99,1.00,0.97,0.99,24133
31-Jul-17,0.97,1.01,0.97,0.98,92079
28-Jul-17,0.96,1.01,0.95,0.97,97157
27-Jul-17,0.99,1.00,0.93,0.97,193151
26-Jul-17,1.02,1.04,1.00,1.01,58561
25-Jul-17,1.02,1.07,0.99,1.00,232243
24-Jul-17,1.05,1.06,1.03,1.03,60793
21-Jul-17,1.11,1.15,1.03,1.07,273342
20-Jul-17,1.00,1.13,1.00,1.10,488979
19-Jul-17,1.02,1.02,0.98,0.99,66057
18-Jul-17,1.01,1.02,0.96,1.01,44274
17-Jul-17,1.02,1.02,0.98,1.01,87865
14-Jul-17,0.95,1.03,0.95,1.00,187596
13-Jul-17,0.93,0.97,0.91,0.95,63541
12-Jul-17,0.94,0.95,0.92,0.92,45138
11-Jul-17,0.93,0.97,0.93,0.93,72130
10-Jul-17,0.93,0.96,0.92,0.94,72835
7-Jul-17,0.97,0.99,0.90,0.93,243978
6-Jul-17,0.98,0.99,0.95,0.98,44601
5-Jul-17,1.00,1.01,0.99,0.99,25346
4-Jul-17,1.00,1.01,0.96,1.00,61193
3-Jul-17,1.00,1.06,0.95,0.98,305832
30-Jun-17,1.07,1.07,0.97,0.99,441049
29-Jun-17,1.07,1.10,1.06,1.07,13827
28-Jun-17,1.09,1.11,1.07,1.08,46531
27-Jun-17,1.11,1.12,1.09,1.10,43022
26-Jun-17,1.12,1.13,1.08,1.10,27519
23-Jun-17,1.11,1.13,1.07,1.12,72353
22-Jun-17,1.06,1.12,1.06,1.11,85098
21-Jun-17,1.06,1.09,1.03,1.06,47506
20-Jun-17,1.06,1.08,1.05,1.05,90664
19-Jun-17,1.07,1.09,1.04,1.06,56443
16-Jun-17,1.08,1.08,1.01,1.06,249806
14-Jun-17,1.06,1.15,1.02,1.10,191369
13-Jun-17,1.17,1.17,1.06,1.06,207715
12-Jun-17,1.22,1.22,1.12,1.17,141568
9-Jun-17,1.22,1.22,1.17,1.22,10000
8-Jun-17,1.21,1.22,1.19,1.20,26512
7-Jun-17,1.22,1.25,1.21,1.21,34805
6-Jun-17,1.25,1.27,1.22,1.25,47457
5-Jun-17,1.24,1.27,1.24,1.27,35293
2-Jun-17,1.24,1.27,1.21,1.24,32805
1-Jun-17,1.20,1.25,1.15,1.24,121024
31-May-17,1.28,1.31,1.20,1.20,212556
30-May-17,1.30,1.34,1.30,1.33,29768
29-May-17,1.34,1.34,1.26,1.34,52603
26-May-17,1.35,1.38,1.30,1.34,118936
25-May-17,1.38,1.39,1.32,1.34,63953
24-May-17,1.33,1.40,1.33,1.38,50725
23-May-17,1.32,1.44,1.29,1.35,189723
22-May-17,1.34,1.35,1.29,1.32,91868
19-May-17,1.35,1.37,1.30,1.34,140169
18-May-17,1.43,1.44,1.33,1.36,210085
17-May-17,1.50,1.53,1.38,1.43,344958
16-May-17,1.46,1.53,1.40,1.50,544412
15-May-17,1.36,1.47,1.33,1.46,113041
12-May-17,1.37,1.44,1.33,1.37,111351
11-May-17,1.40,1.42,1.37,1.37,36643
10-May-17,1.38,1.42,1.37,1.40,25394
9-May-17,1.45,1.45,1.36,1.39,73294
8-May-17,1.45,1.46,1.41,1.42,35394
5-May-17,1.44,1.46,1.39,1.43,40649
4-May-17,1.43,1.48,1.43,1.43,142766
2-May-17,1.51,1.55,1.42,1.42,224121
28-Apr-17,1.35,1.52,1.34,1.49,644334
