b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.74,1.90,1.74,1.80,17729
14-Sep-17,1.84,1.84,1.72,1.76,369909
13-Sep-17,1.89,1.89,1.82,1.82,8192
12-Sep-17,1.91,1.92,1.90,1.90,69
11-Sep-17,1.92,1.92,1.88,1.92,1176
8-Sep-17,1.94,1.94,1.91,1.91,102
7-Sep-17,1.94,1.94,1.94,1.94,2398
6-Sep-17,1.82,1.95,1.82,1.95,1450
5-Sep-17,1.89,1.95,1.89,1.95,805926
4-Sep-17,1.82,1.95,1.82,1.95,8564
1-Sep-17,1.68,1.83,1.68,1.83,22619
31-Aug-17,1.80,1.80,1.80,1.80,115015
30-Aug-17,1.84,1.84,1.84,1.84,48
29-Aug-17,1.80,1.81,1.80,1.81,4633
28-Aug-17,1.80,1.80,1.80,1.80,476
25-Aug-17,1.66,1.80,1.65,1.80,23926
24-Aug-17,1.76,1.76,1.76,1.76,4400
23-Aug-17,1.80,1.80,1.80,1.80,80
22-Aug-17,1.79,1.79,1.76,1.76,1353
21-Aug-17,1.79,1.79,1.79,1.79,3410
18-Aug-17,1.78,1.79,1.78,1.79,1243
17-Aug-17,1.78,1.79,1.78,1.78,1286
16-Aug-17,1.56,1.76,1.47,1.75,46383
14-Aug-17,1.75,1.75,1.73,1.73,4124
11-Aug-17,1.85,1.85,1.75,1.75,8219
10-Aug-17,1.99,1.99,1.81,1.85,10050
9-Aug-17,2.00,2.00,2.00,2.00,3235
8-Aug-17,2.00,2.00,2.00,2.00,900
7-Aug-17,2.03,2.03,2.00,2.01,7362
4-Aug-17,2.01,2.01,2.00,2.01,5000
3-Aug-17,2.01,2.01,2.00,2.00,1007
2-Aug-17,2.10,2.10,2.07,2.07,4311
1-Aug-17,2.10,2.11,2.07,2.11,4681
31-Jul-17,2.01,2.09,2.01,2.09,2316
28-Jul-17,2.08,2.08,2.00,2.01,48079
27-Jul-17,2.17,2.17,2.12,2.12,25392
26-Jul-17,2.20,2.20,2.17,2.17,2500
25-Jul-17,2.15,2.20,2.14,2.20,55732
24-Jul-17,2.15,2.15,2.15,2.15,7152
21-Jul-17,2.13,2.15,2.07,2.15,6368
20-Jul-17,2.14,2.14,2.12,2.14,1346
19-Jul-17,2.09,2.15,2.09,2.15,204270
18-Jul-17,2.08,2.11,2.07,2.11,7365
17-Jul-17,2.10,2.10,2.07,2.10,1174
14-Jul-17,2.10,2.10,2.06,2.10,484292
13-Jul-17,2.10,2.10,2.10,2.10,1053
12-Jul-17,2.12,2.15,2.12,2.15,157
11-Jul-17,2.15,2.15,2.05,2.15,3093
10-Jul-17,2.05,2.11,2.02,2.04,1781
7-Jul-17,2.02,2.10,2.02,2.10,1850
6-Jul-17,2.10,2.10,2.05,2.09,6200
5-Jul-17,2.05,2.10,2.05,2.10,179367
4-Jul-17,2.12,2.12,2.05,2.06,20549
3-Jul-17,2.19,2.19,2.12,2.12,5758
30-Jun-17,2.19,2.19,2.19,2.19,14
29-Jun-17,2.17,2.20,2.17,2.20,950
28-Jun-17,2.14,2.18,2.14,2.18,2740
27-Jun-17,2.14,2.19,2.14,2.19,2994
26-Jun-17,2.16,2.16,2.16,2.16,460
23-Jun-17,-,-,-,2.15,0
22-Jun-17,2.15,2.15,2.15,2.15,700
21-Jun-17,2.22,2.23,2.14,2.14,5975
20-Jun-17,2.22,2.22,2.13,2.13,1204
19-Jun-17,2.18,2.18,2.18,2.18,10
16-Jun-17,2.13,2.13,2.13,2.13,28
14-Jun-17,2.14,2.18,2.14,2.14,7476
13-Jun-17,2.25,2.25,2.20,2.20,5270
12-Jun-17,2.27,2.27,2.23,2.24,9520
9-Jun-17,2.17,2.26,2.13,2.26,41192
8-Jun-17,2.11,2.12,2.09,2.12,14036
7-Jun-17,2.18,2.18,2.01,2.16,13786
6-Jun-17,2.15,2.23,2.15,2.18,28702
5-Jun-17,2.19,2.19,2.14,2.15,12957
2-Jun-17,2.19,2.19,2.14,2.14,4066
1-Jun-17,2.19,2.19,2.10,2.18,4415
31-May-17,2.20,2.20,2.15,2.15,856
30-May-17,2.28,2.28,2.16,2.18,18943
29-May-17,2.15,2.26,2.08,2.26,44511
26-May-17,2.27,2.27,2.07,2.07,34490
25-May-17,2.14,2.28,2.14,2.27,99144
24-May-17,2.07,2.16,2.07,2.16,38694
23-May-17,1.99,2.12,1.99,2.12,32750
22-May-17,2.05,2.05,2.05,2.05,5000
19-May-17,1.99,2.06,1.99,2.06,7955
18-May-17,1.99,1.99,1.98,1.99,25442
17-May-17,2.01,2.01,1.99,1.99,24364
16-May-17,1.99,2.00,1.99,1.99,37658
15-May-17,2.05,2.05,1.99,2.01,13307
12-May-17,2.03,2.10,2.03,2.08,25309
11-May-17,2.00,2.05,2.00,2.03,35495
10-May-17,1.91,1.99,1.91,1.99,60644
9-May-17,1.81,1.89,1.81,1.89,19359
8-May-17,1.85,1.86,1.81,1.82,13855
5-May-17,1.85,1.87,1.80,1.84,17848
4-May-17,1.79,1.83,1.79,1.80,10054
2-May-17,1.83,1.83,1.80,1.80,6352
28-Apr-17,1.88,1.88,1.87,1.87,54
27-Apr-17,1.86,1.88,1.86,1.88,1192
26-Apr-17,1.88,1.88,1.82,1.82,3936
25-Apr-17,1.85,1.86,1.85,1.85,8606
