b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.23,2.57,2.17,2.57,6038724
14-Sep-17,2.10,2.22,2.10,2.20,5797000
13-Sep-17,2.14,2.16,2.07,2.07,3587208
12-Sep-17,2.16,2.17,2.09,2.16,505340
11-Sep-17,2.03,2.23,2.03,2.18,1328280
8-Sep-17,2.00,2.03,1.99,2.03,554014
7-Sep-17,2.00,2.01,2.00,2.01,17089
6-Sep-17,2.00,2.03,2.00,2.02,535307
5-Sep-17,2.01,2.05,1.99,2.03,63926
4-Sep-17,1.99,2.03,1.99,2.01,27211
1-Sep-17,2.02,2.02,2.00,2.00,5765
31-Aug-17,2.00,2.02,1.98,2.02,18209
30-Aug-17,2.01,2.03,1.97,2.00,36568
29-Aug-17,2.02,2.03,2.00,2.03,20987
28-Aug-17,2.05,2.05,2.03,2.03,20992
25-Aug-17,2.05,2.05,2.02,2.05,48092
24-Aug-17,2.05,2.06,2.02,2.05,95294
23-Aug-17,2.07,2.08,2.02,2.03,39888
22-Aug-17,2.09,2.09,2.02,2.04,61595
21-Aug-17,2.05,2.11,2.05,2.07,260102
18-Aug-17,2.02,2.08,2.02,2.05,133045
17-Aug-17,2.03,2.06,2.03,2.05,179838
16-Aug-17,2.00,2.04,2.00,2.03,105582
14-Aug-17,2.00,2.02,2.00,2.00,32565
11-Aug-17,1.97,2.00,1.97,2.00,149344
10-Aug-17,1.98,2.01,1.96,2.00,285649
9-Aug-17,1.96,1.98,1.96,1.98,52333
8-Aug-17,1.96,1.96,1.94,1.96,28165
7-Aug-17,1.91,1.97,1.91,1.94,256248
4-Aug-17,1.94,1.94,1.92,1.94,31896
3-Aug-17,1.95,1.96,1.94,1.94,404101
2-Aug-17,1.97,1.97,1.94,1.97,21537
1-Aug-17,1.91,1.96,1.91,1.96,517934
31-Jul-17,1.94,1.95,1.90,1.91,369168
28-Jul-17,1.90,1.93,1.90,1.93,1889886
27-Jul-17,1.92,1.93,1.90,1.91,27503
26-Jul-17,1.92,1.92,1.86,1.91,255275
25-Jul-17,1.94,1.94,1.92,1.92,35904
24-Jul-17,1.95,1.95,1.92,1.92,178519
21-Jul-17,2.00,2.00,1.95,1.98,145513
20-Jul-17,1.99,2.00,1.98,2.00,25521
19-Jul-17,1.99,1.99,1.99,1.99,11441
18-Jul-17,1.99,2.00,1.97,2.00,43605
17-Jul-17,1.99,1.99,1.94,1.98,86591
