b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,8981.00,9049.90,8665.50,8665.50,11472
14-Sep-17,8928.00,9104.80,8928.00,9015.90,8842
13-Sep-17,8899.85,9061.75,8884.10,8928.80,11684
12-Sep-17,8647.05,8980.00,8604.50,8899.85,3543
11-Sep-17,8620.00,8661.10,8511.15,8533.10,1391
8-Sep-17,8549.00,8620.00,8503.60,8600.00,1969
7-Sep-17,8488.45,8630.00,8477.80,8570.00,2388
6-Sep-17,8323.00,8545.25,8312.75,8499.90,1378
5-Sep-17,8402.20,8520.00,8320.00,8323.00,974
4-Sep-17,8580.05,8580.05,8203.00,8402.20,1545
1-Sep-17,8733.00,8797.95,8515.95,8575.65,2618
31-Aug-17,8530.00,8732.40,8522.75,8732.40,3618
30-Aug-17,8375.00,8629.60,8250.00,8450.00,3128
29-Aug-17,8159.35,8388.90,8159.35,8310.00,3340
28-Aug-17,8089.70,8250.00,8030.00,8207.35,3040
25-Aug-17,7963.35,8134.50,7910.15,8129.70,2198
24-Aug-17,7650.00,7910.00,7650.00,7910.00,3004
23-Aug-17,7668.05,7739.85,7580.00,7620.80,554
22-Aug-17,7674.05,7770.30,7638.85,7667.95,828
21-Aug-17,7659.95,7714.95,7600.05,7680.00,623
18-Aug-17,7650.00,7660.25,7500.00,7649.45,972
17-Aug-17,7490.00,7649.50,7490.00,7605.25,1962
16-Aug-17,7700.00,7728.60,7505.05,7526.85,1916
14-Aug-17,7600.00,7720.00,7600.00,7633.50,866
11-Aug-17,7630.00,7670.00,7451.15,7550.00,1449
10-Aug-17,7680.00,7728.85,7620.05,7665.00,1183
9-Aug-17,7680.00,7746.80,7612.30,7700.00,1551
8-Aug-17,7550.05,7719.75,7539.95,7699.90,2808
7-Aug-17,7265.00,7610.00,7265.00,7550.00,3318
4-Aug-17,6954.05,7191.85,6950.05,7190.00,1487
3-Aug-17,6980.10,7050.00,6935.00,6954.75,878
2-Aug-17,7125.00,7159.95,6979.45,6979.45,1286
1-Aug-17,7096.95,7142.05,6943.90,7100.00,1879
31-Jul-17,6953.00,7179.90,6942.00,7000.00,2539
28-Jul-17,6999.75,7019.00,6850.15,7013.95,1078
27-Jul-17,7000.00,7120.00,6937.45,6999.75,2824
26-Jul-17,6997.00,7029.00,6830.05,7000.00,3845
25-Jul-17,6928.60,6965.70,6880.00,6950.00,1259
24-Jul-17,6873.35,7037.90,6873.35,6950.00,1580
21-Jul-17,6959.95,7030.00,6829.15,6829.15,637
20-Jul-17,7144.85,7144.85,6895.40,6939.00,2027
19-Jul-17,7000.00,7139.85,6973.25,7040.00,1474
18-Jul-17,6960.00,7068.85,6850.00,6980.00,1666
17-Jul-17,7020.00,7100.75,6950.00,6957.90,2073
14-Jul-17,7120.00,7200.00,6820.05,6959.00,2343
13-Jul-17,6900.05,7020.00,6900.05,6996.00,1695
12-Jul-17,6756.15,6990.00,6735.75,6955.00,2152
11-Jul-17,6748.00,6779.85,6710.00,6710.00,390
10-Jul-17,6949.95,6949.95,6700.00,6701.00,949
7-Jul-17,6800.00,6949.15,6750.15,6840.75,1175
6-Jul-17,6917.95,7100.00,6715.25,6752.35,1324
5-Jul-17,7000.65,7015.35,6890.00,6945.00,1326
4-Jul-17,7079.90,7100.00,6900.30,6980.00,904
3-Jul-17,7150.00,7169.95,6953.85,7065.65,1833
30-Jun-17,7166.15,7195.00,7011.30,7150.00,1503
29-Jun-17,7175.00,7197.95,7111.20,7117.05,1631
28-Jun-17,7159.00,7282.00,7108.15,7200.00,2053
27-Jun-17,6900.00,7198.75,6900.00,7192.30,4235
26-Jun-17,6797.95,7157.75,6794.65,6916.90,1636
23-Jun-17,6630.95,6780.05,6550.05,6698.50,1732
22-Jun-17,6590.15,6630.85,6505.05,6630.85,1844
21-Jun-17,6600.00,6600.10,6486.25,6548.90,5024
20-Jun-17,6630.80,6710.00,6600.00,6675.00,1730
19-Jun-17,6669.95,6709.55,6550.00,6700.00,3022
16-Jun-17,6620.00,6732.90,6590.85,6590.85,8869
14-Jun-17,6624.00,6699.95,6609.95,6686.10,4010
13-Jun-17,6576.45,6750.00,6558.40,6650.05,2658
12-Jun-17,6647.35,6647.35,6550.15,6600.00,1726
9-Jun-17,6649.95,6682.95,6559.00,6602.00,1841
8-Jun-17,6699.95,6699.95,6473.05,6658.00,2761
7-Jun-17,6602.55,6715.00,6602.55,6650.00,3320
6-Jun-17,6540.00,6708.50,6396.40,6650.00,3015
5-Jun-17,6520.05,6649.95,6451.00,6500.00,1577
2-Jun-17,6368.30,6669.75,6360.15,6650.00,3245
1-Jun-17,6317.30,6415.00,6204.20,6360.15,2326
31-May-17,6329.95,6348.25,6204.05,6270.90,3130
30-May-17,6449.95,6449.95,6244.45,6315.05,1462
29-May-17,6434.95,6459.90,6350.00,6416.00,620
26-May-17,6485.00,6485.00,6302.05,6436.15,1190
25-May-17,6400.10,6485.00,6330.00,6485.00,3693
24-May-17,6310.00,6329.30,6126.00,6314.20,1967
23-May-17,6320.00,6360.00,6300.00,6310.05,1364
22-May-17,6372.95,6417.95,6276.05,6362.00,2473
19-May-17,6155.00,6419.70,6155.00,6374.45,2177
18-May-17,6100.00,6246.75,6100.00,6228.20,3717
17-May-17,6060.00,6324.95,6049.85,6150.00,3498
16-May-17,6133.00,6289.25,6089.90,6150.00,2415
