b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,11.47,11.63,11.30,11.61,4739
14-Sep-17,11.47,11.47,11.30,11.47,150
13-Sep-17,11.30,11.31,11.30,11.30,1424
12-Sep-17,11.31,11.48,11.30,11.44,6566
11-Sep-17,11.15,11.48,11.12,11.48,4188
8-Sep-17,11.78,11.78,10.99,11.15,11650
7-Sep-17,11.82,11.82,11.72,11.72,1804
6-Sep-17,11.85,11.85,11.82,11.82,339
5-Sep-17,11.83,11.83,11.83,11.83,100
4-Sep-17,11.75,12.06,11.74,11.76,1585
1-Sep-17,11.80,11.80,11.75,11.75,443
31-Aug-17,11.80,11.85,11.73,11.80,1373
30-Aug-17,11.89,11.90,11.73,11.80,3247
29-Aug-17,11.85,11.88,11.85,11.86,2176
28-Aug-17,11.90,11.90,11.81,11.81,972
25-Aug-17,12.09,12.09,11.90,11.90,2041
24-Aug-17,11.93,12.10,11.90,12.10,3080
23-Aug-17,12.00,12.10,11.95,12.10,826
22-Aug-17,12.16,12.17,12.00,12.00,5520
21-Aug-17,12.33,12.33,12.04,12.14,3308
18-Aug-17,12.17,12.17,12.14,12.14,350
17-Aug-17,11.91,12.40,11.80,12.40,7724
16-Aug-17,11.80,11.91,11.73,11.91,428
14-Aug-17,11.80,11.80,11.72,11.80,200
11-Aug-17,11.87,11.93,11.80,11.80,2060
10-Aug-17,12.00,12.00,12.00,12.00,320
9-Aug-17,11.87,12.00,11.87,12.00,869
8-Aug-17,11.94,11.94,11.84,11.87,2527
7-Aug-17,12.12,12.12,12.00,12.10,1354
4-Aug-17,12.00,12.00,12.00,12.00,1310
3-Aug-17,12.13,12.13,12.00,12.00,1584
2-Aug-17,12.15,12.15,12.14,12.14,187
1-Aug-17,12.15,12.15,12.15,12.15,20
31-Jul-17,12.11,12.30,12.10,12.30,2840
28-Jul-17,12.11,12.38,12.11,12.35,630
27-Jul-17,-,-,-,12.38,0
26-Jul-17,12.38,12.38,12.38,12.38,1179
25-Jul-17,12.29,12.29,12.28,12.28,740
24-Jul-17,12.18,12.18,12.10,12.10,1846
21-Jul-17,12.30,12.35,12.15,12.15,1408
20-Jul-17,12.30,12.30,12.20,12.20,570
19-Jul-17,12.39,12.39,12.16,12.16,3998
18-Jul-17,12.47,12.49,11.90,12.38,4279
17-Jul-17,12.51,12.51,12.24,12.45,1149
14-Jul-17,12.25,12.37,12.06,12.37,10601
13-Jul-17,12.31,12.40,12.25,12.25,18767
12-Jul-17,12.37,12.45,12.31,12.35,3884
11-Jul-17,11.81,12.85,11.70,12.37,16602
10-Jul-17,11.81,11.81,11.81,11.81,45
7-Jul-17,12.10,12.19,12.10,12.15,335
6-Jul-17,11.95,12.10,11.95,12.10,9153
5-Jul-17,11.73,11.90,11.73,11.80,180
4-Jul-17,11.80,11.95,11.80,11.90,4245
3-Jul-17,11.52,11.75,11.52,11.70,205
30-Jun-17,11.86,11.86,11.60,11.70,12726
29-Jun-17,12.03,12.03,11.90,11.90,1239
28-Jun-17,12.05,12.05,11.90,12.00,1189
