b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,59.75,59.87,58.30,58.71,445714
14-Sep-17,58.99,61.00,58.53,59.88,444864
13-Sep-17,58.70,59.01,57.64,59.01,394209
12-Sep-17,59.00,59.10,58.35,58.60,272779
11-Sep-17,57.50,59.19,56.99,58.35,432186
8-Sep-17,57.60,58.55,57.60,58.09,192162
7-Sep-17,57.02,59.00,57.02,57.55,247150
6-Sep-17,58.69,59.00,57.80,57.80,218338
5-Sep-17,58.50,59.54,58.10,58.80,298809
4-Sep-17,58.05,59.60,58.05,58.88,192174
1-Sep-17,58.50,59.25,58.12,58.78,273707
31-Aug-17,59.00,59.35,58.04,58.86,464579
30-Aug-17,57.88,59.35,57.88,59.00,268879
29-Aug-17,59.60,59.79,57.51,57.88,684986
28-Aug-17,57.00,59.75,56.90,59.40,516450
25-Aug-17,58.00,58.70,56.78,57.35,426292
24-Aug-17,54.42,58.17,54.42,57.51,1482863
23-Aug-17,51.88,54.48,51.71,54.40,538554
22-Aug-17,51.30,51.90,51.30,51.89,228979
21-Aug-17,51.08,51.30,50.79,51.25,174929
18-Aug-17,50.90,51.70,50.61,51.00,410474
17-Aug-17,50.20,51.59,49.50,51.30,720479
16-Aug-17,49.74,50.27,49.52,49.60,272449
14-Aug-17,49.95,50.06,49.40,49.57,204490
11-Aug-17,50.00,50.56,49.50,49.50,252122
10-Aug-17,50.80,51.16,50.00,50.00,296197
9-Aug-17,51.30,51.33,50.21,50.90,248729
8-Aug-17,51.60,51.87,50.94,51.22,308707
7-Aug-17,50.00,51.90,49.76,51.90,211925
4-Aug-17,50.21,50.47,49.50,49.77,243156
3-Aug-17,50.50,50.60,49.63,50.00,268813
2-Aug-17,50.72,51.82,49.77,50.45,344189
1-Aug-17,48.52,50.45,48.52,50.32,420022
31-Jul-17,48.99,49.80,48.51,48.52,249013
28-Jul-17,48.98,49.04,48.27,48.77,251660
27-Jul-17,50.00,50.05,49.04,49.05,195130
26-Jul-17,49.21,50.20,49.21,49.79,282340
25-Jul-17,50.60,50.74,48.50,49.02,626372
24-Jul-17,51.35,51.35,50.40,50.65,157979
21-Jul-17,52.00,52.20,50.60,51.20,301146
20-Jul-17,53.24,53.59,51.95,52.00,178078
19-Jul-17,53.59,54.01,52.14,52.96,225179
18-Jul-17,54.15,54.62,52.56,53.35,214870
17-Jul-17,53.98,54.58,53.81,53.91,146705
14-Jul-17,54.00,54.10,53.23,54.00,224641
13-Jul-17,53.80,54.07,53.41,54.07,171169
12-Jul-17,52.80,53.95,52.34,53.80,241025
11-Jul-17,52.95,53.10,52.42,52.46,179280
10-Jul-17,52.85,53.18,51.90,52.99,200732
7-Jul-17,52.05,52.38,51.80,52.10,226046
6-Jul-17,52.28,52.68,51.92,52.05,166070
5-Jul-17,51.65,52.40,51.50,52.28,230621
4-Jul-17,51.60,52.06,51.20,51.70,141903
3-Jul-17,51.01,51.86,50.64,51.60,305429
30-Jun-17,52.21,52.34,50.34,51.00,354253
29-Jun-17,53.51,54.19,51.77,52.04,279425
28-Jun-17,55.00,55.00,53.31,53.40,347925
27-Jun-17,55.60,55.60,54.48,54.77,140855
26-Jun-17,54.05,55.74,54.05,55.00,283891
23-Jun-17,54.89,54.91,53.66,53.66,280849
22-Jun-17,56.20,56.29,54.92,55.25,343180
21-Jun-17,54.92,56.39,54.04,56.35,306231
20-Jun-17,54.60,56.48,54.55,55.10,651371
19-Jun-17,53.37,55.20,53.30,55.00,375661
16-Jun-17,53.99,54.49,53.10,53.14,498060
14-Jun-17,55.52,55.93,54.15,54.15,186310
13-Jun-17,55.00,55.60,54.62,55.33,361748
12-Jun-17,56.38,56.38,54.62,54.98,131595
