b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,8.89,8.98,8.68,8.81,14885
14-Sep-17,8.99,8.99,8.91,8.98,2430
13-Sep-17,9.00,9.01,8.90,8.99,2967
12-Sep-17,9.00,9.00,8.83,9.00,5008
11-Sep-17,9.00,9.11,9.00,9.10,1617
8-Sep-17,9.00,9.17,8.88,9.00,4813
7-Sep-17,9.31,9.31,8.95,9.00,10970
6-Sep-17,9.39,9.39,9.18,9.19,2808
5-Sep-17,9.33,9.39,9.30,9.30,2411
4-Sep-17,9.42,9.42,9.26,9.33,1185
1-Sep-17,8.93,9.50,8.88,9.42,52378
31-Aug-17,8.72,8.88,8.34,8.87,167762
30-Aug-17,8.92,8.94,8.78,8.80,23364
29-Aug-17,9.20,9.27,8.88,8.90,34909
28-Aug-17,9.08,9.24,9.08,9.22,29954
25-Aug-17,9.01,9.10,8.99,9.10,4768
24-Aug-17,9.02,9.10,8.96,9.00,47008
23-Aug-17,9.05,9.23,8.98,8.99,27643
22-Aug-17,9.00,9.04,8.99,9.04,5963
21-Aug-17,9.05,9.11,8.97,8.97,17466
18-Aug-17,9.00,9.05,8.98,9.05,12265
17-Aug-17,9.03,9.07,9.00,9.01,14585
16-Aug-17,9.07,9.08,9.05,9.06,9399
14-Aug-17,9.00,9.12,9.00,9.07,13881
11-Aug-17,8.97,9.14,8.86,9.07,68197
10-Aug-17,9.10,9.29,8.66,8.93,51281
9-Aug-17,9.20,9.20,9.10,9.13,20384
8-Aug-17,9.25,9.29,9.16,9.22,28738
7-Aug-17,9.29,9.29,9.20,9.25,26213
4-Aug-17,9.38,9.38,9.19,9.26,38227
3-Aug-17,9.29,9.35,9.09,9.23,65067
2-Aug-17,9.59,9.59,9.15,9.29,33892
1-Aug-17,9.43,9.61,9.40,9.49,17304
31-Jul-17,9.63,9.63,9.45,9.45,37409
28-Jul-17,9.60,9.65,9.43,9.55,49672
27-Jul-17,10.15,10.15,9.59,9.66,48924
26-Jul-17,10.24,10.24,9.97,10.06,17358
25-Jul-17,10.48,10.49,10.13,10.25,20914
24-Jul-17,10.35,10.55,10.29,10.34,9276
21-Jul-17,10.39,10.49,10.34,10.34,6206
20-Jul-17,10.45,10.59,10.34,10.58,11370
19-Jul-17,10.51,10.51,10.44,10.45,3657
18-Jul-17,10.60,10.60,10.50,10.60,1869
17-Jul-17,10.47,10.65,10.47,10.62,1007
14-Jul-17,10.51,10.62,10.50,10.62,19926
13-Jul-17,10.40,10.67,10.40,10.67,4046
12-Jul-17,10.60,10.69,10.40,10.60,3989
11-Jul-17,10.70,10.70,10.35,10.50,52651
10-Jul-17,10.77,10.77,10.50,10.58,11772
7-Jul-17,10.60,10.80,10.42,10.80,6481
6-Jul-17,10.59,10.63,10.33,10.63,8478
5-Jul-17,10.75,10.89,10.73,10.86,22027
4-Jul-17,10.85,10.90,10.72,10.90,9512
3-Jul-17,10.73,10.85,10.65,10.85,8120
30-Jun-17,10.42,10.75,10.42,10.75,19616
29-Jun-17,10.77,10.89,10.00,10.40,60747
28-Jun-17,10.76,10.90,10.75,10.85,5090
27-Jun-17,10.96,10.96,10.66,10.89,28216
26-Jun-17,10.99,11.00,10.79,10.97,30502
23-Jun-17,11.04,11.04,10.90,11.00,6217
22-Jun-17,10.90,11.04,10.88,11.04,1376
21-Jun-17,10.97,10.99,10.84,10.99,2091
20-Jun-17,10.96,11.00,10.83,11.00,5186
19-Jun-17,10.99,11.00,10.90,10.99,3413
16-Jun-17,11.05,11.07,10.79,11.00,19643
14-Jun-17,11.05,11.06,10.86,11.06,2326
13-Jun-17,11.04,11.06,10.80,11.04,37193
12-Jun-17,11.07,11.07,10.81,11.05,10676
9-Jun-17,11.10,11.10,10.96,11.07,11276
8-Jun-17,11.13,11.13,11.00,11.13,3953
7-Jun-17,11.14,11.14,11.03,11.03,34617
6-Jun-17,11.09,11.20,11.05,11.06,13110
5-Jun-17,11.13,11.13,11.03,11.09,13642
2-Jun-17,11.10,11.19,10.96,11.10,20845
1-Jun-17,11.10,11.10,11.01,11.08,6112
31-May-17,11.20,11.20,11.01,11.01,23845
30-May-17,10.99,11.30,10.96,11.22,39945
29-May-17,10.85,11.10,10.75,11.06,12868
26-May-17,10.69,10.83,10.69,10.80,16548
25-May-17,10.70,10.70,10.61,10.69,4752
24-May-17,10.67,10.67,10.61,10.67,3732
23-May-17,10.70,10.79,10.62,10.62,5359
22-May-17,10.79,10.80,10.70,10.70,7476
19-May-17,10.61,10.84,10.61,10.79,11539
18-May-17,10.65,10.65,10.50,10.61,8330
17-May-17,10.75,10.80,10.50,10.64,434489
16-May-17,10.86,10.86,10.68,10.74,11987
15-May-17,10.75,10.86,10.73,10.73,4944
12-May-17,10.84,10.87,10.75,10.75,72705
11-May-17,10.75,10.88,10.74,10.79,36917
10-May-17,10.87,10.87,10.73,10.78,24311
9-May-17,10.76,10.89,10.72,10.89,22653
