b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,48.55,48.55,48.00,48.25,34041
14-Sep-17,48.00,49.40,47.55,48.10,129747
13-Sep-17,47.00,48.50,45.75,47.44,217223
12-Sep-17,50.25,50.58,50.13,50.58,26369
11-Sep-17,50.90,50.90,49.90,50.40,11843
8-Sep-17,50.65,50.65,49.90,50.29,4946
7-Sep-17,49.70,50.66,49.16,50.66,52891
6-Sep-17,50.20,50.20,49.15,49.60,22285
5-Sep-17,50.79,50.79,50.00,50.20,18066
4-Sep-17,51.46,51.46,49.55,50.28,42581
1-Sep-17,51.37,51.67,51.10,51.39,55771
31-Aug-17,48.60,50.89,48.50,50.89,47162
30-Aug-17,49.90,50.49,48.90,48.95,40267
29-Aug-17,51.80,51.80,48.84,49.99,118418
28-Aug-17,53.00,53.00,51.72,52.00,13754
25-Aug-17,52.99,53.52,51.60,53.00,62637
24-Aug-17,53.51,55.00,53.51,54.50,13046
23-Aug-17,54.90,54.90,53.10,53.50,14808
22-Aug-17,55.00,55.46,54.50,54.50,16648
21-Aug-17,54.36,55.90,54.30,54.75,22332
18-Aug-17,52.20,54.80,52.20,53.53,23224
17-Aug-17,53.75,54.43,52.25,52.42,48217
16-Aug-17,52.46,53.50,52.46,53.50,46139
14-Aug-17,50.70,52.40,50.60,52.30,13683
11-Aug-17,51.11,51.30,50.60,50.80,7419
10-Aug-17,51.68,51.68,50.50,51.40,11484
9-Aug-17,51.90,51.94,51.40,51.44,7033
8-Aug-17,52.00,52.00,51.40,51.94,9843
7-Aug-17,52.40,52.40,51.70,51.99,11912
4-Aug-17,51.51,52.59,51.50,51.82,22431
3-Aug-17,51.00,51.86,50.00,51.50,133066
2-Aug-17,52.98,52.98,50.00,51.19,280196
1-Aug-17,54.20,54.60,53.61,53.61,7415
31-Jul-17,54.80,54.80,53.30,54.00,21412
28-Jul-17,54.78,54.78,54.25,54.32,8046
27-Jul-17,54.95,55.15,54.40,54.49,15277
26-Jul-17,54.90,55.00,54.70,54.90,35369
25-Jul-17,54.95,54.97,54.50,54.70,18186
24-Jul-17,55.30,55.30,54.85,54.87,9165
21-Jul-17,55.00,55.30,54.75,54.80,27997
20-Jul-17,57.35,57.35,55.39,55.50,51812
19-Jul-17,57.37,57.37,56.20,56.74,66217
18-Jul-17,58.18,58.18,55.90,57.35,222950
17-Jul-17,58.00,58.20,57.80,58.15,7580
14-Jul-17,58.19,58.30,57.77,58.00,4521
13-Jul-17,58.55,58.72,57.82,57.99,11128
12-Jul-17,58.70,58.70,57.80,58.00,4015
11-Jul-17,58.50,58.50,57.86,58.48,5823
10-Jul-17,58.49,58.50,57.85,58.40,8246
7-Jul-17,57.79,57.98,57.50,57.89,3059
