b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,78.75,78.80,77.16,77.16,21995
14-Sep-17,78.40,78.50,77.20,78.50,9036
13-Sep-17,78.50,78.65,78.00,78.50,6851
12-Sep-17,78.41,78.68,78.05,78.57,7033
11-Sep-17,77.90,78.68,77.20,78.62,3632
8-Sep-17,78.50,78.75,77.11,78.42,2673
7-Sep-17,77.89,78.50,77.00,78.50,2599
6-Sep-17,78.35,79.00,77.56,77.56,14628
5-Sep-17,76.77,78.85,76.77,78.80,19329
4-Sep-17,76.00,76.99,75.50,75.50,9504
1-Sep-17,75.70,76.98,75.70,76.98,9277
31-Aug-17,77.50,78.00,75.50,76.00,14539
30-Aug-17,77.20,78.00,77.00,77.06,10668
29-Aug-17,78.00,78.50,77.20,77.20,9661
28-Aug-17,78.30,79.00,78.12,78.12,14401
25-Aug-17,79.30,79.45,78.00,78.31,5891
24-Aug-17,79.00,79.60,77.53,79.45,74566
23-Aug-17,78.50,79.40,77.01,78.98,103014
22-Aug-17,77.74,78.50,73.60,78.50,17878
21-Aug-17,74.49,77.75,74.40,77.70,9703
18-Aug-17,74.74,74.74,73.96,74.15,25171
17-Aug-17,75.00,75.00,74.00,74.50,22986
16-Aug-17,73.70,75.00,73.70,74.10,26719
14-Aug-17,74.49,74.50,73.10,73.70,2929
11-Aug-17,74.30,74.56,73.00,74.49,10716
10-Aug-17,77.00,77.00,74.80,74.80,10437
9-Aug-17,75.80,77.20,75.30,76.70,32785
8-Aug-17,73.99,75.25,73.99,75.20,30830
7-Aug-17,74.00,74.00,72.49,73.70,3620
4-Aug-17,74.10,74.10,73.21,74.00,40200
3-Aug-17,74.13,74.13,72.11,73.20,4411
2-Aug-17,73.00,74.14,72.80,74.12,120377
1-Aug-17,71.90,72.75,71.90,72.72,2392
31-Jul-17,71.79,72.88,71.05,71.79,5605
28-Jul-17,71.80,71.80,70.77,71.79,3383
27-Jul-17,72.33,74.00,70.60,70.60,25672
26-Jul-17,69.01,72.00,69.01,71.80,49086
25-Jul-17,67.05,69.00,66.56,68.41,28016
24-Jul-17,66.59,67.07,66.02,67.07,8477
21-Jul-17,66.75,67.92,64.84,66.00,6773
20-Jul-17,66.72,67.70,66.67,66.99,2102
19-Jul-17,67.81,68.33,66.76,66.82,3085
18-Jul-17,69.97,69.97,67.30,67.30,6735
17-Jul-17,69.00,69.99,68.74,69.50,5592
