b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,96.50,97.90,95.00,95.00,414
14-Sep-17,96.30,97.50,93.40,95.90,345
13-Sep-17,98.97,98.97,96.31,97.98,612
12-Sep-17,99.39,99.39,98.50,98.97,347
11-Sep-17,97.55,99.50,97.55,98.18,1136
8-Sep-17,97.90,98.00,95.50,97.55,1084
7-Sep-17,99.70,100.00,97.80,97.80,1668
6-Sep-17,99.00,99.80,98.49,99.70,1177
5-Sep-17,99.90,99.90,98.00,98.50,1076
4-Sep-17,103.95,103.95,98.10,101.20,1661
1-Sep-17,102.90,104.80,100.50,103.00,4290
31-Aug-17,103.95,103.95,100.10,102.40,706
30-Aug-17,103.00,104.45,102.45,102.50,9420
29-Aug-17,105.00,107.60,102.00,103.30,11675
28-Aug-17,104.00,107.60,103.30,105.00,11362
25-Aug-17,103.00,104.50,101.05,104.25,11641
24-Aug-17,93.99,103.35,93.99,100.50,47412
23-Aug-17,95.74,95.75,92.55,93.36,1255
22-Aug-17,94.00,95.79,92.90,95.00,3285
21-Aug-17,92.70,94.00,92.70,93.00,414
18-Aug-17,92.52,92.70,92.51,92.70,213
17-Aug-17,93.00,94.00,92.11,92.80,2725
16-Aug-17,92.52,96.00,92.07,94.00,1336
14-Aug-17,91.12,92.75,91.12,92.75,688
11-Aug-17,92.50,92.70,90.85,92.70,5212
10-Aug-17,92.90,92.90,92.60,92.60,476
9-Aug-17,95.00,95.00,92.60,92.90,1508
8-Aug-17,94.15,94.80,94.15,94.80,1225
7-Aug-17,95.90,95.90,94.00,94.15,2362
4-Aug-17,95.78,96.00,94.50,95.45,1670
3-Aug-17,93.50,95.78,93.21,95.78,83062
2-Aug-17,95.49,95.90,92.21,95.50,13591
1-Aug-17,94.95,95.79,93.79,95.49,5096
31-Jul-17,92.50,94.99,92.26,94.99,1769
28-Jul-17,92.58,93.00,92.58,93.00,1366
27-Jul-17,92.76,93.26,92.05,93.24,4206
26-Jul-17,92.02,93.85,92.01,93.85,2053
25-Jul-17,93.88,93.88,92.10,93.20,1729
24-Jul-17,94.49,94.50,92.00,92.50,3299
21-Jul-17,92.55,92.73,91.55,92.70,1137
20-Jul-17,93.00,93.19,92.33,93.17,248
19-Jul-17,92.90,93.50,91.70,93.44,1347
18-Jul-17,92.95,94.99,92.03,94.99,336
17-Jul-17,94.69,94.69,91.52,92.97,807
14-Jul-17,92.50,94.80,92.50,94.69,405
13-Jul-17,93.00,94.90,93.00,93.98,638
12-Jul-17,95.84,95.90,91.55,92.95,861
11-Jul-17,92.50,93.95,92.17,93.00,953
10-Jul-17,95.00,95.00,93.00,94.20,10532
7-Jul-17,94.85,96.68,94.80,94.80,651
6-Jul-17,93.40,96.90,91.51,94.80,9805
5-Jul-17,91.99,93.50,91.81,92.30,829
4-Jul-17,93.89,94.80,93.10,93.50,1889
3-Jul-17,93.10,94.00,91.00,93.20,1328
30-Jun-17,94.50,95.00,94.00,94.79,1340
29-Jun-17,95.56,95.56,93.35,95.00,51524
28-Jun-17,95.01,96.09,94.74,94.74,280
27-Jun-17,96.49,96.78,95.11,95.11,46367
26-Jun-17,96.79,97.00,95.50,96.78,1546
23-Jun-17,93.40,97.00,92.00,96.74,3145
22-Jun-17,91.20,93.40,91.10,93.40,4304
21-Jun-17,92.40,92.55,91.05,91.05,526
20-Jun-17,92.45,92.55,91.01,92.40,848
19-Jun-17,92.38,92.64,91.05,92.60,474
16-Jun-17,91.02,93.00,90.65,92.39,2929
14-Jun-17,91.50,93.49,91.02,91.02,3294
13-Jun-17,90.00,92.00,90.00,91.01,2450
12-Jun-17,97.70,97.70,88.50,90.00,9412
9-Jun-17,98.20,98.20,94.68,95.00,4159
8-Jun-17,99.22,99.30,94.25,97.00,2376
7-Jun-17,98.90,99.15,98.00,99.00,6168
6-Jun-17,99.10,99.60,97.42,99.00,2546
5-Jun-17,97.33,99.15,97.33,99.10,3840
2-Jun-17,95.11,97.69,95.00,96.01,5541
1-Jun-17,93.55,95.00,93.00,95.00,6473
31-May-17,92.90,93.90,91.20,93.00,2450
30-May-17,93.51,94.17,91.12,93.75,4153
29-May-17,93.66,94.59,93.00,94.50,37361
26-May-17,93.60,95.35,93.60,94.50,1117
25-May-17,95.80,95.80,92.27,95.00,13932
24-May-17,92.00,96.67,92.00,95.00,11785
23-May-17,92.32,93.98,90.95,93.70,3233
22-May-17,93.90,94.50,92.30,92.31,4563
19-May-17,88.00,92.50,88.00,92.50,7477
18-May-17,88.20,88.30,86.50,88.28,4578
17-May-17,90.28,90.28,88.36,88.36,2112
16-May-17,90.80,91.94,88.37,89.99,9722
15-May-17,85.60,90.75,85.60,90.00,25646
12-May-17,84.00,85.75,84.00,85.60,6537
11-May-17,83.57,84.90,81.26,84.00,42300
10-May-17,88.10,88.26,85.79,86.40,11335
9-May-17,91.90,91.90,88.05,88.26,4640
8-May-17,91.44,91.99,90.00,90.75,26163
5-May-17,90.80,90.80,90.00,90.75,3141
4-May-17,93.00,93.99,90.00,90.80,5509
2-May-17,92.90,94.50,92.50,93.00,1204
28-Apr-17,93.79,95.40,92.50,92.90,8421
27-Apr-17,88.00,93.88,88.00,93.88,17685
26-Apr-17,99.00,99.00,89.20,92.02,71335
25-Apr-17,102.00,102.85,100.10,101.90,12631
24-Apr-17,107.00,107.00,103.20,104.00,3883
21-Apr-17,106.60,107.00,105.60,106.00,1951
20-Apr-17,107.00,107.85,106.00,106.00,1818
19-Apr-17,105.50,107.00,105.50,107.00,1819
18-Apr-17,107.00,107.00,102.55,106.00,12144
13-Apr-17,108.40,109.40,106.00,106.90,4858
12-Apr-17,108.70,109.80,108.20,109.80,2983
11-Apr-17,110.50,111.00,108.85,109.10,2508
10-Apr-17,110.90,110.95,108.15,110.55,2179
7-Apr-17,110.00,111.10,109.00,110.85,6229
6-Apr-17,109.25,110.35,106.10,109.10,7973
5-Apr-17,112.50,112.50,110.00,112.00,6084
4-Apr-17,113.00,113.85,111.50,112.20,2029
3-Apr-17,113.55,114.00,111.50,112.00,4584
31-Mar-17,106.00,112.30,101.00,110.00,28229
