b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,426.70,431.95,423.00,429.60,39471
14-Sep-17,420.00,429.00,418.85,423.75,5702
13-Sep-17,422.00,426.45,417.20,420.00,12784
12-Sep-17,420.05,432.00,420.00,422.00,12667
11-Sep-17,415.25,426.60,415.25,420.00,16816
8-Sep-17,420.50,426.00,420.10,423.75,11684
7-Sep-17,415.00,427.00,415.00,420.50,16179
6-Sep-17,427.00,430.55,420.00,420.00,12719
5-Sep-17,437.50,441.95,424.50,427.00,10461
4-Sep-17,426.50,437.00,426.50,437.00,11283
1-Sep-17,432.00,438.00,430.00,430.15,9603
31-Aug-17,440.00,440.00,433.60,438.00,13266
30-Aug-17,444.00,444.80,432.70,438.10,15604
29-Aug-17,440.00,444.55,431.55,439.00,15468
28-Aug-17,436.30,442.00,428.05,441.00,21527
25-Aug-17,435.95,437.75,430.40,437.00,8439
24-Aug-17,421.10,435.00,419.55,433.70,18191
23-Aug-17,418.15,428.00,418.15,421.10,10249
22-Aug-17,418.10,424.80,416.00,420.95,9251
21-Aug-17,418.00,420.00,412.55,417.30,4059
18-Aug-17,413.00,419.40,412.00,417.30,12057
17-Aug-17,423.00,423.00,415.00,415.00,14207
16-Aug-17,430.00,432.90,422.60,422.60,21162
14-Aug-17,432.95,432.95,425.60,430.00,10269
11-Aug-17,426.50,434.25,421.60,433.25,9946
10-Aug-17,430.10,433.40,426.75,427.95,10842
9-Aug-17,434.00,439.25,430.00,430.10,9566
8-Aug-17,428.25,444.00,428.00,444.00,7612
7-Aug-17,437.95,438.70,428.00,433.70,5291
4-Aug-17,428.55,438.90,426.00,437.95,14911
3-Aug-17,434.10,435.95,424.50,425.55,35816
2-Aug-17,455.20,458.10,436.10,436.10,40822
1-Aug-17,454.20,458.05,448.00,455.75,18355
31-Jul-17,437.10,456.35,436.50,455.00,52763
28-Jul-17,446.95,446.95,434.00,442.25,24649
27-Jul-17,455.05,455.50,440.00,447.00,22677
26-Jul-17,463.80,463.80,454.40,460.00,6899
25-Jul-17,469.75,469.75,457.45,463.85,9249
24-Jul-17,460.00,465.25,456.30,463.00,11239
21-Jul-17,471.85,471.85,460.00,460.00,8662
20-Jul-17,476.90,477.20,430.00,465.65,22252
19-Jul-17,476.95,476.95,462.55,470.00,19478
18-Jul-17,480.05,483.15,466.00,466.15,13371
17-Jul-17,482.45,483.90,477.25,480.00,10455
14-Jul-17,475.00,481.70,472.70,475.00,13691
13-Jul-17,472.85,482.30,469.90,482.30,18347
12-Jul-17,462.20,476.75,461.10,473.20,13218
11-Jul-17,457.95,461.80,457.00,461.00,14574
10-Jul-17,460.00,460.00,456.20,458.80,9199
7-Jul-17,455.05,459.95,454.75,458.00,12122
6-Jul-17,456.60,465.85,453.65,455.00,11056
5-Jul-17,458.25,459.45,451.15,457.90,10083
4-Jul-17,467.00,467.00,455.05,455.05,15029
3-Jul-17,462.00,475.15,455.20,475.15,8227
30-Jun-17,471.00,471.00,456.50,462.10,17174
29-Jun-17,476.45,476.45,466.40,467.80,12497
28-Jun-17,472.40,479.85,465.00,465.00,8756
27-Jun-17,464.95,480.00,461.80,477.00,19681
26-Jun-17,451.15,465.00,451.15,465.00,14846
23-Jun-17,459.90,462.85,447.60,447.60,10352
22-Jun-17,459.00,461.55,454.65,459.95,7136
21-Jun-17,455.00,461.50,449.50,461.50,26927
20-Jun-17,442.05,455.90,442.05,455.90,17893
19-Jun-17,453.95,453.95,444.35,450.55,14904
16-Jun-17,442.00,450.20,438.00,446.15,37162
14-Jun-17,436.55,446.80,436.45,442.00,16518
13-Jun-17,431.50,445.45,430.10,442.70,10185
12-Jun-17,434.00,443.80,425.50,432.80,14716
9-Jun-17,444.95,450.95,437.85,447.85,13079
8-Jun-17,435.85,448.10,433.00,445.90,36239
7-Jun-17,429.50,436.70,425.05,435.00,24062
6-Jun-17,436.95,436.95,422.10,429.50,25236
5-Jun-17,446.95,448.10,432.20,435.60,13987
2-Jun-17,430.40,444.00,428.15,444.00,12855
1-Jun-17,422.00,428.65,422.00,424.50,13860
31-May-17,430.10,432.95,418.25,422.00,43883
30-May-17,438.00,438.20,423.05,428.55,24244
29-May-17,428.00,437.10,428.00,437.10,6795
26-May-17,430.55,432.00,425.85,428.10,20513
25-May-17,420.00,433.55,420.00,433.55,12920
24-May-17,416.00,420.00,413.15,420.00,18113
23-May-17,417.00,432.40,416.30,420.00,18580
22-May-17,425.05,427.85,412.70,423.25,16788
19-May-17,421.00,431.75,420.05,428.00,19722
18-May-17,432.40,439.15,418.25,425.00,18293
17-May-17,431.80,435.85,426.10,432.45,22656
16-May-17,442.00,449.45,431.10,439.70,19826
15-May-17,445.00,445.00,439.35,442.00,8961
12-May-17,435.00,448.00,435.00,439.10,28106
11-May-17,443.05,448.00,434.00,434.55,72503
10-May-17,457.95,457.95,441.05,441.05,21910
9-May-17,443.65,459.90,442.30,459.90,20521
8-May-17,446.80,446.80,439.55,443.65,8776
5-May-17,441.15,446.55,431.30,445.00,18530
4-May-17,431.10,450.00,431.10,448.45,35015
2-May-17,434.70,440.00,426.10,438.00,20316
28-Apr-17,427.50,433.80,420.00,433.00,33711
27-Apr-17,422.55,427.95,414.35,427.55,19572
26-Apr-17,418.00,422.00,408.45,422.00,35318
25-Apr-17,400.10,424.40,398.15,418.95,64237
24-Apr-17,394.05,402.00,394.05,398.60,24735
21-Apr-17,394.00,394.60,390.25,392.55,29922
20-Apr-17,390.00,394.60,385.00,394.60,25414
19-Apr-17,377.95,389.65,374.50,388.30,36993
