b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,8.59,8.68,8.57,8.63,7783
14-Sep-17,8.51,8.68,8.50,8.55,8485
13-Sep-17,8.65,8.67,8.36,8.49,22704
12-Sep-17,8.70,8.70,8.62,8.64,56233
11-Sep-17,8.69,8.75,8.63,8.70,13606
8-Sep-17,8.79,8.79,8.62,8.62,4015
7-Sep-17,8.66,8.79,8.62,8.69,8214
6-Sep-17,8.70,8.83,8.61,8.66,24334
5-Sep-17,8.66,8.80,8.66,8.79,2093
4-Sep-17,8.78,8.84,8.69,8.69,7199
1-Sep-17,8.68,8.68,8.55,8.64,25821
31-Aug-17,8.80,8.86,8.60,8.64,18853
30-Aug-17,8.79,8.85,8.70,8.80,12955
29-Aug-17,8.82,8.82,8.30,8.78,29595
28-Aug-17,9.00,9.07,8.90,8.95,1715
25-Aug-17,9.00,9.10,8.90,9.02,2286
24-Aug-17,9.12,9.12,8.90,9.09,2255
23-Aug-17,9.10,9.10,9.00,9.10,66140
22-Aug-17,9.00,9.12,8.95,9.10,13336
21-Aug-17,8.97,9.12,8.90,8.91,2663
18-Aug-17,8.85,8.98,8.84,8.98,2156
17-Aug-17,8.84,8.99,8.84,8.90,3208
16-Aug-17,8.84,9.00,8.84,9.00,5137
14-Aug-17,8.86,9.00,8.86,9.00,1055
11-Aug-17,8.85,8.86,8.80,8.86,15901
10-Aug-17,8.79,8.95,8.75,8.85,11626
9-Aug-17,8.67,8.70,8.60,8.70,12205
8-Aug-17,8.75,8.77,8.41,8.60,58826
7-Aug-17,9.06,9.17,8.62,8.73,41045
4-Aug-17,9.10,9.12,9.07,9.10,6469
3-Aug-17,9.10,9.10,9.02,9.06,3954
2-Aug-17,9.18,9.18,8.97,9.02,24626
1-Aug-17,9.02,9.19,9.02,9.19,2163
31-Jul-17,9.25,9.25,9.03,9.06,2741
28-Jul-17,9.10,9.17,9.08,9.17,1502
27-Jul-17,9.13,9.16,9.05,9.06,7610
26-Jul-17,9.28,9.28,9.14,9.14,11024
25-Jul-17,9.35,9.54,9.30,9.40,1803
24-Jul-17,9.38,9.55,9.30,9.40,8369
21-Jul-17,9.69,9.69,9.40,9.40,4367
20-Jul-17,9.70,9.70,9.50,9.55,6123
19-Jul-17,9.79,9.80,9.60,9.60,36323
18-Jul-17,9.47,9.80,9.45,9.70,93744
17-Jul-17,9.74,9.74,9.42,9.55,6990
14-Jul-17,9.80,9.80,9.72,9.74,1506
13-Jul-17,9.70,9.80,9.70,9.80,4225
12-Jul-17,9.68,9.70,9.55,9.69,17825
11-Jul-17,9.49,9.70,9.49,9.50,20215
10-Jul-17,9.35,9.69,9.22,9.37,11744
7-Jul-17,9.26,9.63,9.26,9.50,8660
6-Jul-17,9.20,9.58,9.20,9.58,15255
5-Jul-17,9.30,9.42,9.30,9.40,10069
4-Jul-17,9.36,9.38,9.30,9.30,10458
3-Jul-17,9.18,9.36,9.18,9.36,6691
30-Jun-17,9.00,9.27,9.00,9.20,3441
29-Jun-17,8.96,9.07,8.90,9.07,11975
