b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,258.00,258.95,250.00,250.00,45703
14-Sep-17,258.10,259.25,257.50,258.00,4508
13-Sep-17,260.25,260.30,257.55,258.00,4380
12-Sep-17,261.00,261.00,255.15,259.00,3420
11-Sep-17,270.90,272.00,259.15,261.00,3581
8-Sep-17,270.35,271.00,269.70,270.00,3647
7-Sep-17,276.00,276.50,270.10,270.10,2643
6-Sep-17,280.00,281.25,276.95,278.85,4142
5-Sep-17,283.50,283.50,279.55,280.00,11171
4-Sep-17,280.00,283.25,280.00,282.90,15125
1-Sep-17,280.00,281.50,274.90,276.80,21498
31-Aug-17,267.65,271.45,267.65,270.00,26384
30-Aug-17,273.60,273.85,266.20,269.00,2219
29-Aug-17,285.00,285.00,275.05,277.00,9069
28-Aug-17,288.65,289.85,285.00,286.00,1030
25-Aug-17,290.90,290.90,288.50,288.50,807
24-Aug-17,289.90,291.70,289.90,291.00,6703
23-Aug-17,291.85,291.85,288.80,291.00,5761
22-Aug-17,285.05,291.50,285.00,291.50,5536
21-Aug-17,270.10,286.00,270.10,285.00,6614
18-Aug-17,284.90,287.75,281.75,284.30,11220
17-Aug-17,275.00,285.00,275.00,282.50,5960
16-Aug-17,256.05,274.85,256.05,273.00,15610
14-Aug-17,255.10,257.95,254.05,256.00,2500
11-Aug-17,259.90,260.00,254.15,257.95,6278
10-Aug-17,262.00,264.95,258.00,259.90,7272
9-Aug-17,265.85,265.85,264.05,265.85,312
8-Aug-17,266.00,266.00,262.00,265.85,1669
7-Aug-17,260.55,265.95,260.55,264.50,7659
4-Aug-17,263.95,266.00,262.00,265.95,5616
3-Aug-17,265.90,265.90,262.00,265.90,309
2-Aug-17,266.00,266.00,261.00,266.00,1799
1-Aug-17,260.60,268.80,260.10,266.00,1674
31-Jul-17,252.00,263.60,249.20,260.50,7520
28-Jul-17,259.00,259.00,254.55,255.60,14122
27-Jul-17,265.20,265.25,257.00,258.00,21478
26-Jul-17,270.70,270.70,265.00,267.95,3227
25-Jul-17,275.00,275.00,270.10,271.85,2821
24-Jul-17,271.10,276.05,271.10,276.00,1683
21-Jul-17,280.00,280.00,270.05,276.25,5317
20-Jul-17,282.00,282.00,277.00,278.00,5864
19-Jul-17,288.80,291.00,281.00,283.00,1665
18-Jul-17,296.35,296.35,281.00,285.00,3700
17-Jul-17,297.00,297.00,290.10,297.00,960
14-Jul-17,293.50,293.50,289.50,293.50,20250
13-Jul-17,294.50,294.50,293.50,293.50,2274
12-Jul-17,291.50,294.50,288.20,294.30,7035
11-Jul-17,285.00,291.50,285.00,291.50,6012
10-Jul-17,289.50,294.90,284.00,285.90,5532
7-Jul-17,290.15,295.00,290.15,293.65,171
6-Jul-17,291.80,292.70,289.90,292.50,1776
5-Jul-17,297.55,300.00,295.00,296.00,15172
4-Jul-17,298.00,299.95,297.80,297.95,4093
3-Jul-17,305.60,305.60,297.90,297.90,650
30-Jun-17,305.00,305.00,303.00,305.00,497
29-Jun-17,305.75,305.75,300.15,305.30,8129
28-Jun-17,305.35,306.40,303.00,305.30,1531
27-Jun-17,303.00,305.00,302.00,305.00,883
26-Jun-17,302.90,303.60,298.40,302.90,2287
23-Jun-17,300.00,303.00,299.80,301.00,6813
22-Jun-17,298.15,299.80,293.00,299.80,3899
21-Jun-17,304.00,304.00,299.00,299.00,383
20-Jun-17,305.00,305.00,298.10,303.50,402
19-Jun-17,304.55,305.00,300.05,305.00,778
16-Jun-17,298.90,305.00,297.90,305.00,4107
14-Jun-17,295.95,299.00,295.70,299.00,4618
13-Jun-17,297.00,297.00,294.00,296.00,6310
12-Jun-17,301.00,301.00,291.95,295.00,1617
9-Jun-17,291.75,299.00,290.00,298.60,6455
8-Jun-17,286.70,290.80,285.00,290.80,19499
7-Jun-17,287.00,288.95,286.45,286.70,1351
6-Jun-17,286.50,287.05,284.00,287.05,2036
5-Jun-17,287.10,287.10,284.00,286.40,672
2-Jun-17,286.45,286.45,283.95,285.50,3122
1-Jun-17,291.40,291.40,279.95,282.00,7036
31-May-17,293.05,293.05,289.00,289.00,2755
30-May-17,293.05,293.05,291.50,292.50,878
29-May-17,292.70,293.30,292.15,293.00,30189
26-May-17,293.00,293.00,292.20,292.50,10834
25-May-17,292.65,293.45,290.05,292.65,27265
24-May-17,292.00,295.00,290.00,292.20,12737
23-May-17,278.00,292.00,278.00,290.00,10427
22-May-17,291.90,292.70,280.00,287.50,1213
19-May-17,289.95,291.00,288.70,290.00,2869
18-May-17,286.00,289.65,283.35,289.65,10943
17-May-17,289.00,289.00,282.00,285.90,4171
16-May-17,286.15,289.50,286.15,288.40,3841
15-May-17,278.50,284.65,278.35,281.30,6599
12-May-17,288.00,288.05,276.20,278.30,6409
11-May-17,288.05,289.75,286.80,288.30,3378
10-May-17,291.40,291.40,286.15,288.20,5320
9-May-17,291.00,293.00,288.00,289.50,2857
8-May-17,291.50,293.50,290.00,291.00,1841
5-May-17,289.50,291.50,288.05,291.50,748
4-May-17,298.70,298.70,290.00,292.95,1184
2-May-17,294.90,298.55,292.00,296.70,2893
28-Apr-17,297.90,299.00,290.00,294.90,10078
27-Apr-17,300.00,300.00,292.50,297.90,2600
26-Apr-17,309.95,309.95,292.00,298.60,12722
25-Apr-17,308.20,313.00,305.10,310.95,8335
24-Apr-17,308.00,308.50,305.05,305.85,686
21-Apr-17,303.05,307.30,303.05,305.00,3196
20-Apr-17,291.00,300.00,290.00,300.00,13499
19-Apr-17,291.00,293.00,288.35,290.95,25049
18-Apr-17,297.60,301.30,285.10,292.00,26571
13-Apr-17,303.00,303.00,291.10,297.00,21789
12-Apr-17,314.90,315.00,305.05,306.00,12476
11-Apr-17,318.25,318.40,314.05,315.00,20466
10-Apr-17,314.00,318.00,314.00,317.95,2637
7-Apr-17,313.75,316.50,313.00,313.00,5980
6-Apr-17,315.00,315.00,312.00,313.95,363
5-Apr-17,308.00,313.80,305.50,313.80,8441
4-Apr-17,308.60,308.60,301.25,304.00,2227
3-Apr-17,310.75,312.35,300.15,302.00,6184
31-Mar-17,324.00,324.00,301.10,310.65,97194
30-Mar-17,325.50,326.95,322.00,326.40,4677
29-Mar-17,337.95,337.95,324.05,327.80,8132
28-Mar-17,341.85,341.85,333.00,338.30,2644
27-Mar-17,341.90,341.90,337.00,341.90,708
24-Mar-17,341.95,341.95,339.00,341.90,1522
23-Mar-17,342.65,342.65,341.00,341.80,27157
22-Mar-17,341.80,342.80,336.10,342.70,6058
21-Mar-17,341.85,341.85,337.00,341.85,5991
20-Mar-17,341.50,341.85,340.00,341.85,974
17-Mar-17,333.00,341.80,333.00,341.50,1899
16-Mar-17,339.90,340.00,335.95,337.90,1016
15-Mar-17,339.10,339.95,338.00,339.85,1039
14-Mar-17,340.00,340.00,333.35,339.00,580
13-Mar-17,336.85,340.00,331.25,340.00,1840
10-Mar-17,335.00,338.00,325.05,336.90,1157
9-Mar-17,325.10,333.50,321.00,333.50,1868
8-Mar-17,330.00,330.00,325.20,329.40,3009
7-Mar-17,339.50,339.50,325.25,336.90,2092
6-Mar-17,327.00,337.00,323.55,335.75,1058
3-Mar-17,338.60,340.00,318.50,328.50,4858
2-Mar-17,339.95,341.00,338.30,338.80,7006
1-Mar-17,339.95,339.95,335.00,337.95,2661
28-Feb-17,340.00,340.00,335.00,338.00,2328
27-Feb-17,339.00,341.00,334.05,339.95,1212
24-Feb-17,343.70,343.70,334.00,339.00,2233
23-Feb-17,342.50,343.75,340.50,343.35,22177
22-Feb-17,340.00,340.90,338.10,340.50,1661
21-Feb-17,340.80,340.90,338.00,340.75,2542
20-Feb-17,341.50,341.50,332.00,340.90,3354
17-Feb-17,335.30,343.75,334.50,341.20,29827
16-Feb-17,334.00,334.05,332.00,332.95,1181
15-Feb-17,333.00,333.00,330.00,333.00,1776
14-Feb-17,333.00,334.15,332.75,333.00,4038
13-Feb-17,333.90,333.90,331.70,333.10,1858
10-Feb-17,335.30,335.30,331.05,334.00,709
9-Feb-17,331.95,335.40,331.90,335.30,8528
8-Feb-17,330.70,331.95,329.20,331.90,5450
7-Feb-17,330.10,330.45,329.10,330.00,2187
6-Feb-17,329.90,330.00,328.25,330.00,1662
3-Feb-17,328.45,330.00,328.45,329.80,2799
2-Feb-17,329.95,329.95,325.00,328.45,626
1-Feb-17,330.00,330.00,326.50,329.95,470
31-Jan-17,326.85,329.60,320.50,327.95,837
30-Jan-17,330.00,330.00,326.70,328.00,2026
27-Jan-17,330.30,330.80,327.50,330.00,6340
26-Jan-17,331.95,331.95,330.10,330.50,1048
25-Jan-17,329.05,331.95,328.50,331.95,4660
24-Jan-17,318.30,329.75,315.00,328.50,23844
23-Jan-17,313.00,318.30,311.00,318.30,26933
20-Jan-17,313.00,314.50,313.00,313.00,483
19-Jan-17,312.00,313.00,312.00,313.00,1812
18-Jan-17,304.10,312.50,304.10,312.50,8303
17-Jan-17,309.90,314.50,301.10,303.00,26189
16-Jan-17,308.40,308.40,306.10,307.90,129
13-Jan-17,307.95,308.30,305.00,305.10,1077
12-Jan-17,307.90,308.50,304.15,307.95,4319
11-Jan-17,305.00,305.00,302.30,304.10,935
10-Jan-17,304.40,307.95,302.00,305.00,18696
9-Jan-17,307.50,307.50,301.50,302.10,1124
5-Jan-17,303.05,307.45,303.00,307.45,771
4-Jan-17,310.00,310.05,303.00,303.00,1876
3-Jan-17,312.25,312.25,308.10,308.45,1406
2-Jan-17,308.00,313.00,308.00,312.25,7416
30-Dec-16,295.00,309.20,295.00,308.00,114263
29-Dec-16,289.00,309.80,289.00,308.00,119781
28-Dec-16,280.00,280.90,274.20,277.90,1403
27-Dec-16,280.00,281.00,276.70,279.75,812
23-Dec-16,281.00,281.00,278.60,279.90,709
22-Dec-16,278.85,281.00,273.75,281.00,2701
21-Dec-16,273.50,279.00,271.55,279.00,4161
20-Dec-16,263.90,272.90,263.90,272.85,3593
19-Dec-16,265.50,268.50,262.00,264.00,2566
16-Dec-16,269.20,275.65,266.00,268.75,1428
15-Dec-16,273.05,274.50,265.00,268.75,3391
14-Dec-16,285.00,285.00,271.50,274.90,2643
13-Dec-16,278.00,286.90,277.00,285.00,3596
12-Dec-16,284.80,284.80,275.00,275.00,11209
9-Dec-16,286.80,286.80,280.05,283.50,3871
8-Dec-16,287.70,287.80,283.15,287.00,1348
7-Dec-16,285.00,289.00,283.00,287.80,888
6-Dec-16,283.00,289.00,281.00,285.00,1941
5-Dec-16,281.00,281.00,278.45,281.00,303
2-Dec-16,280.00,282.00,277.50,281.00,215
1-Dec-16,285.00,285.00,274.00,283.00,641
30-Nov-16,274.00,285.00,273.00,285.00,6978
29-Nov-16,277.50,277.50,274.00,275.00,3345
28-Nov-16,281.80,281.80,277.50,280.00,200
25-Nov-16,277.00,283.80,277.00,283.80,368
24-Nov-16,274.60,281.50,274.60,280.00,4276
23-Nov-16,277.60,277.60,273.00,277.00,2181
22-Nov-16,262.00,282.00,262.00,278.00,553
21-Nov-16,262.65,268.50,262.30,265.50,14553
18-Nov-16,270.00,270.00,260.20,268.70,1780
17-Nov-16,276.50,276.50,274.15,275.00,1515
16-Nov-16,273.00,276.50,273.00,275.00,3892
15-Nov-16,275.00,275.50,271.00,273.00,3826
14-Nov-16,280.00,280.00,271.20,275.50,5172
10-Nov-16,292.00,293.95,282.00,289.80,1322
9-Nov-16,286.00,289.50,280.00,289.50,818
8-Nov-16,297.30,300.50,288.10,289.10,11991
