b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.85,4.11,3.75,4.02,40455
14-Sep-17,3.85,3.85,3.81,3.84,4582
13-Sep-17,4.14,4.14,3.73,3.85,2545
12-Sep-17,4.26,4.39,3.85,3.90,29549
11-Sep-17,4.02,4.42,4.02,4.23,7980
8-Sep-17,4.43,4.43,4.10,4.13,25740
7-Sep-17,4.75,4.75,4.28,4.33,33690
6-Sep-17,4.84,4.84,4.40,4.50,12481
5-Sep-17,4.95,4.95,4.66,4.66,7879
4-Sep-17,4.83,4.83,4.80,4.83,1405
1-Sep-17,5.00,5.00,4.61,4.84,26704
31-Aug-17,5.30,5.49,4.91,4.94,71173
30-Aug-17,6.29,6.29,6.20,6.28,1310
29-Aug-17,6.29,6.29,6.23,6.28,677
28-Aug-17,6.29,6.29,6.10,6.28,2666
25-Aug-17,6.30,6.30,6.30,6.30,2
24-Aug-17,6.30,6.30,6.08,6.30,2117
23-Aug-17,6.25,6.30,6.14,6.30,1818
22-Aug-17,6.33,6.33,6.33,6.33,2
21-Aug-17,6.33,6.33,6.14,6.33,974
18-Aug-17,6.11,6.28,6.11,6.28,4142
17-Aug-17,6.28,6.28,6.11,6.11,1660
16-Aug-17,6.08,6.30,6.08,6.30,11
14-Aug-17,6.40,6.40,6.07,6.30,3798
11-Aug-17,6.57,6.57,6.36,6.45,1172
10-Aug-17,6.41,6.58,6.41,6.57,1570
9-Aug-17,6.90,6.90,6.41,6.58,1180
8-Aug-17,6.98,6.98,6.48,6.64,2579
7-Aug-17,6.98,6.98,6.98,6.98,4
4-Aug-17,6.98,6.98,6.68,6.98,107
3-Aug-17,6.98,6.98,6.68,6.98,506
2-Aug-17,6.98,6.98,6.98,6.98,2
1-Aug-17,7.00,7.00,6.98,6.98,4
31-Jul-17,6.68,7.15,6.68,7.15,6
28-Jul-17,7.15,7.15,6.44,7.00,4069
27-Jul-17,6.91,6.99,6.87,6.88,2868
26-Jul-17,7.15,7.15,6.87,7.15,110
25-Jul-17,7.15,7.15,6.90,7.15,1209
24-Jul-17,7.15,7.15,7.15,7.15,2
21-Jul-17,7.15,7.15,7.15,7.15,212
20-Jul-17,7.15,7.15,7.15,7.15,2
19-Jul-17,7.16,7.16,7.05,7.15,87
18-Jul-17,-,-,-,7.18,0
17-Jul-17,6.74,7.18,6.74,7.18,4401
14-Jul-17,7.01,7.20,7.01,7.20,217
13-Jul-17,7.19,7.28,6.90,7.00,7724
12-Jul-17,7.29,7.29,6.96,7.29,2254
11-Jul-17,7.20,7.20,7.07,7.07,204
10-Jul-17,7.20,7.20,7.17,7.17,1372
7-Jul-17,7.00,7.29,7.00,7.19,3579
6-Jul-17,7.20,7.20,7.10,7.10,702
5-Jul-17,7.09,7.20,6.91,7.20,530
4-Jul-17,7.26,7.26,6.96,7.18,2233
3-Jul-17,7.38,7.38,7.00,7.20,3547
30-Jun-17,7.00,7.25,7.00,7.25,5675
29-Jun-17,6.99,7.00,6.90,7.00,621
28-Jun-17,6.99,6.99,6.66,6.99,4740
27-Jun-17,6.90,6.99,6.80,6.98,5477
26-Jun-17,6.99,6.99,6.99,6.99,2
23-Jun-17,6.95,6.99,6.75,6.99,1404
22-Jun-17,6.90,6.99,6.68,6.90,2198
21-Jun-17,7.00,7.00,6.80,6.90,3376
20-Jun-17,7.25,7.25,7.00,7.00,502
19-Jun-17,7.25,7.25,6.95,7.17,1397
16-Jun-17,7.01,7.30,6.57,7.26,3831
14-Jun-17,7.26,7.30,7.01,7.01,4375
13-Jun-17,7.38,7.38,7.28,7.28,1002
12-Jun-17,7.20,7.28,7.20,7.28,225
9-Jun-17,7.28,7.38,7.10,7.38,4357
8-Jun-17,7.38,7.38,7.28,7.37,96
7-Jun-17,7.38,7.38,7.28,7.38,302
6-Jun-17,7.40,7.40,7.20,7.38,2429
5-Jun-17,7.46,7.46,7.23,7.40,448
2-Jun-17,7.47,7.47,7.47,7.47,2307
1-Jun-17,7.49,7.49,7.49,7.49,2
31-May-17,7.49,7.49,7.40,7.47,2503
30-May-17,7.49,7.49,7.21,7.47,942
29-May-17,7.35,7.49,7.35,7.49,5856
26-May-17,7.40,7.40,7.18,7.19,592
25-May-17,7.43,7.43,7.18,7.40,1888
24-May-17,7.43,7.43,7.40,7.40,202
23-May-17,7.49,7.49,7.16,7.44,1003
22-May-17,7.44,7.50,7.44,7.49,147
19-May-17,7.44,7.44,7.24,7.44,1385
18-May-17,7.45,7.45,7.45,7.45,2
17-May-17,7.21,7.22,7.21,7.21,386
16-May-17,7.49,7.50,7.21,7.28,1989
15-May-17,7.50,7.50,7.49,7.49,154
12-May-17,7.50,7.50,7.40,7.50,2379
11-May-17,7.30,7.50,7.25,7.49,1105
10-May-17,7.54,7.55,7.41,7.41,7993
9-May-17,7.65,7.65,7.54,7.55,491
8-May-17,7.79,7.79,7.60,7.60,252
5-May-17,7.80,7.80,7.53,7.80,737
4-May-17,7.85,7.85,7.61,7.70,1208
2-May-17,7.79,7.79,7.79,7.79,2
28-Apr-17,7.85,7.85,7.79,7.79,1913
27-Apr-17,7.70,7.81,7.70,7.79,6446
26-Apr-17,7.70,7.70,7.51,7.60,2219
25-Apr-17,7.93,7.93,7.51,7.52,7770
24-Apr-17,7.74,7.95,7.74,7.95,5256
21-Apr-17,7.79,7.79,7.70,7.74,1079
20-Apr-17,7.70,7.85,7.65,7.65,1606
19-Apr-17,7.99,7.99,7.70,7.70,1231
18-Apr-17,8.15,8.15,7.44,7.99,19278
