b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,6.66,6.75,6.44,6.44,2489936
14-Sep-17,6.71,6.75,6.60,6.60,1017938
13-Sep-17,6.92,6.96,6.70,6.70,1245994
12-Sep-17,6.97,7.05,6.91,6.93,793613
11-Sep-17,7.01,7.05,6.97,6.97,474988
8-Sep-17,7.07,7.11,6.94,7.01,460822
7-Sep-17,7.11,7.15,7.07,7.07,442426
6-Sep-17,7.20,7.20,7.13,7.13,315063
5-Sep-17,7.17,7.24,7.15,7.21,344286
4-Sep-17,7.25,7.26,7.16,7.17,301020
1-Sep-17,7.34,7.41,7.22,7.23,370035
31-Aug-17,7.32,7.45,7.28,7.45,1089827
30-Aug-17,7.32,7.39,7.30,7.33,950809
29-Aug-17,7.31,7.35,7.26,7.35,419793
28-Aug-17,7.30,7.39,7.30,7.32,179151
25-Aug-17,7.30,7.37,7.30,7.30,226637
24-Aug-17,7.20,7.38,7.20,7.38,409119
23-Aug-17,7.20,7.29,7.19,7.21,345057
22-Aug-17,7.29,7.29,7.18,7.28,165383
21-Aug-17,7.10,7.28,7.07,7.28,374857
18-Aug-17,6.96,7.13,6.96,7.10,272038
17-Aug-17,6.98,7.09,6.97,7.01,450660
16-Aug-17,7.07,7.07,6.95,6.98,733456
14-Aug-17,7.13,7.13,6.98,7.03,252783
11-Aug-17,7.13,7.13,7.01,7.02,686245
10-Aug-17,7.38,7.38,7.13,7.13,446575
9-Aug-17,7.40,7.41,7.18,7.34,525546
8-Aug-17,7.29,7.49,7.26,7.41,1332358
7-Aug-17,7.03,7.29,7.02,7.29,942271
4-Aug-17,6.84,7.09,6.84,7.03,1035053
3-Aug-17,7.20,7.20,6.82,6.82,2402262
2-Aug-17,7.77,7.86,7.32,7.34,1737064
1-Aug-17,7.70,7.78,7.63,7.66,659388
31-Jul-17,7.65,7.72,7.65,7.71,577511
28-Jul-17,7.58,7.70,7.58,7.70,1315478
27-Jul-17,7.67,7.67,7.57,7.66,260241
26-Jul-17,7.72,7.72,7.61,7.64,606413
25-Jul-17,7.58,7.70,7.56,7.70,757543
24-Jul-17,7.60,7.60,7.43,7.46,474754
21-Jul-17,7.50,7.60,7.45,7.50,319817
20-Jul-17,7.58,7.66,7.48,7.55,370673
19-Jul-17,7.67,7.69,7.43,7.58,551774
18-Jul-17,7.72,7.72,7.60,7.68,302159
17-Jul-17,7.60,7.76,7.56,7.68,591069
14-Jul-17,7.59,7.59,7.45,7.59,513938
13-Jul-17,7.42,7.58,7.38,7.54,907263
12-Jul-17,7.30,7.43,7.29,7.41,694638
11-Jul-17,7.31,7.36,7.24,7.34,215441
10-Jul-17,7.31,7.43,7.23,7.24,193029
7-Jul-17,7.36,7.48,7.23,7.29,223505
6-Jul-17,7.40,7.58,7.36,7.43,145346
5-Jul-17,7.32,7.39,7.26,7.38,358749
4-Jul-17,7.40,7.42,7.29,7.31,443861
3-Jul-17,7.42,7.60,7.36,7.60,930292
30-Jun-17,7.25,7.45,7.16,7.45,1196610
29-Jun-17,7.33,7.40,7.21,7.21,357549
28-Jun-17,7.50,7.60,7.16,7.16,371446
27-Jun-17,7.22,7.66,7.22,7.56,746845
26-Jun-17,7.09,7.34,7.09,7.28,514610
23-Jun-17,7.22,7.22,7.08,7.08,160882
22-Jun-17,7.22,7.28,7.08,7.19,232005
21-Jun-17,7.14,7.28,7.07,7.27,209665
20-Jun-17,7.24,7.28,7.14,7.24,227146
19-Jun-17,7.06,7.23,7.06,7.23,128054
16-Jun-17,7.05,7.28,7.00,7.06,598812
14-Jun-17,7.10,7.21,7.01,7.21,394152
13-Jun-17,7.27,7.27,7.01,7.06,266202
12-Jun-17,7.09,7.28,7.01,7.28,132741
9-Jun-17,7.30,7.36,7.12,7.20,577523
8-Jun-17,7.23,7.30,7.14,7.25,363228
