b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.76,1.76,1.68,1.74,14927
14-Sep-17,1.73,1.73,1.70,1.72,14053
13-Sep-17,1.82,1.82,1.72,1.74,68139
12-Sep-17,1.81,1.82,1.72,1.77,8808
11-Sep-17,1.79,1.82,1.73,1.82,7226
8-Sep-17,1.83,1.83,1.71,1.83,502
7-Sep-17,1.83,1.83,1.77,1.80,3071
6-Sep-17,1.78,1.83,1.78,1.80,915
5-Sep-17,1.80,1.85,1.79,1.79,11634
4-Sep-17,1.80,1.91,1.70,1.79,33083
1-Sep-17,1.86,1.86,1.73,1.75,13267
31-Aug-17,1.66,1.91,1.65,1.78,80602
30-Aug-17,1.65,1.65,1.63,1.65,2800
29-Aug-17,1.69,1.69,1.63,1.65,4584
28-Aug-17,1.64,1.68,1.62,1.63,24408
25-Aug-17,1.64,1.69,1.64,1.69,951
24-Aug-17,1.69,1.69,1.61,1.69,16296
23-Aug-17,1.70,1.70,1.67,1.69,25660
22-Aug-17,1.70,1.71,1.70,1.70,21329
21-Aug-17,1.65,1.72,1.65,1.71,1888
18-Aug-17,1.69,1.70,1.64,1.64,5071
17-Aug-17,-,-,-,1.71,0
16-Aug-17,1.67,1.73,1.65,1.71,11810
14-Aug-17,1.67,1.67,1.67,1.67,1047
11-Aug-17,1.68,1.68,1.65,1.68,17460
10-Aug-17,-,-,-,1.74,0
9-Aug-17,-,-,-,1.74,0
8-Aug-17,1.74,1.75,1.66,1.74,11364
7-Aug-17,1.62,1.74,1.62,1.74,22928
4-Aug-17,1.63,1.63,1.60,1.60,3501
3-Aug-17,1.62,1.64,1.61,1.64,4451
2-Aug-17,1.60,1.63,1.60,1.62,10750
1-Aug-17,1.65,1.67,1.49,1.59,46914
31-Jul-17,1.69,1.73,1.67,1.68,10549
28-Jul-17,1.72,1.74,1.70,1.74,6260
27-Jul-17,1.74,1.75,1.71,1.74,5112
26-Jul-17,1.68,1.74,1.68,1.74,25215
25-Jul-17,1.75,1.75,1.70,1.70,22001
24-Jul-17,1.68,1.69,1.68,1.69,8037
21-Jul-17,1.70,1.70,1.69,1.69,5820
20-Jul-17,1.70,1.72,1.69,1.70,25042
19-Jul-17,1.74,1.77,1.69,1.73,3412
18-Jul-17,1.74,1.74,1.69,1.74,7867
17-Jul-17,1.76,1.77,1.74,1.74,7922
14-Jul-17,1.69,1.76,1.69,1.76,601
13-Jul-17,1.72,1.72,1.69,1.69,6070
12-Jul-17,1.70,1.73,1.70,1.73,701
11-Jul-17,1.75,1.80,1.69,1.74,6551
10-Jul-17,1.69,1.75,1.69,1.75,3677
7-Jul-17,1.78,1.80,1.78,1.80,4393
6-Jul-17,1.72,1.79,1.71,1.79,2009
5-Jul-17,1.73,1.73,1.71,1.71,600
4-Jul-17,1.79,1.79,1.76,1.76,18
3-Jul-17,1.77,1.78,1.77,1.78,3271
30-Jun-17,1.79,1.79,1.70,1.76,7564
29-Jun-17,1.71,1.74,1.70,1.73,12550
28-Jun-17,1.72,1.74,1.71,1.74,9270
27-Jun-17,1.75,1.75,1.70,1.74,9367
26-Jun-17,1.75,1.75,1.70,1.73,6160
23-Jun-17,1.75,1.79,1.75,1.79,1950
22-Jun-17,1.74,1.80,1.74,1.80,3242
21-Jun-17,1.74,1.80,1.73,1.80,1435
20-Jun-17,1.75,1.80,1.70,1.79,4276
19-Jun-17,1.77,1.81,1.76,1.76,1623
16-Jun-17,1.83,1.83,1.77,1.81,1251
14-Jun-17,1.85,1.85,1.78,1.84,5015
13-Jun-17,1.82,1.85,1.81,1.85,401
12-Jun-17,1.90,1.90,1.80,1.87,9466
9-Jun-17,1.85,1.85,1.83,1.85,101280
8-Jun-17,1.81,1.85,1.81,1.85,699
7-Jun-17,1.78,1.88,1.78,1.81,11767
6-Jun-17,1.80,1.84,1.78,1.82,783
5-Jun-17,1.80,1.85,1.80,1.84,16453
2-Jun-17,1.81,1.86,1.81,1.82,9207
1-Jun-17,1.78,1.89,1.73,1.81,35852
31-May-17,1.75,1.78,1.73,1.78,5965
30-May-17,1.82,1.91,1.74,1.77,24689
29-May-17,1.86,1.87,1.80,1.87,56149
26-May-17,1.95,1.95,1.85,1.93,15367
25-May-17,2.00,2.00,1.91,1.98,33448
24-May-17,2.02,2.04,1.90,2.03,22122
23-May-17,2.24,2.27,2.03,2.05,48737
22-May-17,-,-,-,2.25,0
19-May-17,-,-,-,2.25,0
18-May-17,-,-,-,2.25,0
17-May-17,-,-,-,2.25,0
16-May-17,-,-,-,2.25,0
15-May-17,-,-,-,2.25,0
12-May-17,-,-,-,2.25,0
11-May-17,-,-,-,2.25,0
10-May-17,-,-,-,2.25,0
9-May-17,-,-,-,2.25,0
8-May-17,-,-,-,2.25,0
5-May-17,-,-,-,2.25,0
4-May-17,2.14,2.26,2.12,2.25,18093
