b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,8.60,8.80,8.60,8.78,17317
14-Sep-17,8.85,8.85,8.48,8.55,31237
13-Sep-17,8.93,8.95,8.81,8.85,24562
12-Sep-17,9.02,9.09,8.89,8.93,37998
11-Sep-17,8.81,9.10,8.81,9.02,80373
8-Sep-17,8.65,8.85,8.60,8.81,80084
7-Sep-17,8.49,8.78,8.47,8.75,51774
6-Sep-17,8.46,8.50,8.36,8.40,15711
5-Sep-17,8.40,8.47,8.26,8.44,37199
4-Sep-17,7.91,8.24,7.91,8.24,37532
1-Sep-17,7.85,7.91,7.82,7.91,18567
31-Aug-17,7.72,7.85,7.66,7.80,12226
30-Aug-17,7.73,7.73,7.65,7.66,12905
29-Aug-17,7.63,7.71,7.55,7.71,45866
28-Aug-17,7.67,7.78,7.62,7.63,17345
25-Aug-17,7.87,7.87,7.69,7.69,42648
24-Aug-17,7.95,7.95,7.79,7.89,7141
23-Aug-17,8.00,8.00,7.90,7.95,1268
22-Aug-17,8.03,8.03,7.80,7.93,1743
21-Aug-17,7.95,8.05,7.86,8.05,27828
18-Aug-17,8.10,8.10,7.77,7.80,20892
17-Aug-17,7.87,7.87,7.63,7.66,5463
16-Aug-17,7.94,7.94,7.86,7.87,1622
14-Aug-17,7.87,7.94,7.85,7.89,4277
11-Aug-17,7.94,7.94,7.85,7.87,2651
10-Aug-17,8.03,8.05,7.96,8.00,22107
9-Aug-17,8.04,8.06,7.95,8.02,6933
8-Aug-17,8.12,8.12,8.04,8.10,10012
7-Aug-17,8.14,8.16,8.08,8.09,9416
4-Aug-17,8.08,8.08,8.05,8.05,5763
3-Aug-17,8.09,8.13,8.05,8.05,60583
2-Aug-17,7.90,8.19,7.90,8.05,120494
1-Aug-17,7.78,7.83,7.77,7.82,6234
31-Jul-17,7.80,7.80,7.73,7.74,5833
28-Jul-17,7.50,7.73,7.50,7.73,10563
27-Jul-17,7.40,7.56,7.40,7.49,7462
