b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,17.88,17.88,16.30,16.60,7906
14-Sep-17,17.94,17.94,16.20,16.55,9987
13-Sep-17,17.76,17.92,17.23,17.92,1133
12-Sep-17,17.96,17.96,17.76,17.76,108
11-Sep-17,17.96,17.96,17.94,17.94,56
8-Sep-17,17.50,18.00,17.50,17.95,645
7-Sep-17,18.00,18.00,17.26,17.50,1995
6-Sep-17,17.99,18.00,17.52,18.00,1315
5-Sep-17,17.88,17.88,17.41,17.88,394
4-Sep-17,17.80,17.84,17.40,17.84,607
1-Sep-17,18.00,18.00,17.25,17.40,3748
31-Aug-17,18.00,18.20,17.51,18.20,2896
30-Aug-17,17.60,17.60,17.30,17.58,2213
29-Aug-17,17.70,17.70,17.38,17.38,3649
28-Aug-17,18.73,18.73,17.65,18.00,510
25-Aug-17,18.00,18.00,17.66,17.70,2259
24-Aug-17,18.75,18.75,18.07,18.45,1788
23-Aug-17,18.85,18.85,18.66,18.66,2
22-Aug-17,18.49,18.87,18.07,18.85,14750
21-Aug-17,18.00,18.49,17.80,18.49,1136
18-Aug-17,18.00,18.00,18.00,18.00,11
17-Aug-17,18.50,18.50,17.60,18.00,158
16-Aug-17,18.50,18.50,17.85,17.85,54
14-Aug-17,17.85,18.39,17.56,18.21,400
11-Aug-17,17.61,17.80,17.61,17.80,688
10-Aug-17,17.99,17.99,17.30,17.77,993
9-Aug-17,18.00,18.00,18.00,18.00,102
8-Aug-17,18.30,18.30,17.85,17.85,366
7-Aug-17,18.30,18.30,18.30,18.30,515
4-Aug-17,18.83,18.83,18.32,18.45,250
3-Aug-17,19.00,19.00,18.50,18.83,48
2-Aug-17,19.04,19.04,18.71,18.80,1630
1-Aug-17,19.40,19.48,18.25,19.00,2220
31-Jul-17,19.47,19.47,19.00,19.40,471
28-Jul-17,18.79,19.00,18.11,19.00,2722
27-Jul-17,18.50,18.80,18.27,18.79,387
26-Jul-17,18.93,18.93,18.32,18.50,91
25-Jul-17,18.79,18.80,18.50,18.50,140
24-Jul-17,18.80,18.80,18.31,18.80,279
21-Jul-17,18.30,18.41,18.30,18.41,1002
20-Jul-17,18.70,18.85,18.21,18.30,845
19-Jul-17,18.70,18.70,18.65,18.70,201
18-Jul-17,17.80,18.55,17.61,18.55,3117
17-Jul-17,18.00,18.00,17.35,17.80,7088
14-Jul-17,18.58,18.58,17.90,18.50,1732
13-Jul-17,18.68,18.68,18.00,18.00,968
12-Jul-17,18.90,18.92,18.00,18.70,4984
11-Jul-17,19.00,19.00,18.61,18.85,145
10-Jul-17,18.95,18.95,18.60,18.89,702
7-Jul-17,18.90,18.95,18.90,18.95,49
6-Jul-17,18.65,19.00,18.65,19.00,16
5-Jul-17,17.79,19.30,17.75,19.30,9426
4-Jul-17,18.80,18.80,18.70,18.70,2
3-Jul-17,18.80,18.80,18.75,18.75,2
30-Jun-17,18.13,18.14,17.72,18.14,2205
29-Jun-17,18.10,18.14,18.10,18.14,102
28-Jun-17,18.28,18.28,17.67,18.10,1657
27-Jun-17,18.43,18.50,18.25,18.25,1134
26-Jun-17,18.60,18.60,18.43,18.58,1343
23-Jun-17,18.80,18.80,18.51,18.60,3058
22-Jun-17,19.00,19.00,18.56,18.78,719
21-Jun-17,19.15,19.15,18.70,18.80,1783
20-Jun-17,18.80,19.15,18.80,19.13,323
19-Jun-17,19.22,19.22,18.80,19.19,2564
16-Jun-17,19.00,19.23,19.00,19.23,85
14-Jun-17,19.44,19.44,19.00,19.00,1423
13-Jun-17,19.45,19.45,19.14,19.28,127
12-Jun-17,19.59,19.59,19.13,19.45,578
9-Jun-17,19.64,19.64,19.13,19.21,1750
8-Jun-17,19.65,19.65,19.13,19.38,1755
7-Jun-17,19.40,19.66,19.12,19.66,1217
6-Jun-17,19.74,19.75,19.10,19.38,3093
5-Jun-17,20.00,20.00,18.91,19.36,6362
2-Jun-17,19.48,19.97,19.06,19.85,5066
1-Jun-17,19.30,19.48,19.15,19.48,2646
31-May-17,19.25,19.30,18.92,19.30,1714
30-May-17,19.23,19.23,18.70,19.20,1186
29-May-17,19.00,19.15,19.00,19.15,2279
26-May-17,18.98,18.98,18.61,18.90,1527
25-May-17,18.51,18.95,18.51,18.95,537
24-May-17,18.89,18.99,18.45,18.99,654
23-May-17,19.50,19.50,18.41,18.47,3778
22-May-17,19.49,19.55,18.73,19.00,2981
19-May-17,19.42,19.59,18.61,19.19,1629
18-May-17,19.29,19.29,18.41,18.89,2034
17-May-17,18.74,18.74,18.50,18.50,1727
16-May-17,18.35,18.65,18.28,18.50,2085
15-May-17,18.50,18.85,18.21,18.50,13455
12-May-17,19.00,19.00,18.41,18.50,2383
11-May-17,19.19,19.19,18.90,18.92,8074
10-May-17,19.88,19.88,19.00,19.20,2723
9-May-17,19.17,19.88,18.73,19.21,19004
8-May-17,19.10,19.10,19.00,19.10,4929
5-May-17,19.17,19.17,19.00,19.10,1791
4-May-17,18.90,19.18,18.75,19.12,7781
2-May-17,19.24,19.34,19.10,19.30,2237
28-Apr-17,18.45,19.00,18.36,19.00,163324
27-Apr-17,18.00,18.44,17.81,18.35,11229
26-Apr-17,18.00,18.00,17.55,17.75,3510
25-Apr-17,17.89,18.12,17.74,18.00,3095
24-Apr-17,17.98,18.00,17.52,17.75,3041
21-Apr-17,16.95,17.86,16.95,17.49,34894
20-Apr-17,16.81,16.99,16.53,16.98,15607
19-Apr-17,16.91,17.40,16.60,17.00,47616
18-Apr-17,17.80,18.35,17.45,17.95,39053
13-Apr-17,18.90,19.00,18.70,19.00,6304
12-Apr-17,18.99,19.00,18.85,19.00,762
11-Apr-17,19.33,19.33,18.82,18.98,2462
10-Apr-17,18.99,19.35,18.90,19.00,4250
7-Apr-17,19.34,19.35,18.97,19.00,7128
6-Apr-17,18.85,19.39,18.55,19.39,3700
5-Apr-17,19.08,19.48,18.61,18.90,47736
4-Apr-17,19.20,19.20,19.00,19.00,22535
3-Apr-17,19.45,19.45,18.84,19.38,14707
31-Mar-17,19.00,19.00,18.82,19.00,12142
30-Mar-17,19.20,19.35,19.01,19.35,6720
29-Mar-17,19.61,19.61,19.11,19.60,16757
28-Mar-17,19.30,19.30,19.00,19.24,9144
27-Mar-17,20.30,20.30,19.41,19.62,8760
24-Mar-17,20.46,20.46,20.00,20.30,13444
23-Mar-17,20.50,20.77,20.35,20.69,12329
22-Mar-17,20.45,20.70,20.19,20.30,3726
21-Mar-17,20.70,21.00,20.50,20.53,23662
20-Mar-17,20.45,20.70,20.35,20.70,26747
17-Mar-17,19.82,20.77,19.82,20.02,36850
16-Mar-17,19.24,19.79,19.06,19.42,32342
15-Mar-17,19.29,19.30,18.81,19.06,13963
14-Mar-17,19.30,19.30,19.10,19.25,6265
13-Mar-17,19.49,19.49,19.20,19.30,13081
10-Mar-17,19.21,19.90,19.01,19.48,14735
9-Mar-17,19.48,19.48,19.31,19.34,2369
8-Mar-17,19.60,19.60,19.33,19.49,25959
7-Mar-17,20.43,20.43,19.26,19.79,20291
6-Mar-17,20.50,20.50,20.16,20.43,2643
3-Mar-17,20.78,20.78,20.10,20.36,2994
2-Mar-17,20.67,20.74,20.35,20.69,17788
1-Mar-17,20.50,20.68,20.30,20.68,5798
28-Feb-17,20.60,20.89,20.10,20.69,7359
27-Feb-17,20.88,20.88,20.50,20.75,1798
24-Feb-17,21.10,21.10,20.50,20.89,4447
23-Feb-17,20.80,21.10,20.80,21.10,4644
22-Feb-17,21.09,21.10,20.65,20.79,2410
21-Feb-17,21.05,21.39,21.05,21.09,3663
20-Feb-17,20.45,21.20,20.45,21.09,11431
17-Feb-17,20.50,21.00,20.35,20.60,22863
16-Feb-17,20.35,20.50,20.20,20.42,5349
15-Feb-17,20.16,20.59,20.16,20.35,4492
14-Feb-17,20.21,20.69,19.99,20.15,15261
13-Feb-17,21.20,21.20,20.51,20.51,8530
10-Feb-17,20.99,21.20,20.77,21.20,5715
9-Feb-17,20.85,21.24,20.55,21.23,6985
8-Feb-17,21.25,21.25,20.86,20.86,3948
7-Feb-17,21.48,21.50,21.21,21.22,6123
6-Feb-17,21.59,21.59,21.06,21.49,17498
3-Feb-17,21.69,21.69,20.80,21.64,28628
2-Feb-17,21.36,21.50,21.15,21.50,6048
1-Feb-17,21.70,21.71,21.49,21.66,3212
31-Jan-17,21.55,21.75,21.45,21.70,3771
30-Jan-17,21.75,21.75,21.16,21.49,3717
27-Jan-17,21.79,21.79,21.42,21.75,1636
26-Jan-17,21.89,21.89,21.55,21.79,4545
25-Jan-17,21.07,22.00,21.07,21.89,11738
24-Jan-17,21.74,21.74,21.15,21.15,7571
23-Jan-17,21.50,21.75,21.40,21.67,13102
20-Jan-17,20.90,21.50,20.77,21.50,13955
19-Jan-17,19.90,20.70,19.90,20.69,8794
18-Jan-17,20.01,20.17,19.62,19.96,13301
17-Jan-17,20.35,20.60,20.09,20.18,91679
16-Jan-17,20.47,20.47,19.98,20.10,13405
13-Jan-17,20.70,20.70,20.05,20.47,13777
12-Jan-17,20.85,21.09,20.50,20.70,8494
11-Jan-17,20.81,20.81,20.50,20.80,8012
10-Jan-17,21.45,21.45,20.80,20.89,24288
9-Jan-17,20.49,21.18,20.36,21.18,17748
5-Jan-17,19.55,20.36,19.06,20.36,13675
4-Jan-17,18.99,19.88,18.99,19.55,23457
3-Jan-17,18.99,19.16,18.90,18.98,15817
2-Jan-17,18.79,19.25,18.65,18.99,4639
30-Dec-16,18.60,19.00,18.55,18.99,21306
29-Dec-16,18.55,18.74,18.23,18.30,39688
28-Dec-16,18.72,18.72,18.21,18.55,3821
27-Dec-16,18.78,18.78,18.25,18.60,8436
23-Dec-16,18.91,18.91,18.20,18.30,5246
22-Dec-16,18.40,18.79,18.29,18.30,8989
21-Dec-16,18.40,18.40,18.21,18.30,4590
20-Dec-16,18.26,18.35,18.26,18.35,1286
19-Dec-16,18.43,18.43,18.16,18.26,6514
16-Dec-16,18.80,18.80,18.15,18.36,3916
15-Dec-16,18.41,18.41,18.12,18.29,7345
14-Dec-16,18.50,18.90,18.40,18.44,9134
13-Dec-16,19.07,19.07,18.60,18.60,9542
12-Dec-16,19.15,19.15,18.65,18.90,10591
9-Dec-16,18.99,19.25,18.50,18.88,22432
8-Dec-16,18.80,18.90,18.51,18.88,6988
7-Dec-16,18.99,19.00,18.71,18.80,6891
6-Dec-16,19.04,19.10,18.55,18.80,4975
5-Dec-16,18.80,18.80,18.00,18.79,12002
2-Dec-16,18.30,18.50,18.00,18.50,16389
1-Dec-16,18.40,18.40,17.65,18.00,6389
30-Nov-16,18.50,18.80,18.26,18.48,4927
29-Nov-16,18.21,18.47,18.10,18.43,5771
28-Nov-16,18.80,18.80,18.28,18.30,14627
25-Nov-16,18.90,18.90,18.40,18.50,4255
24-Nov-16,18.55,19.00,18.21,18.54,6354
23-Nov-16,19.24,19.24,18.54,18.54,4737
22-Nov-16,19.00,19.01,18.52,18.90,5806
21-Nov-16,19.25,19.25,18.99,18.99,10486
18-Nov-16,18.61,19.21,18.56,19.00,3234
17-Nov-16,19.25,19.25,18.90,18.90,6844
16-Nov-16,19.23,19.25,19.10,19.25,5279
15-Nov-16,19.41,19.87,18.80,18.90,17127
14-Nov-16,18.69,19.53,18.69,19.20,35142
10-Nov-16,17.55,18.46,17.55,18.25,13791
9-Nov-16,17.25,17.60,17.25,17.60,7840
8-Nov-16,17.99,17.99,17.43,17.65,378
7-Nov-16,17.53,17.80,17.42,17.69,2979
4-Nov-16,17.50,18.10,17.50,17.56,11244
