b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,9.99,10.16,9.84,9.89,4222
14-Sep-17,9.90,9.90,9.85,9.88,710
13-Sep-17,9.77,9.94,9.77,9.94,4088
12-Sep-17,9.95,9.95,9.80,9.94,3264
11-Sep-17,9.99,9.99,9.76,9.95,2586
8-Sep-17,9.95,9.99,9.80,9.99,1379
7-Sep-17,10.05,10.07,9.71,9.95,7936
6-Sep-17,10.06,10.10,10.05,10.07,3026
5-Sep-17,10.06,10.24,10.00,10.16,2286
4-Sep-17,10.40,10.49,10.05,10.18,6238
1-Sep-17,10.47,10.49,10.30,10.47,1584
31-Aug-17,10.41,10.49,10.32,10.49,1955
30-Aug-17,10.39,10.59,10.37,10.59,6402
29-Aug-17,10.40,10.60,10.38,10.38,2761
28-Aug-17,10.58,10.60,10.31,10.57,3366
25-Aug-17,10.58,10.58,10.54,10.54,701
24-Aug-17,10.36,10.50,10.10,10.45,6606
23-Aug-17,10.31,10.59,10.31,10.50,2151
22-Aug-17,10.30,10.35,10.23,10.33,4916
21-Aug-17,10.40,10.40,10.30,10.32,1726
18-Aug-17,10.50,10.50,10.30,10.49,512
17-Aug-17,10.35,10.50,10.35,10.50,200
16-Aug-17,10.50,10.80,10.30,10.30,4601
14-Aug-17,10.40,10.45,10.40,10.40,1190
11-Aug-17,10.49,10.50,10.30,10.36,6102
10-Aug-17,10.45,10.68,10.45,10.68,285
9-Aug-17,10.68,10.80,10.55,10.70,1172
8-Aug-17,10.45,10.68,10.42,10.68,6700
7-Aug-17,10.40,10.40,10.39,10.39,1990
4-Aug-17,10.50,10.50,10.40,10.40,1531
3-Aug-17,10.60,10.60,10.50,10.50,415
2-Aug-17,10.72,10.72,10.56,10.65,1213
1-Aug-17,10.70,10.70,10.42,10.70,880
31-Jul-17,10.52,10.71,10.37,10.69,1439
28-Jul-17,10.77,10.77,10.37,10.72,788
27-Jul-17,10.45,10.64,10.30,10.40,4475
26-Jul-17,10.40,10.45,10.30,10.30,1107
25-Jul-17,10.46,10.46,10.06,10.38,10094
24-Jul-17,10.77,10.80,10.45,10.45,6908
21-Jul-17,11.02,11.10,10.76,10.77,7291
20-Jul-17,11.03,11.05,11.02,11.05,272
19-Jul-17,11.18,11.28,11.00,11.05,3624
