b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.60,13.00,12.50,12.89,8448
14-Sep-17,13.00,13.00,12.76,12.88,9340
13-Sep-17,12.99,12.99,12.87,12.90,2012
12-Sep-17,13.00,13.27,12.90,13.01,29114
11-Sep-17,12.60,13.16,12.60,13.00,19877
8-Sep-17,12.20,12.75,12.08,12.57,7541
7-Sep-17,12.35,12.35,12.15,12.19,2013
6-Sep-17,12.34,12.34,12.15,12.30,7569
5-Sep-17,12.10,12.30,12.10,12.30,10607
4-Sep-17,12.11,12.11,11.85,11.85,6672
1-Sep-17,12.39,12.44,11.61,12.10,50823
31-Aug-17,12.26,12.32,12.26,12.32,1161
30-Aug-17,12.26,12.28,12.25,12.28,433
29-Aug-17,12.39,12.39,12.12,12.28,614
28-Aug-17,12.28,12.30,12.12,12.30,5786
25-Aug-17,12.56,12.64,12.10,12.30,4374
24-Aug-17,12.25,12.50,12.19,12.50,5012
23-Aug-17,12.08,12.20,12.08,12.20,2555
22-Aug-17,12.10,12.10,11.93,12.08,1776
21-Aug-17,11.97,12.10,11.82,12.10,1935
18-Aug-17,11.89,11.98,11.84,11.97,7701
17-Aug-17,12.13,12.56,11.90,11.91,8436
16-Aug-17,12.10,12.10,12.00,12.00,2263
14-Aug-17,12.11,12.11,12.06,12.10,2704
11-Aug-17,12.11,12.11,12.11,12.11,100
10-Aug-17,12.00,12.13,11.94,12.13,3212
9-Aug-17,11.81,12.03,11.81,12.00,3496
8-Aug-17,12.15,12.15,11.72,11.99,5584
7-Aug-17,11.45,12.20,11.45,12.20,7789
4-Aug-17,11.55,11.65,11.40,11.45,17207
3-Aug-17,11.90,11.92,11.46,11.69,6396
2-Aug-17,12.00,12.00,11.95,11.95,1504
1-Aug-17,12.05,12.05,11.88,12.00,6238
31-Jul-17,12.20,12.20,12.05,12.05,3686
28-Jul-17,12.22,12.25,12.08,12.15,3323
27-Jul-17,12.46,12.56,12.35,12.45,1387
26-Jul-17,12.70,12.70,12.10,12.55,8517
25-Jul-17,12.76,12.76,12.65,12.66,2244
24-Jul-17,12.80,12.80,12.50,12.70,3844
21-Jul-17,12.65,12.85,12.65,12.75,3573
20-Jul-17,12.69,12.75,12.63,12.70,3978
19-Jul-17,12.72,12.72,12.60,12.69,902
18-Jul-17,12.80,12.82,12.60,12.70,6523
17-Jul-17,12.80,12.80,12.65,12.79,8035
14-Jul-17,12.95,13.00,12.67,12.68,17582
13-Jul-17,12.60,12.95,12.60,12.95,15276
12-Jul-17,12.70,12.80,12.60,12.69,2447
11-Jul-17,12.90,12.97,12.70,12.70,4442
10-Jul-17,12.86,13.08,12.86,12.98,7965
7-Jul-17,13.79,13.80,13.75,13.75,2353
6-Jul-17,13.80,13.80,13.75,13.75,23835
5-Jul-17,13.80,13.80,13.74,13.80,4773
4-Jul-17,13.95,13.95,13.75,13.76,9767
3-Jul-17,13.98,13.98,13.75,13.84,17928
30-Jun-17,13.94,14.00,13.88,13.88,9580
29-Jun-17,13.99,13.99,13.80,13.97,4588
28-Jun-17,13.95,13.99,13.86,13.99,815
27-Jun-17,13.98,13.99,13.85,13.86,35486
26-Jun-17,13.97,13.98,13.96,13.97,5314
23-Jun-17,13.97,13.98,13.90,13.97,8124
22-Jun-17,13.79,13.98,13.74,13.98,7288
21-Jun-17,14.00,14.00,13.70,13.82,14276
20-Jun-17,14.09,14.09,13.92,14.00,4561
19-Jun-17,14.20,14.35,13.90,14.00,26598
16-Jun-17,13.51,14.40,13.51,14.17,20724
14-Jun-17,13.40,13.57,13.20,13.46,27455
13-Jun-17,13.15,13.40,13.15,13.40,9812
12-Jun-17,13.13,13.28,13.13,13.13,15451
9-Jun-17,13.10,13.15,13.10,13.15,477
8-Jun-17,13.29,13.29,13.10,13.10,842
7-Jun-17,13.25,13.30,13.20,13.29,2309
6-Jun-17,13.25,13.25,13.10,13.25,5627
5-Jun-17,13.07,13.30,13.07,13.27,3380
2-Jun-17,12.80,13.16,12.80,13.08,1356
1-Jun-17,13.19,13.20,12.70,12.80,8684
31-May-17,13.20,13.20,13.00,13.19,9974
30-May-17,12.90,13.03,12.90,13.03,1394
29-May-17,12.61,13.08,12.61,13.08,10859
26-May-17,12.90,12.90,12.88,12.88,37571
25-May-17,13.00,13.05,12.90,12.97,9303
24-May-17,12.87,13.05,12.56,13.00,11238
23-May-17,12.89,12.89,12.75,12.86,251
22-May-17,12.85,12.93,12.85,12.89,1235
19-May-17,12.88,13.35,12.70,13.35,46061
18-May-17,12.53,12.89,11.86,12.89,18664
17-May-17,12.42,12.75,12.42,12.74,1959
16-May-17,12.65,12.90,12.31,12.89,3879
15-May-17,12.91,12.91,12.70,12.90,2065
12-May-17,12.97,12.97,12.75,12.96,598
11-May-17,12.96,12.96,12.50,12.95,2313
10-May-17,12.85,12.90,12.61,12.80,4759
9-May-17,13.00,13.10,12.85,12.85,1802
8-May-17,13.10,13.10,13.00,13.10,8022
5-May-17,13.30,13.30,12.97,13.22,2717
4-May-17,13.50,13.55,13.32,13.40,2501
2-May-17,13.40,13.45,13.30,13.45,2650
28-Apr-17,13.27,13.44,13.18,13.30,10154
27-Apr-17,13.30,13.30,13.18,13.28,557
26-Apr-17,13.12,13.30,13.10,13.30,4866
25-Apr-17,13.30,13.30,13.00,13.30,2624
24-Apr-17,13.42,13.45,12.95,13.30,5042
21-Apr-17,13.20,13.45,12.95,13.45,8547
20-Apr-17,13.40,13.40,12.83,13.16,78201
19-Apr-17,13.45,13.60,13.26,13.39,6333
18-Apr-17,13.65,13.65,13.36,13.45,17383
13-Apr-17,13.20,13.58,13.20,13.55,2886
12-Apr-17,13.45,13.70,13.23,13.70,3813
11-Apr-17,13.48,13.49,13.20,13.45,9239
10-Apr-17,13.60,13.60,13.43,13.48,150442
7-Apr-17,13.49,13.60,13.31,13.48,117257
6-Apr-17,13.21,13.65,12.83,13.53,30160
5-Apr-17,13.25,13.30,13.00,13.25,4984
4-Apr-17,13.20,13.49,12.21,13.30,41015
3-Apr-17,13.00,13.26,12.91,13.02,11237
31-Mar-17,13.10,13.21,12.71,12.90,6847
30-Mar-17,13.09,13.76,13.08,13.10,33140
29-Mar-17,13.00,13.10,12.90,13.09,7179
28-Mar-17,12.90,12.99,12.27,12.99,79980
27-Mar-17,12.45,12.55,12.12,12.49,3106
24-Mar-17,12.70,12.81,12.46,12.54,2775
23-Mar-17,12.73,12.96,12.60,12.80,2544
22-Mar-17,12.64,12.73,12.31,12.73,3788
21-Mar-17,12.66,12.85,12.64,12.64,2802
20-Mar-17,13.00,13.00,12.02,12.66,10732
17-Mar-17,13.00,13.00,12.95,12.98,12550
16-Mar-17,13.04,13.20,12.76,12.76,15702
15-Mar-17,12.42,13.13,12.42,12.90,9215
14-Mar-17,12.25,12.50,12.25,12.45,58599
13-Mar-17,12.29,12.29,12.15,12.25,6523
10-Mar-17,11.95,12.60,11.95,12.33,8403
9-Mar-17,12.05,12.20,11.93,12.20,11898
8-Mar-17,11.91,12.25,11.91,12.18,6015
7-Mar-17,12.26,12.55,11.73,12.35,11489
6-Mar-17,12.60,12.60,12.35,12.40,13452
3-Mar-17,12.70,12.70,12.49,12.49,10595
2-Mar-17,12.87,12.87,12.42,12.45,17594
1-Mar-17,13.00,13.00,12.65,12.87,7993
