b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,53.80,53.80,52.31,53.50,239
14-Sep-17,53.79,53.79,52.28,53.78,76
13-Sep-17,53.55,53.83,52.28,53.82,80
12-Sep-17,53.85,53.85,53.00,53.50,95
11-Sep-17,53.99,53.99,52.00,53.87,225
8-Sep-17,54.90,54.90,52.29,53.85,282
7-Sep-17,54.95,54.95,53.40,53.98,507
6-Sep-17,54.00,54.00,51.70,54.00,4088
5-Sep-17,53.88,53.90,53.65,53.65,216
4-Sep-17,54.50,54.50,54.00,54.00,192
1-Sep-17,54.95,54.95,54.50,54.50,22
31-Aug-17,53.50,54.95,53.01,54.75,518
30-Aug-17,54.98,54.98,54.30,54.30,368
29-Aug-17,54.30,55.00,53.00,54.33,727
28-Aug-17,54.99,54.99,54.50,54.50,119
25-Aug-17,54.99,54.99,54.20,54.99,558
24-Aug-17,55.00,55.00,54.30,54.99,171
23-Aug-17,55.22,55.22,54.00,55.00,430
22-Aug-17,55.09,55.32,54.00,55.00,192
21-Aug-17,55.37,55.37,54.00,55.09,370
18-Aug-17,54.01,55.50,53.00,55.37,914
17-Aug-17,56.26,56.26,53.91,55.50,465
16-Aug-17,56.19,56.19,56.00,56.00,31
14-Aug-17,56.00,56.31,56.00,56.19,87
11-Aug-17,55.99,56.13,55.99,56.13,72
10-Aug-17,56.50,56.97,55.07,56.60,477
9-Aug-17,57.49,57.49,55.92,56.99,1208
8-Aug-17,57.00,57.69,57.00,57.69,140
7-Aug-17,57.00,57.79,56.67,57.79,384
4-Aug-17,57.00,57.00,56.68,57.00,3534
3-Aug-17,57.98,57.98,56.92,57.00,487
2-Aug-17,58.00,58.00,56.56,57.98,724
1-Aug-17,58.00,58.00,57.89,58.00,1368
31-Jul-17,57.71,57.99,57.69,57.99,355
28-Jul-17,57.40,57.80,56.01,57.77,1583
27-Jul-17,58.40,58.72,55.02,56.20,5187
26-Jul-17,58.30,58.30,58.00,58.30,5982
25-Jul-17,58.14,58.76,57.60,58.38,626
24-Jul-17,59.46,59.46,57.00,57.12,2456
21-Jul-17,59.84,60.07,56.95,59.00,10998
20-Jul-17,59.10,59.98,58.75,59.00,6293
19-Jul-17,59.00,59.98,58.85,59.00,1999
18-Jul-17,56.95,61.95,56.95,59.00,4337
17-Jul-17,56.00,56.59,56.00,56.59,27
14-Jul-17,56.00,56.70,55.00,56.70,24
13-Jul-17,56.00,56.00,56.00,56.00,2
12-Jul-17,56.00,56.00,56.00,56.00,2
11-Jul-17,56.00,56.00,56.00,56.00,2
10-Jul-17,56.25,56.25,56.25,56.25,2
7-Jul-17,57.35,57.35,57.35,57.35,10
6-Jul-17,57.45,57.45,57.45,57.45,20
5-Jul-17,57.45,57.47,57.45,57.47,50
4-Jul-17,55.85,57.45,55.85,57.45,54
3-Jul-17,56.90,56.90,54.50,55.85,1667
30-Jun-17,56.15,58.00,55.00,56.00,1160
