b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.82,3.83,3.80,3.80,26122
14-Sep-17,3.83,3.85,3.82,3.83,15253
13-Sep-17,3.84,3.85,3.80,3.85,50350
12-Sep-17,3.88,3.88,3.81,3.84,89830
11-Sep-17,3.83,3.87,3.83,3.84,35707
8-Sep-17,3.84,3.85,3.82,3.83,189731
7-Sep-17,3.85,3.86,3.83,3.86,25991
6-Sep-17,3.85,3.85,3.83,3.85,105117
5-Sep-17,3.88,3.88,3.83,3.85,26464
4-Sep-17,3.88,3.89,3.83,3.84,29438
1-Sep-17,3.89,3.89,3.85,3.87,487556
31-Aug-17,3.86,3.94,3.85,3.90,117129
30-Aug-17,3.83,3.86,3.83,3.84,860739
29-Aug-17,3.85,3.85,3.83,3.85,37710
28-Aug-17,3.85,3.86,3.83,3.85,33325
25-Aug-17,3.85,3.86,3.83,3.85,43787
24-Aug-17,3.84,3.85,3.83,3.84,27945
23-Aug-17,3.80,3.89,3.80,3.85,253290
22-Aug-17,3.80,3.83,3.77,3.77,26229
21-Aug-17,3.82,3.84,3.79,3.79,20740
18-Aug-17,3.82,3.86,3.81,3.85,15280
17-Aug-17,3.82,3.86,3.72,3.84,52133
16-Aug-17,3.78,3.84,3.65,3.82,64263
14-Aug-17,3.81,3.81,3.75,3.78,48410
11-Aug-17,3.86,3.86,3.75,3.81,78074
10-Aug-17,3.90,3.90,3.86,3.86,16512
9-Aug-17,3.87,3.91,3.87,3.90,10441
8-Aug-17,3.90,3.94,3.88,3.90,92708
7-Aug-17,3.96,3.96,3.90,3.92,87714
4-Aug-17,3.97,3.97,3.94,3.95,11462
3-Aug-17,3.98,3.99,3.94,3.97,64702
2-Aug-17,3.96,3.96,3.91,3.93,34640
1-Aug-17,3.98,3.98,3.92,3.92,71233
31-Jul-17,3.95,3.96,3.92,3.96,41093
28-Jul-17,3.92,3.94,3.90,3.94,190937
27-Jul-17,3.90,3.95,3.90,3.92,65441
26-Jul-17,3.90,3.94,3.88,3.92,616635
25-Jul-17,3.94,3.96,3.89,3.89,103010
24-Jul-17,3.98,3.98,3.92,3.94,89245
21-Jul-17,3.94,3.98,3.93,3.94,104870
20-Jul-17,3.93,3.97,3.90,3.95,67380
19-Jul-17,4.01,4.03,3.88,3.97,567443
18-Jul-17,4.07,4.08,4.03,4.03,35557
