b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,265.50,269.60,265.50,269.05,612
14-Sep-17,269.85,269.85,265.05,265.05,393
13-Sep-17,274.00,274.05,270.00,270.00,9049
12-Sep-17,278.00,278.00,271.55,275.00,2462
11-Sep-17,278.50,278.50,271.65,278.00,1697
8-Sep-17,277.70,278.00,270.15,278.00,2023
7-Sep-17,280.50,280.50,267.05,275.00,1950
6-Sep-17,283.00,283.00,276.60,281.00,1712
5-Sep-17,282.00,283.55,280.00,282.00,4329
4-Sep-17,276.00,279.25,276.00,279.25,990
1-Sep-17,270.00,276.00,269.25,276.00,2552
31-Aug-17,256.95,269.00,256.95,269.00,13386
30-Aug-17,262.00,262.00,253.50,256.00,10923
29-Aug-17,263.00,263.00,242.00,258.00,10988
28-Aug-17,275.00,275.00,263.15,270.00,2398
25-Aug-17,276.85,276.85,274.00,274.00,2173
24-Aug-17,277.00,277.10,274.05,274.05,872
23-Aug-17,274.00,282.00,274.00,276.50,1657
22-Aug-17,278.40,278.40,274.10,278.00,757
21-Aug-17,279.95,279.95,272.00,278.45,1588
18-Aug-17,277.00,280.05,272.05,280.00,1120
17-Aug-17,280.00,281.00,275.00,275.00,3062
16-Aug-17,282.15,282.15,279.95,281.10,512
14-Aug-17,284.75,290.40,282.15,282.50,1601
11-Aug-17,277.00,283.00,271.50,283.00,6317
10-Aug-17,270.00,290.00,270.00,277.10,4795
9-Aug-17,278.00,278.70,270.70,272.80,2319
8-Aug-17,285.65,286.00,279.00,281.35,1633
7-Aug-17,289.00,290.00,281.95,285.60,14618
4-Aug-17,298.00,300.15,291.00,295.00,3152
3-Aug-17,299.20,300.95,296.00,296.00,1883
2-Aug-17,315.55,315.55,291.30,299.90,20556
1-Aug-17,326.00,329.95,316.30,316.30,1576
31-Jul-17,332.15,334.40,327.45,328.00,37110
28-Jul-17,333.00,335.00,332.00,334.00,3957
27-Jul-17,333.00,335.65,331.00,335.00,6479
26-Jul-17,335.05,335.05,326.00,335.00,3153
25-Jul-17,345.00,345.00,333.90,335.00,3788
24-Jul-17,344.90,344.90,337.00,337.00,4608
21-Jul-17,348.10,348.10,338.45,339.90,4969
20-Jul-17,344.00,344.55,336.00,339.00,4799
19-Jul-17,360.00,360.00,342.00,344.00,19548
18-Jul-17,380.00,380.00,373.00,373.00,725
17-Jul-17,376.85,380.00,375.00,380.00,664
14-Jul-17,376.95,376.95,371.95,375.90,1251
13-Jul-17,372.50,377.00,371.00,377.00,2116
12-Jul-17,369.20,376.00,369.20,374.85,10481
11-Jul-17,376.55,376.70,368.00,368.00,16828
10-Jul-17,375.10,376.90,375.10,375.10,5634
7-Jul-17,374.20,379.00,368.15,379.00,2077
6-Jul-17,376.10,379.80,371.20,379.80,4032
5-Jul-17,378.10,383.45,376.00,378.45,4261
4-Jul-17,378.25,382.95,378.05,381.20,651
3-Jul-17,382.50,386.00,378.15,378.15,2186
30-Jun-17,389.90,390.00,384.50,390.00,3679
29-Jun-17,385.00,390.00,384.00,390.00,2719
28-Jun-17,386.00,386.20,380.30,384.00,3029
