b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,22.57,24.13,22.57,23.90,3273
14-Sep-17,22.20,22.49,22.20,22.38,475
13-Sep-17,22.89,22.89,22.00,22.00,460
12-Sep-17,22.89,22.89,22.66,22.66,36
11-Sep-17,22.89,22.89,22.80,22.80,31
8-Sep-17,22.79,22.79,22.30,22.30,1119
7-Sep-17,22.69,22.89,22.69,22.88,338
6-Sep-17,22.30,22.70,22.30,22.30,593
5-Sep-17,22.50,23.40,21.90,21.90,1705
4-Sep-17,-,-,-,22.45,0
1-Sep-17,22.00,22.45,22.00,22.45,60
31-Aug-17,21.21,21.94,21.21,21.94,1601
30-Aug-17,21.50,21.68,21.50,21.68,475
29-Aug-17,22.00,22.41,20.11,21.50,1206
28-Aug-17,22.55,22.55,22.41,22.41,110
25-Aug-17,22.45,22.45,22.45,22.45,1
24-Aug-17,22.50,22.57,22.10,22.57,1242
23-Aug-17,22.44,22.50,22.44,22.50,58
22-Aug-17,22.90,22.90,22.90,22.90,36
21-Aug-17,23.00,23.00,23.00,23.00,11
18-Aug-17,22.20,23.00,22.20,23.00,307
17-Aug-17,22.50,22.50,22.10,22.10,388
16-Aug-17,22.60,23.00,22.60,22.60,152
14-Aug-17,22.60,23.10,22.30,23.10,692
11-Aug-17,23.10,23.10,22.70,22.70,110
10-Aug-17,23.00,23.10,23.00,23.00,451
9-Aug-17,23.00,23.00,22.10,23.00,251
8-Aug-17,23.95,23.95,23.00,23.50,430
7-Aug-17,23.16,23.99,23.15,23.99,438
4-Aug-17,23.00,23.62,23.00,23.15,986
3-Aug-17,23.35,23.40,22.98,23.00,1196
2-Aug-17,24.79,24.79,23.35,23.35,1023
1-Aug-17,24.79,24.79,24.79,24.79,5
31-Jul-17,-,-,-,24.80,0
28-Jul-17,24.40,24.80,24.20,24.80,113
27-Jul-17,24.40,24.40,24.39,24.39,14
26-Jul-17,24.80,24.80,24.40,24.40,163
25-Jul-17,24.85,24.85,24.84,24.84,108
24-Jul-17,24.40,24.70,24.40,24.70,60
21-Jul-17,25.20,25.20,25.00,25.20,137
20-Jul-17,25.20,25.20,25.20,25.20,2477
19-Jul-17,25.20,25.22,25.20,25.22,14
18-Jul-17,25.00,25.10,24.99,25.10,753
17-Jul-17,25.00,25.00,24.99,24.99,730
14-Jul-17,25.00,25.00,25.00,25.00,9
13-Jul-17,25.00,25.00,24.50,25.00,46
12-Jul-17,24.90,25.15,24.70,25.15,983
11-Jul-17,24.95,24.95,24.95,24.95,79
10-Jul-17,-,-,-,24.94,0
7-Jul-17,24.95,24.95,24.45,24.94,131
6-Jul-17,24.25,24.88,24.25,24.88,917
5-Jul-17,24.84,24.86,24.20,24.83,1655
4-Jul-17,24.80,25.00,24.80,25.00,650
3-Jul-17,24.53,24.99,24.53,24.99,737
30-Jun-17,25.00,25.00,24.51,24.96,804
29-Jun-17,25.00,25.00,24.69,25.00,509
28-Jun-17,25.00,25.10,24.50,25.10,7462
27-Jun-17,25.00,25.00,25.00,25.00,290
26-Jun-17,24.90,25.00,24.80,25.00,1733
23-Jun-17,25.34,25.34,24.85,25.00,255
22-Jun-17,25.10,25.20,25.10,25.20,82
21-Jun-17,25.40,25.40,24.03,25.00,2248
20-Jun-17,25.40,25.40,25.00,25.30,416
19-Jun-17,25.50,25.50,25.00,25.45,524
16-Jun-17,25.59,25.59,25.49,25.50,168
14-Jun-17,25.40,25.50,25.10,25.45,233
13-Jun-17,25.00,25.40,25.00,25.40,75
12-Jun-17,25.59,25.59,25.00,25.30,251
9-Jun-17,25.49,25.60,25.30,25.50,389
8-Jun-17,25.50,25.50,25.00,25.48,1657
7-Jun-17,25.00,25.30,25.00,25.30,341
6-Jun-17,25.39,25.40,25.30,25.40,585
5-Jun-17,25.29,25.30,25.20,25.30,446
2-Jun-17,25.10,25.29,24.20,25.29,1849
1-Jun-17,25.50,25.66,25.00,25.20,14222
31-May-17,25.94,25.94,25.60,25.85,110
30-May-17,25.94,25.95,25.70,25.70,5075
29-May-17,25.95,25.95,25.70,25.93,504
26-May-17,25.90,25.96,25.55,25.95,574
25-May-17,25.30,26.00,25.30,25.97,1126
24-May-17,26.60,26.60,25.20,26.00,7906
23-May-17,26.20,27.30,26.01,26.20,18097
22-May-17,26.20,26.20,25.50,26.00,1859
19-May-17,26.20,26.20,25.60,25.90,4757
18-May-17,25.00,26.20,24.50,26.19,17439
17-May-17,25.02,25.20,24.60,24.80,1994
16-May-17,25.05,25.05,25.05,25.05,50
15-May-17,25.20,25.20,25.20,25.20,10
12-May-17,25.00,25.20,25.00,25.20,1694
11-May-17,25.02,25.02,25.00,25.00,4695
10-May-17,25.02,25.02,25.02,25.02,403
9-May-17,25.05,25.05,25.00,25.00,3188
8-May-17,24.91,25.10,24.91,25.05,1495
5-May-17,25.50,25.50,25.00,25.00,518
4-May-17,24.51,25.65,24.51,25.60,2688
2-May-17,25.00,25.20,24.90,24.90,366
28-Apr-17,24.60,24.80,24.51,24.80,417
27-Apr-17,24.80,24.80,24.69,24.69,290
26-Apr-17,25.30,25.30,24.82,24.82,133
25-Apr-17,25.30,25.30,24.81,25.30,115
24-Apr-17,25.60,25.60,25.20,25.20,10
21-Apr-17,25.77,25.77,25.00,25.60,530
20-Apr-17,25.44,25.44,25.44,25.44,10
19-Apr-17,25.44,25.44,25.44,25.44,6
18-Apr-17,25.00,25.44,25.00,25.44,197
13-Apr-17,25.50,25.50,24.50,24.99,626
12-Apr-17,25.00,25.50,25.00,25.50,111
11-Apr-17,25.60,25.60,25.00,25.00,1849
10-Apr-17,25.50,25.50,25.00,25.00,376
7-Apr-17,25.31,25.50,25.31,25.50,110
6-Apr-17,25.30,25.80,25.25,25.80,612
5-Apr-17,25.00,25.65,25.00,25.37,11565
4-Apr-17,25.50,25.60,24.70,24.70,10314
3-Apr-17,-,-,-,25.43,0
31-Mar-17,25.29,25.43,24.55,25.43,349
30-Mar-17,25.25,25.25,25.00,25.00,233
29-Mar-17,25.00,25.29,24.56,25.29,477
28-Mar-17,25.10,25.10,24.55,25.00,1155
27-Mar-17,25.02,25.10,25.02,25.10,1148
24-Mar-17,25.03,25.11,25.02,25.10,527
23-Mar-17,25.61,25.61,25.05,25.59,501
22-Mar-17,25.11,25.50,25.02,25.50,326
21-Mar-17,25.61,25.61,25.11,25.13,1290
20-Mar-17,25.60,25.90,25.12,25.80,285
17-Mar-17,25.30,26.00,25.30,26.00,784
16-Mar-17,25.15,25.30,25.10,25.30,131
15-Mar-17,25.50,25.50,25.50,25.50,121
14-Mar-17,26.00,26.00,25.40,25.40,555
13-Mar-17,26.00,26.00,25.71,25.71,6763
10-Mar-17,25.99,25.99,25.95,25.95,691
9-Mar-17,25.80,26.70,25.00,25.99,26380
8-Mar-17,25.01,25.65,25.01,25.65,4639
7-Mar-17,24.90,25.98,24.90,25.45,4632
6-Mar-17,24.85,24.89,24.85,24.89,770
3-Mar-17,24.70,24.80,24.41,24.80,270
2-Mar-17,24.63,25.00,24.63,24.90,825
1-Mar-17,24.20,24.95,23.61,24.60,5356
28-Feb-17,24.46,24.46,24.30,24.30,1118
27-Feb-17,24.50,24.52,24.50,24.50,355
24-Feb-17,25.00,25.00,24.30,24.50,1114
23-Feb-17,25.20,25.30,24.79,25.00,4389
