b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,53.09,53.09,50.30,50.30,363
14-Sep-17,49.99,49.99,49.99,49.99,29
13-Sep-17,50.00,50.04,49.10,49.10,65
12-Sep-17,50.00,50.00,49.11,49.11,45
11-Sep-17,50.00,50.00,50.00,50.00,51
8-Sep-17,49.10,49.10,49.10,49.10,19
7-Sep-17,48.01,49.09,48.01,49.09,214
6-Sep-17,48.01,48.01,48.01,48.01,15
5-Sep-17,48.20,48.20,48.00,48.00,192
4-Sep-17,48.38,48.80,48.38,48.80,90
1-Sep-17,47.80,48.38,47.50,48.38,449
31-Aug-17,48.00,48.00,47.80,47.80,47
30-Aug-17,48.10,48.10,47.50,47.80,292
29-Aug-17,50.00,50.00,48.00,48.00,972
28-Aug-17,50.00,50.00,48.60,48.60,100
25-Aug-17,50.00,50.00,50.00,50.00,50
24-Aug-17,49.80,49.90,49.80,49.90,25
23-Aug-17,49.90,50.50,48.20,49.50,629
22-Aug-17,49.50,49.80,49.50,49.80,80
21-Aug-17,-,-,-,49.50,0
18-Aug-17,-,-,-,49.50,0
17-Aug-17,49.50,49.50,49.50,49.50,22
16-Aug-17,48.50,49.50,48.50,49.50,95
14-Aug-17,48.50,48.50,48.50,48.50,2
11-Aug-17,48.50,48.50,48.50,48.50,4
10-Aug-17,48.50,48.50,48.50,48.50,5
9-Aug-17,48.50,48.50,48.50,48.50,13
8-Aug-17,49.00,49.00,49.00,49.00,6
7-Aug-17,48.20,48.50,48.20,48.50,110
4-Aug-17,49.00,49.00,49.00,49.00,10
3-Aug-17,49.00,49.00,49.00,49.00,10
2-Aug-17,-,-,-,49.10,0
1-Aug-17,-,-,-,49.10,0
31-Jul-17,49.10,49.10,49.10,49.10,20
28-Jul-17,48.99,49.10,48.99,49.10,178
27-Jul-17,48.20,49.00,48.15,49.00,301
26-Jul-17,50.80,50.80,48.40,48.40,648
25-Jul-17,51.00,51.00,51.00,51.00,10
24-Jul-17,50.75,50.75,50.75,50.75,39
21-Jul-17,51.00,51.00,51.00,51.00,20
20-Jul-17,-,-,-,50.40,0
19-Jul-17,50.50,50.50,50.40,50.40,63
18-Jul-17,50.50,50.50,50.50,50.50,11
17-Jul-17,50.70,51.00,50.50,50.50,340
14-Jul-17,50.90,51.00,50.90,51.00,85
13-Jul-17,50.50,50.50,50.50,50.50,12
12-Jul-17,50.51,50.84,50.50,50.50,155
11-Jul-17,52.00,52.00,50.50,50.50,211
10-Jul-17,53.17,53.17,53.17,53.17,2
7-Jul-17,53.19,53.19,53.19,53.19,2
6-Jul-17,52.30,52.30,52.30,52.30,27
5-Jul-17,52.89,53.40,52.79,52.79,279
4-Jul-17,-,-,-,52.79,0
3-Jul-17,52.30,52.79,52.30,52.79,25
30-Jun-17,-,-,-,51.78,0
29-Jun-17,-,-,-,51.78,0
28-Jun-17,51.78,51.78,51.78,51.78,46
27-Jun-17,52.98,53.20,50.47,50.47,239
26-Jun-17,52.40,52.40,51.30,51.50,174
