b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
28-Jun-17,1.50,2.00,1.50,1.94,911154
27-Jun-17,1.28,1.40,1.19,1.32,421877
26-Jun-17,1.49,1.57,1.33,1.33,246741
23-Jun-17,1.34,1.49,1.31,1.46,291864
22-Jun-17,1.55,1.58,1.34,1.44,378220
21-Jun-17,1.71,1.74,1.45,1.60,310243
20-Jun-17,2.06,2.06,1.71,1.74,270585
19-Jun-17,2.14,2.15,2.06,2.07,53874
16-Jun-17,2.10,2.16,2.03,2.13,98641
14-Jun-17,2.14,2.21,2.06,2.09,88375
13-Jun-17,2.16,2.22,2.09,2.11,84102
12-Jun-17,2.27,2.31,2.14,2.16,153200
9-Jun-17,2.11,2.55,2.11,2.27,336457
8-Jun-17,2.13,2.30,2.00,2.15,248305
7-Jun-17,2.11,2.23,1.94,2.11,462886
6-Jun-17,2.50,2.55,2.20,2.20,358825
5-Jun-17,2.59,2.68,2.52,2.56,167676
2-Jun-17,3.08,3.23,2.51,2.75,906711
1-Jun-17,2.00,2.70,2.00,2.70,552112
31-May-17,1.87,2.00,1.69,1.84,651362
30-May-17,2.01,2.41,1.82,1.98,998609
29-May-17,2.75,3.32,1.60,2.04,1432063
26-May-17,8.44,8.44,7.00,7.00,125009
25-May-17,8.00,8.45,7.75,8.37,63343
24-May-17,8.06,8.20,7.75,8.00,53080
23-May-17,7.99,8.65,7.78,8.08,138523
22-May-17,7.40,8.14,7.40,8.00,141907
19-May-17,8.08,8.24,7.28,7.57,182438
18-May-17,7.10,7.20,6.39,6.68,51949
17-May-17,7.34,7.42,6.99,7.09,21720
16-May-17,7.38,7.38,7.23,7.24,18054
15-May-17,7.56,7.56,7.39,7.40,13093
12-May-17,7.44,7.51,7.38,7.50,11758
11-May-17,7.23,7.59,7.23,7.51,18117
10-May-17,7.45,7.45,7.23,7.43,16179
9-May-17,7.40,7.49,7.34,7.36,11802
8-May-17,7.50,7.59,7.38,7.45,16908
5-May-17,7.53,7.60,7.31,7.59,43971
4-May-17,7.69,7.69,7.48,7.55,45803
2-May-17,7.53,7.68,7.46,7.46,25686
28-Apr-17,7.68,7.78,7.45,7.45,28219
27-Apr-17,7.65,7.95,7.50,7.68,34084
26-Apr-17,7.70,7.72,7.32,7.65,63337
25-Apr-17,7.93,8.07,7.60,7.68,97793
24-Apr-17,8.30,8.67,7.90,7.95,120326
21-Apr-17,8.20,9.00,8.00,8.17,514895
20-Apr-17,7.28,7.35,7.10,7.22,19833
19-Apr-17,7.28,7.49,7.28,7.29,26018
