b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.80,1.91,1.80,1.89,37951
14-Sep-17,1.71,1.82,1.70,1.81,15220
13-Sep-17,1.68,1.71,1.65,1.71,36253
12-Sep-17,1.68,1.75,1.68,1.70,53792
11-Sep-17,1.72,1.72,1.62,1.68,50819
8-Sep-17,1.80,1.80,1.74,1.74,20097
7-Sep-17,1.86,1.86,1.80,1.81,36565
6-Sep-17,1.86,1.87,1.86,1.87,2920
5-Sep-17,1.88,1.88,1.88,1.88,2899
4-Sep-17,1.90,1.93,1.85,1.89,25303
1-Sep-17,1.97,2.01,1.91,1.95,19326
31-Aug-17,2.07,2.07,1.96,2.01,20512
30-Aug-17,2.05,2.07,1.99,2.06,7310
29-Aug-17,2.04,2.05,1.90,2.05,27001
28-Aug-17,1.95,2.05,1.95,2.04,18506
25-Aug-17,1.93,1.99,1.90,1.95,25232
24-Aug-17,2.12,2.12,1.93,1.94,51023
23-Aug-17,2.09,2.14,2.07,2.07,7724
22-Aug-17,2.15,2.20,2.06,2.13,22076
21-Aug-17,2.15,2.20,2.15,2.15,2031
18-Aug-17,-,-,-,2.20,0
17-Aug-17,2.16,2.24,2.16,2.20,13606
16-Aug-17,2.15,2.16,2.10,2.16,10461
14-Aug-17,-,-,-,2.18,0
11-Aug-17,2.16,2.18,2.14,2.18,4011
10-Aug-17,2.19,2.24,2.14,2.19,19566
9-Aug-17,2.25,2.25,2.11,2.19,10724
8-Aug-17,2.25,2.25,2.20,2.24,5488
7-Aug-17,2.20,2.22,2.20,2.22,2205
4-Aug-17,2.24,2.24,2.17,2.20,9858
3-Aug-17,2.28,2.28,2.20,2.24,11640
2-Aug-17,2.35,2.45,2.31,2.35,7441
1-Aug-17,2.45,2.51,2.26,2.35,62959
31-Jul-17,2.23,2.45,2.23,2.41,74946
28-Jul-17,2.05,2.22,2.05,2.22,29929
27-Jul-17,2.09,2.10,2.07,2.07,4756
26-Jul-17,2.07,2.14,2.06,2.14,7481
25-Jul-17,2.14,2.14,2.07,2.13,4747
24-Jul-17,2.10,2.14,2.06,2.14,7724
21-Jul-17,2.11,2.14,2.10,2.14,6500
20-Jul-17,2.10,2.15,2.10,2.15,2280
19-Jul-17,2.08,2.17,2.08,2.15,13188
18-Jul-17,2.15,2.16,2.09,2.16,5822
17-Jul-17,2.14,2.16,2.05,2.13,25262
14-Jul-17,2.12,2.16,2.09,2.15,9399
13-Jul-17,2.12,2.17,2.10,2.14,8864
12-Jul-17,-,-,-,2.17,0
11-Jul-17,2.18,2.18,2.13,2.17,291
10-Jul-17,-,-,-,2.18,0
7-Jul-17,2.20,2.20,2.10,2.18,2838
6-Jul-17,2.19,2.20,2.16,2.16,10679
5-Jul-17,2.10,2.19,2.10,2.18,3725
4-Jul-17,2.17,2.19,2.12,2.19,2014
3-Jul-17,2.25,2.25,2.09,2.10,17174
30-Jun-17,2.24,2.27,2.17,2.27,10185
29-Jun-17,2.19,2.26,2.17,2.26,6900
28-Jun-17,2.19,2.26,2.18,2.26,12141
27-Jun-17,2.18,2.27,2.18,2.27,9108
26-Jun-17,2.28,2.29,2.27,2.27,3434
23-Jun-17,2.10,2.27,2.10,2.27,18900
22-Jun-17,2.10,2.12,2.08,2.08,3200
21-Jun-17,2.13,2.13,2.08,2.13,39840
20-Jun-17,2.09,2.13,2.09,2.13,1500
19-Jun-17,2.09,2.15,2.08,2.14,11450
16-Jun-17,-,-,-,2.17,0
14-Jun-17,-,-,-,2.17,0
13-Jun-17,-,-,-,2.17,0
12-Jun-17,2.08,2.17,2.08,2.17,2
9-Jun-17,2.09,2.18,2.08,2.16,3694
8-Jun-17,2.16,2.18,2.06,2.18,13543
7-Jun-17,2.12,2.16,2.12,2.13,2303
6-Jun-17,2.19,2.19,2.08,2.17,3664
5-Jun-17,2.21,2.27,2.03,2.20,19019
2-Jun-17,2.20,2.25,2.18,2.25,11706
1-Jun-17,2.20,2.20,2.11,2.20,14385
31-May-17,2.30,2.30,2.20,2.20,39217
30-May-17,2.26,2.30,2.16,2.30,14461
29-May-17,2.30,2.30,2.30,2.30,2040
26-May-17,2.28,2.30,2.21,2.30,4340
25-May-17,2.16,2.25,2.09,2.25,30344
24-May-17,2.17,2.17,2.07,2.17,5794
23-May-17,2.06,2.18,2.00,2.18,23620
22-May-17,2.20,2.20,2.05,2.06,16879
19-May-17,2.09,2.19,2.01,2.19,76053
18-May-17,2.26,2.28,2.08,2.17,12845
17-May-17,2.18,2.30,2.18,2.20,70063
16-May-17,2.13,2.17,2.03,2.17,64363
15-May-17,2.13,2.14,2.01,2.08,12232
12-May-17,2.11,2.20,2.06,2.13,77271
11-May-17,2.08,2.47,2.07,2.10,338918
