b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.30,5.33,5.22,5.22,5872329
14-Sep-17,5.30,5.37,5.21,5.31,3997072
13-Sep-17,5.39,5.44,5.32,5.34,2306670
12-Sep-17,5.38,5.40,5.30,5.39,3013921
11-Sep-17,5.48,5.51,5.36,5.38,2668320
8-Sep-17,5.59,5.62,5.48,5.48,1420576
7-Sep-17,5.57,5.63,5.57,5.57,2436206
6-Sep-17,5.58,5.62,5.56,5.57,1893964
5-Sep-17,5.62,5.67,5.42,5.56,7641815
4-Sep-17,6.05,6.11,5.53,5.62,6872568
1-Sep-17,5.99,6.10,5.97,6.10,2412487
31-Aug-17,5.96,5.99,5.92,5.99,2838340
30-Aug-17,5.99,6.02,5.91,5.92,2274901
29-Aug-17,5.90,5.99,5.90,5.97,1704382
28-Aug-17,5.81,5.97,5.80,5.97,1450316
25-Aug-17,5.87,5.92,5.81,5.81,1826699
24-Aug-17,5.76,5.87,5.71,5.86,1710060
23-Aug-17,5.75,5.77,5.70,5.74,729322
22-Aug-17,5.67,5.75,5.65,5.75,2620037
21-Aug-17,5.67,5.67,5.60,5.64,794308
18-Aug-17,5.63,5.68,5.60,5.65,1631511
17-Aug-17,5.60,5.70,5.59,5.68,2384397
16-Aug-17,5.70,5.76,5.61,5.62,2924030
14-Aug-17,5.76,5.80,5.65,5.70,2377030
11-Aug-17,5.80,5.82,5.76,5.80,2180518
10-Aug-17,5.84,5.86,5.78,5.85,3114623
9-Aug-17,5.81,5.83,5.71,5.83,1867552
8-Aug-17,5.74,5.84,5.69,5.80,2452788
7-Aug-17,5.71,5.74,5.68,5.72,877229
4-Aug-17,5.73,5.76,5.71,5.75,1686791
3-Aug-17,5.69,5.74,5.61,5.71,3688057
2-Aug-17,5.60,5.69,5.57,5.69,3899353
1-Aug-17,5.50,5.60,5.49,5.59,3483433
31-Jul-17,5.54,5.58,5.38,5.45,4635559
28-Jul-17,5.25,5.57,5.25,5.56,9514311
27-Jul-17,5.21,5.40,5.21,5.29,8236971
26-Jul-17,5.13,5.15,5.03,5.11,4231244
25-Jul-17,5.21,5.21,5.10,5.14,5570546
24-Jul-17,5.20,5.20,5.14,5.18,953340
21-Jul-17,5.22,5.25,5.18,5.20,2517883
20-Jul-17,5.21,5.26,5.19,5.22,2405817
19-Jul-17,5.24,5.27,5.19,5.19,3697368
18-Jul-17,5.24,5.26,5.21,5.23,1807125
17-Jul-17,5.29,5.30,5.23,5.25,1039499
14-Jul-17,5.28,5.33,5.22,5.25,6033980
13-Jul-17,5.15,5.29,5.15,5.27,9536628
12-Jul-17,5.08,5.14,5.04,5.14,8012038
11-Jul-17,5.07,5.11,5.03,5.05,3925404
10-Jul-17,5.03,5.05,5.00,5.05,1405948
7-Jul-17,5.08,5.09,4.99,5.00,2611035
6-Jul-17,5.06,5.12,5.01,5.07,1349768
5-Jul-17,5.16,5.18,5.02,5.05,6517984
4-Jul-17,5.17,5.18,5.15,5.16,1037464
3-Jul-17,5.10,5.17,5.10,5.17,1117100
30-Jun-17,5.10,5.16,5.07,5.13,2539089
29-Jun-17,5.17,5.21,5.08,5.15,1807052
28-Jun-17,5.15,5.20,5.13,5.17,2924573
27-Jun-17,5.09,5.16,5.08,5.15,2933324
26-Jun-17,5.19,5.19,5.10,5.10,2238003
23-Jun-17,5.05,5.17,5.02,5.17,6559308
22-Jun-17,4.96,5.04,4.94,5.02,4540484
21-Jun-17,4.93,4.97,4.91,4.96,3598940
20-Jun-17,4.92,4.95,4.88,4.93,2017033
19-Jun-17,4.94,5.03,4.88,4.90,4783414
16-Jun-17,4.86,4.94,4.85,4.93,3782151
14-Jun-17,4.90,4.90,4.80,4.85,2670470
13-Jun-17,4.84,4.89,4.80,4.89,1603398
12-Jun-17,4.83,4.85,4.76,4.83,1757154
9-Jun-17,4.84,4.85,4.78,4.83,1486197
8-Jun-17,4.75,4.83,4.74,4.83,3072779
7-Jun-17,4.71,4.80,4.71,4.75,2820060
6-Jun-17,4.68,4.74,4.65,4.69,1710351
5-Jun-17,4.84,4.84,4.68,4.69,2103479
2-Jun-17,4.76,4.86,4.75,4.83,2840013
1-Jun-17,4.59,4.77,4.56,4.74,7702341
31-May-17,4.55,4.61,4.52,4.56,4816616
30-May-17,4.55,4.56,4.50,4.55,2238898
29-May-17,4.56,4.58,4.53,4.54,1176526
26-May-17,4.58,4.59,4.54,4.56,1566254
25-May-17,4.59,4.60,4.56,4.58,2029783
24-May-17,4.55,4.62,4.53,4.57,2969935
23-May-17,4.60,4.63,4.56,4.56,1011306
22-May-17,4.65,4.65,4.56,4.59,1904724
19-May-17,4.60,4.65,4.58,4.65,1355505
18-May-17,4.54,4.59,4.51,4.57,1991515
17-May-17,4.57,4.59,4.54,4.56,1335008
16-May-17,4.50,4.64,4.50,4.59,2120516
15-May-17,4.56,4.56,4.49,4.50,1318596
12-May-17,4.57,4.60,4.52,4.55,1447645
11-May-17,4.65,4.70,4.50,4.58,2982315
10-May-17,4.70,4.70,4.64,4.66,2257827
9-May-17,4.62,4.70,4.62,4.70,3809054
8-May-17,4.50,4.62,4.48,4.62,3299836
5-May-17,4.50,4.53,4.46,4.50,3654065
4-May-17,4.57,4.60,4.45,4.52,6461946
2-May-17,4.63,4.67,4.55,4.58,1826822
28-Apr-17,4.65,4.71,4.60,4.63,4526577
