b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,82.39,82.60,82.20,82.20,32760
14-Sep-17,81.70,82.40,81.70,82.10,5900
13-Sep-17,81.70,84.41,81.59,82.00,17966
12-Sep-17,82.79,82.79,81.70,81.70,822
11-Sep-17,82.87,82.87,81.30,82.79,451
8-Sep-17,81.40,82.90,81.11,82.90,186
7-Sep-17,80.90,84.69,80.57,82.00,4935
6-Sep-17,81.10,81.95,81.00,81.05,850
5-Sep-17,82.87,82.87,82.00,82.00,613
4-Sep-17,82.99,83.01,82.98,83.00,444
1-Sep-17,83.90,84.00,83.90,83.90,192
31-Aug-17,84.79,84.79,83.90,83.91,403
30-Aug-17,85.15,85.15,84.10,84.90,57
29-Aug-17,85.50,85.61,83.67,85.20,780
28-Aug-17,85.00,86.25,85.00,86.09,815
25-Aug-17,85.35,85.35,84.95,84.95,58
24-Aug-17,83.99,85.47,83.99,85.45,10037
23-Aug-17,84.28,84.50,83.60,84.00,232
22-Aug-17,83.05,85.49,83.05,83.30,24850
21-Aug-17,84.14,85.83,83.05,83.11,2513
18-Aug-17,84.10,85.87,84.10,84.62,114
17-Aug-17,85.06,86.99,85.06,85.11,3376
16-Aug-17,86.42,86.42,85.00,86.00,215
14-Aug-17,85.71,87.87,85.71,86.51,2462
11-Aug-17,85.04,86.47,85.04,85.80,1373
10-Aug-17,84.16,86.80,84.16,86.80,1699
9-Aug-17,84.00,85.02,83.82,85.00,8815
8-Aug-17,85.60,86.58,85.45,85.45,5048
7-Aug-17,85.94,86.07,85.45,85.45,2530
4-Aug-17,84.02,86.00,83.10,86.00,3809
3-Aug-17,85.90,85.90,82.00,83.88,2464
2-Aug-17,84.60,85.60,84.60,85.00,49045
1-Aug-17,84.52,85.50,84.52,85.01,512
31-Jul-17,87.00,87.05,85.51,85.51,3784
28-Jul-17,87.50,87.95,87.00,87.50,3749
27-Jul-17,88.00,88.00,87.00,87.85,300
26-Jul-17,88.35,88.35,87.00,88.00,4438
25-Jul-17,88.00,88.35,87.11,87.50,29340
24-Jul-17,87.41,87.41,84.56,86.25,43956
21-Jul-17,86.15,87.40,86.00,87.40,69165
20-Jul-17,85.02,86.15,85.02,86.00,51994
19-Jul-17,85.95,85.95,85.01,85.88,7835
18-Jul-17,85.01,86.00,85.00,86.00,3422
17-Jul-17,84.40,86.39,84.40,86.00,351062
14-Jul-17,85.40,86.00,85.21,86.00,2261
13-Jul-17,84.70,85.20,84.16,85.17,174478
12-Jul-17,84.00,85.00,83.50,84.09,1146
11-Jul-17,82.99,84.50,82.80,83.50,21266
10-Jul-17,81.00,83.99,81.00,83.00,4017
7-Jul-17,80.50,82.09,80.50,81.40,929
6-Jul-17,82.50,83.00,82.00,82.00,1199
5-Jul-17,82.20,82.89,82.06,82.06,1020
4-Jul-17,83.32,83.32,82.01,82.01,500
3-Jul-17,84.10,84.10,83.29,83.29,19
30-Jun-17,86.00,86.00,85.00,85.00,7416
29-Jun-17,85.38,86.00,83.61,86.00,2211
28-Jun-17,85.90,85.90,83.98,83.98,501
27-Jun-17,83.16,86.00,82.99,86.00,1494
26-Jun-17,-,-,-,84.48,0
23-Jun-17,83.83,84.84,82.80,84.48,449
22-Jun-17,82.00,84.00,81.95,83.00,2201
21-Jun-17,81.95,81.99,81.02,81.20,96
20-Jun-17,81.00,82.14,80.65,81.84,1857
19-Jun-17,80.21,81.03,79.50,80.70,33815
16-Jun-17,82.59,82.59,79.00,82.50,4290
14-Jun-17,86.49,86.49,84.05,84.05,274
13-Jun-17,86.31,87.00,85.79,85.79,4365
12-Jun-17,87.48,87.48,86.22,86.22,35
9-Jun-17,87.44,87.44,87.44,87.44,51
8-Jun-17,85.69,87.00,84.73,87.00,5742
7-Jun-17,84.60,86.80,84.60,86.80,273
6-Jun-17,83.69,87.40,83.69,85.50,944
5-Jun-17,86.05,86.05,82.83,82.99,1974
2-Jun-17,89.00,89.00,86.05,86.05,1085
1-Jun-17,89.05,89.05,87.50,87.50,1005
31-May-17,84.60,89.00,84.60,89.00,3016
30-May-17,85.15,85.50,83.80,85.50,1232
29-May-17,84.50,85.00,83.27,85.00,18295
26-May-17,85.99,86.00,84.50,84.50,1457
25-May-17,86.90,86.90,84.28,85.80,594
24-May-17,85.99,85.99,85.99,85.99,17
23-May-17,86.02,86.68,85.00,86.00,1402
22-May-17,86.80,86.80,85.99,86.02,1700
19-May-17,83.80,86.79,83.80,86.79,3563
18-May-17,84.90,85.22,83.00,85.00,2841
17-May-17,86.01,87.98,83.00,86.47,4403
16-May-17,87.26,88.39,87.23,88.00,3472
15-May-17,86.09,87.98,86.04,87.01,2939
12-May-17,85.20,86.80,85.19,86.50,2112
11-May-17,87.48,88.00,85.70,85.70,1380
10-May-17,87.49,88.49,87.39,88.00,1599
9-May-17,88.94,88.95,85.96,87.50,5421
8-May-17,89.90,89.90,87.94,88.99,2521
5-May-17,88.00,89.60,86.70,89.60,51770
4-May-17,88.95,89.00,87.26,88.80,3151
2-May-17,88.00,89.00,85.97,88.00,15701
28-Apr-17,87.70,87.90,86.10,87.00,14142
27-Apr-17,85.80,87.75,85.12,87.75,5027
26-Apr-17,83.95,86.46,83.95,86.40,2331
25-Apr-17,82.00,84.85,82.00,83.97,13912
24-Apr-17,81.58,83.15,81.58,83.15,561
21-Apr-17,82.46,82.95,81.92,82.87,1258
20-Apr-17,82.95,82.95,82.10,82.93,1178
19-Apr-17,81.38,82.95,81.38,82.53,1778
18-Apr-17,81.72,82.94,81.72,81.76,272
13-Apr-17,82.79,82.95,81.61,81.61,666
12-Apr-17,80.20,82.37,80.20,81.50,3651
11-Apr-17,81.50,81.50,80.20,80.20,2362
10-Apr-17,81.00,82.24,81.00,82.00,7275
7-Apr-17,80.52,82.24,80.52,81.00,1890
6-Apr-17,81.01,82.94,80.52,80.52,1860
5-Apr-17,81.00,83.49,80.68,81.65,9815
4-Apr-17,82.99,83.00,80.50,80.50,855
3-Apr-17,82.87,82.88,82.00,82.00,417
31-Mar-17,82.07,82.77,81.83,82.00,7554
30-Mar-17,81.90,83.00,80.21,81.82,7191
29-Mar-17,83.47,83.48,81.98,81.98,785
28-Mar-17,82.50,83.48,82.50,83.48,76
27-Mar-17,81.72,83.49,81.72,82.10,1337
24-Mar-17,81.50,83.49,81.50,83.49,1031
23-Mar-17,81.70,82.90,81.00,81.50,1390
22-Mar-17,78.03,82.10,78.01,79.45,47929
21-Mar-17,79.79,79.99,77.07,77.07,973
20-Mar-17,80.51,80.62,79.00,79.45,945
