b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.28,0.28,0.26,0.27,10156199
14-Sep-17,0.29,0.29,0.28,0.29,1433553
13-Sep-17,0.29,0.29,0.28,0.28,2034838
12-Sep-17,0.29,0.29,0.28,0.29,1939338
11-Sep-17,0.30,0.30,0.28,0.29,4755317
8-Sep-17,0.31,0.31,0.28,0.30,12795980
7-Sep-17,0.31,0.33,0.30,0.31,17854614
6-Sep-17,0.30,0.31,0.29,0.31,2446269
5-Sep-17,0.29,0.31,0.29,0.30,6146105
4-Sep-17,0.31,0.31,0.29,0.30,7966145
1-Sep-17,0.29,0.31,0.27,0.31,16701586
31-Aug-17,0.30,0.31,0.28,0.29,11294061
30-Aug-17,0.30,0.32,0.30,0.31,10086140
29-Aug-17,0.33,0.34,0.30,0.31,20127802
28-Aug-17,0.34,0.35,0.33,0.33,18614825
25-Aug-17,0.33,0.35,0.32,0.33,17132067
24-Aug-17,0.32,0.35,0.31,0.32,52212409
23-Aug-17,0.26,0.33,0.25,0.31,55143978
22-Aug-17,0.27,0.29,0.25,0.26,41578884
21-Aug-17,0.21,0.27,0.19,0.27,47531933
18-Aug-17,0.23,0.25,0.20,0.21,30511706
17-Aug-17,0.25,0.26,0.22,0.23,26540197
16-Aug-17,0.29,0.30,0.24,0.25,35160128
14-Aug-17,0.28,0.30,0.26,0.28,48599792
11-Aug-17,0.35,0.35,0.26,0.26,44514284
10-Aug-17,0.40,0.42,0.36,0.36,27961673
9-Aug-17,0.44,0.47,0.37,0.40,43410685
8-Aug-17,0.44,0.73,0.38,0.42,75987160
7-Aug-17,2.86,2.92,2.84,2.86,52089
4-Aug-17,2.89,2.98,2.86,2.87,43419
3-Aug-17,2.99,2.99,2.84,2.95,59405
2-Aug-17,2.99,3.00,2.94,2.97,41390
1-Aug-17,3.08,3.10,3.01,3.04,11532
31-Jul-17,3.08,3.12,3.03,3.06,13268
28-Jul-17,2.95,3.09,2.95,3.07,21029
