b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,90.10,90.10,89.75,90.06,403
14-Sep-17,90.31,90.54,90.10,90.10,10551
13-Sep-17,90.30,90.60,90.30,90.30,18457
12-Sep-17,91.46,91.46,90.10,90.10,680
11-Sep-17,91.01,91.23,90.90,90.91,662
8-Sep-17,91.97,91.97,91.00,91.43,732
7-Sep-17,91.94,91.98,91.00,91.00,2378
6-Sep-17,90.70,91.97,90.70,91.94,8088
5-Sep-17,90.60,91.66,90.50,91.60,3423
4-Sep-17,91.60,91.60,90.45,91.50,1826
1-Sep-17,90.50,91.55,90.50,91.50,2022
31-Aug-17,89.75,91.49,89.74,91.49,1639
30-Aug-17,87.55,89.32,87.55,89.32,1484
29-Aug-17,87.70,87.75,87.50,87.51,429
28-Aug-17,88.69,88.69,87.62,87.77,987
25-Aug-17,89.90,89.90,87.90,88.69,22171
24-Aug-17,89.80,90.00,88.50,89.53,629
23-Aug-17,90.10,90.10,89.20,90.00,819
22-Aug-17,91.00,91.11,87.80,89.20,3986
21-Aug-17,91.50,92.00,90.71,91.60,4556
18-Aug-17,90.50,90.50,89.75,89.85,227
17-Aug-17,89.96,91.16,89.80,90.47,825
16-Aug-17,89.25,89.99,89.00,89.98,1300
14-Aug-17,89.50,90.35,89.22,89.25,1125
11-Aug-17,90.74,90.74,89.50,90.37,454
10-Aug-17,90.70,90.70,89.30,90.50,179
9-Aug-17,90.89,90.89,89.20,89.25,1658
8-Aug-17,90.51,91.19,90.00,90.15,1635
7-Aug-17,92.37,92.37,90.99,91.49,2228
4-Aug-17,93.57,93.57,91.99,92.00,2381
3-Aug-17,94.30,94.30,93.30,93.57,5626
2-Aug-17,94.28,94.30,93.90,94.30,366
1-Aug-17,94.50,94.50,93.49,94.28,320
31-Jul-17,93.70,94.50,92.50,94.50,1746
28-Jul-17,93.74,93.74,91.61,93.00,11012
27-Jul-17,92.00,93.00,92.00,93.00,31190
26-Jul-17,92.15,92.15,92.00,92.00,196
25-Jul-17,92.03,92.80,92.00,92.80,440
24-Jul-17,93.01,93.01,92.00,92.02,1079
21-Jul-17,93.01,94.02,93.01,93.50,1198
20-Jul-17,92.99,93.40,92.88,93.00,20583
