b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.73,1.75,1.72,1.73,63935
14-Sep-17,1.72,1.73,1.70,1.72,96406
13-Sep-17,1.70,1.76,1.70,1.72,81215
12-Sep-17,1.72,1.83,1.69,1.70,619345
11-Sep-17,1.70,1.73,1.67,1.70,174525
8-Sep-17,1.63,1.73,1.60,1.66,361376
7-Sep-17,1.64,1.65,1.61,1.63,54757
6-Sep-17,1.62,1.67,1.56,1.60,311898
5-Sep-17,1.50,1.60,1.50,1.59,189649
4-Sep-17,1.53,1.54,1.52,1.53,30454
1-Sep-17,1.50,1.53,1.48,1.53,19766
31-Aug-17,1.52,1.54,1.47,1.53,67889
30-Aug-17,1.50,1.55,1.50,1.54,17566
29-Aug-17,1.51,1.55,1.44,1.53,304764
28-Aug-17,1.53,1.54,1.50,1.51,29471
25-Aug-17,1.52,1.55,1.50,1.53,144854
24-Aug-17,1.44,1.54,1.44,1.52,170273
23-Aug-17,1.51,1.52,1.40,1.44,148337
22-Aug-17,1.49,1.57,1.45,1.50,440459
21-Aug-17,1.39,1.46,1.39,1.45,192776
18-Aug-17,1.36,1.39,1.36,1.37,84623
17-Aug-17,1.35,1.36,1.33,1.36,48439
16-Aug-17,1.31,1.35,1.27,1.35,123904
14-Aug-17,1.28,1.30,1.26,1.30,92166
11-Aug-17,1.25,1.28,1.24,1.25,92381
10-Aug-17,1.27,1.28,1.24,1.25,122583
9-Aug-17,1.35,1.35,1.26,1.30,287442
8-Aug-17,1.19,1.46,1.19,1.32,1846985
7-Aug-17,1.17,1.20,1.15,1.18,110766
4-Aug-17,1.19,1.23,1.17,1.19,114727
3-Aug-17,1.20,1.21,1.18,1.19,76477
2-Aug-17,1.11,1.22,1.11,1.20,326392
1-Aug-17,1.10,1.13,1.09,1.12,430784
31-Jul-17,1.19,1.20,1.12,1.13,790385
28-Jul-17,1.28,1.32,1.28,1.31,63004
27-Jul-17,1.31,1.31,1.26,1.29,78383
26-Jul-17,1.35,1.35,1.22,1.33,858646
25-Jul-17,1.37,1.37,1.36,1.37,78956
24-Jul-17,1.45,1.45,1.32,1.38,283007
21-Jul-17,1.48,1.48,1.45,1.46,62879
20-Jul-17,1.47,1.47,1.46,1.47,66850
19-Jul-17,1.48,1.48,1.47,1.47,23881
18-Jul-17,1.48,1.49,1.46,1.48,21912
17-Jul-17,1.47,1.49,1.46,1.49,23900
14-Jul-17,1.48,1.48,1.46,1.47,44037
13-Jul-17,1.46,1.51,1.46,1.47,21161
12-Jul-17,1.49,1.49,1.47,1.47,58832
11-Jul-17,1.49,1.50,1.48,1.49,19658
10-Jul-17,1.49,1.52,1.49,1.51,8996
7-Jul-17,1.51,1.53,1.50,1.50,47739
6-Jul-17,1.51,1.53,1.48,1.51,92718
5-Jul-17,1.50,1.52,1.47,1.50,48644
4-Jul-17,1.47,1.49,1.47,1.49,7536
3-Jul-17,1.50,1.50,1.47,1.49,67451
30-Jun-17,1.49,1.52,1.47,1.47,19960
29-Jun-17,1.46,1.49,1.46,1.49,63106
28-Jun-17,1.50,1.50,1.44,1.46,82478
27-Jun-17,1.46,1.50,1.45,1.50,19753
26-Jun-17,1.47,1.47,1.43,1.45,44660
23-Jun-17,1.50,1.50,1.45,1.47,123966
22-Jun-17,1.52,1.52,1.50,1.51,22415
21-Jun-17,1.51,1.51,1.48,1.51,13995
20-Jun-17,1.51,1.53,1.48,1.49,72165
19-Jun-17,1.50,1.55,1.50,1.52,48164
16-Jun-17,1.47,1.52,1.46,1.51,104983
14-Jun-17,1.49,1.49,1.45,1.46,41282
13-Jun-17,1.46,1.50,1.46,1.48,34152
12-Jun-17,1.46,1.49,1.45,1.46,117830
9-Jun-17,1.48,1.48,1.45,1.47,13108
8-Jun-17,1.49,1.49,1.45,1.46,18013
7-Jun-17,1.47,1.47,1.44,1.45,20112
6-Jun-17,1.47,1.48,1.44,1.47,67596
5-Jun-17,1.51,1.51,1.44,1.47,193993
2-Jun-17,1.52,1.52,1.48,1.51,96602
1-Jun-17,1.60,1.60,1.53,1.54,91572
31-May-17,1.59,1.59,1.54,1.57,91786
30-May-17,1.59,1.62,1.58,1.60,105791
29-May-17,1.61,1.62,1.56,1.59,136080
26-May-17,1.63,1.63,1.57,1.60,294420
25-May-17,1.60,1.70,1.60,1.62,837423
24-May-17,1.43,1.57,1.43,1.56,352366
23-May-17,1.53,1.53,1.42,1.48,293172
22-May-17,1.60,1.60,1.48,1.53,416580
19-May-17,1.46,1.67,1.41,1.54,823498
18-May-17,1.33,1.37,1.32,1.35,54099
17-May-17,1.37,1.37,1.31,1.33,182478
16-May-17,1.39,1.43,1.37,1.39,110991
15-May-17,1.37,1.38,1.35,1.38,108585
12-May-17,1.39,1.40,1.36,1.36,288072
11-May-17,1.42,1.44,1.37,1.38,424031
10-May-17,1.42,1.46,1.40,1.43,39919
9-May-17,1.42,1.46,1.40,1.42,121018
8-May-17,1.41,1.43,1.40,1.42,222358
5-May-17,1.46,1.46,1.41,1.43,267065
4-May-17,1.45,1.51,1.45,1.46,423973
