b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,130.30,132.55,130.10,131.45,1457761
14-Sep-17,128.25,130.20,128.20,130.00,562996
13-Sep-17,128.10,129.75,128.05,128.50,380379
12-Sep-17,129.05,130.50,127.90,128.50,594218
11-Sep-17,126.80,129.20,126.80,129.00,437094
8-Sep-17,125.60,127.60,125.60,126.55,233541
7-Sep-17,128.25,129.40,125.80,126.20,554514
6-Sep-17,128.05,129.80,127.60,127.75,422041
5-Sep-17,127.50,129.40,127.50,128.40,357896
4-Sep-17,127.00,128.40,126.65,127.60,291462
1-Sep-17,127.35,128.15,126.95,127.60,255336
31-Aug-17,128.40,128.50,126.70,127.95,426139
30-Aug-17,127.80,128.95,126.95,128.45,680758
29-Aug-17,127.80,127.80,125.20,126.60,395272
28-Aug-17,125.80,128.00,123.80,127.55,438038
25-Aug-17,125.70,126.55,124.50,124.95,537119
24-Aug-17,122.90,125.15,122.00,125.00,1187183
23-Aug-17,123.35,124.05,121.65,122.50,1060823
22-Aug-17,123.60,123.75,122.90,123.25,391590
21-Aug-17,122.75,123.40,121.60,123.00,856216
18-Aug-17,124.85,124.85,121.40,122.30,865713
17-Aug-17,127.90,127.90,124.85,124.85,328833
16-Aug-17,128.10,128.50,127.60,127.90,513943
14-Aug-17,127.90,128.75,127.90,127.90,231619
11-Aug-17,127.60,128.30,127.60,128.00,750962
10-Aug-17,128.00,129.30,127.75,128.40,558334
9-Aug-17,129.70,129.70,126.55,128.00,703170
8-Aug-17,128.45,130.00,127.35,130.00,368638
7-Aug-17,127.95,128.85,127.35,128.40,273441
4-Aug-17,126.00,128.10,125.70,127.60,570518
3-Aug-17,127.50,127.60,125.15,126.10,474671
2-Aug-17,127.35,130.25,127.35,127.80,1320906
1-Aug-17,128.60,128.60,126.80,127.35,648376
31-Jul-17,127.85,129.35,127.40,127.80,888282
28-Jul-17,127.45,128.25,126.15,127.00,263733
27-Jul-17,128.50,128.80,126.50,127.65,381148
26-Jul-17,127.40,129.80,127.35,128.50,375744
25-Jul-17,127.00,128.80,126.70,127.30,504471
24-Jul-17,128.00,128.00,125.85,126.95,367532
21-Jul-17,129.15,129.65,127.80,128.00,548017
20-Jul-17,129.80,130.35,127.95,128.90,485821
19-Jul-17,130.25,130.50,128.35,129.35,642349
18-Jul-17,130.70,131.15,129.15,129.75,587661
17-Jul-17,130.45,131.45,129.90,131.25,473012
14-Jul-17,130.65,130.65,128.80,130.35,389113
13-Jul-17,128.95,130.80,128.10,130.80,562861
12-Jul-17,125.45,128.80,125.45,128.30,809773
11-Jul-17,126.25,126.90,124.90,125.45,989838
10-Jul-17,125.50,126.50,125.05,126.20,807179
7-Jul-17,124.70,125.90,124.15,125.00,251433
6-Jul-17,125.60,125.95,123.50,124.45,345886
5-Jul-17,124.40,126.35,124.40,125.35,550097
4-Jul-17,125.55,126.50,123.80,123.90,353645
3-Jul-17,125.10,126.35,124.80,126.25,238459
30-Jun-17,124.80,125.25,124.05,124.80,450151
29-Jun-17,126.70,127.20,124.05,124.90,592870
28-Jun-17,126.95,127.50,126.10,126.20,617160
27-Jun-17,127.00,127.95,126.15,127.25,575790
26-Jun-17,123.95,127.30,123.50,126.90,1393941
23-Jun-17,120.45,122.50,120.45,122.00,764274
22-Jun-17,120.00,122.75,119.60,120.50,748700
21-Jun-17,120.75,121.30,119.05,119.20,1470254
20-Jun-17,123.60,123.80,120.00,120.75,1256472
19-Jun-17,130.50,131.25,129.70,130.30,851920
16-Jun-17,130.80,131.45,129.45,129.45,1674672
14-Jun-17,130.65,131.50,127.55,130.80,1376047
13-Jun-17,131.05,131.45,128.75,130.05,853236
12-Jun-17,132.00,132.00,129.15,130.70,576463
9-Jun-17,134.00,134.80,131.15,132.00,700876
8-Jun-17,133.50,134.45,133.05,133.60,1031553
7-Jun-17,132.70,134.20,132.60,132.95,2091051
6-Jun-17,132.60,133.00,131.10,132.50,1215269
5-Jun-17,135.50,135.50,132.60,132.60,1469047
2-Jun-17,137.20,138.00,135.00,135.10,669254
1-Jun-17,137.60,138.10,136.00,136.00,584607
31-May-17,137.50,140.75,136.55,138.00,1167321
30-May-17,138.50,138.90,137.10,137.35,274522
29-May-17,140.00,140.05,138.65,138.65,136957
26-May-17,141.30,141.45,139.05,139.60,1008217
25-May-17,141.90,142.15,140.10,141.30,468311
24-May-17,139.50,140.65,138.80,140.00,522022
23-May-17,140.00,141.20,138.80,139.50,394721
22-May-17,139.90,140.90,138.80,140.20,561475
19-May-17,140.00,141.35,138.70,139.50,654150
18-May-17,142.60,143.95,138.60,140.50,763588
17-May-17,143.00,145.05,142.80,143.00,737322
16-May-17,144.80,145.50,142.55,143.50,719587
15-May-17,144.85,145.40,143.35,144.80,224303
12-May-17,143.15,144.70,142.85,144.35,335607
11-May-17,143.75,144.65,143.00,143.50,1161383
10-May-17,145.00,146.30,142.50,143.60,906297
9-May-17,140.00,145.90,140.00,144.95,1346551
8-May-17,141.00,141.00,138.80,139.90,627412
5-May-17,139.50,140.35,138.20,139.60,830927
4-May-17,141.90,142.15,138.60,140.25,1802576
2-May-17,141.60,142.40,140.40,141.90,377603
28-Apr-17,141.80,142.10,139.25,140.55,711765
27-Apr-17,140.00,142.40,139.30,141.75,685617
26-Apr-17,138.50,140.70,137.45,140.35,730041
