b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,14.46,14.73,14.40,14.40,4925
14-Sep-17,14.20,14.52,14.20,14.44,3733
13-Sep-17,14.35,14.53,14.04,14.20,8275
12-Sep-17,13.80,13.92,13.60,13.87,11990
11-Sep-17,13.79,14.00,13.79,14.00,3417
8-Sep-17,13.55,13.79,13.50,13.79,5506
7-Sep-17,14.00,14.37,13.21,13.55,21224
6-Sep-17,15.60,15.60,14.40,14.44,5722
5-Sep-17,15.64,16.00,15.25,15.40,4775
4-Sep-17,16.17,16.17,15.19,15.63,12622
1-Sep-17,16.29,16.30,15.90,16.21,13776
31-Aug-17,15.90,16.30,15.48,16.30,6351
30-Aug-17,15.64,15.94,15.33,15.90,14317
29-Aug-17,16.00,16.00,15.36,15.54,2333
28-Aug-17,15.87,15.87,15.30,15.70,38392
25-Aug-17,15.85,15.99,15.70,15.87,6639
24-Aug-17,15.94,15.99,15.71,15.85,4099
23-Aug-17,16.30,16.40,15.99,15.99,57496
22-Aug-17,16.18,16.40,16.04,16.30,14121
21-Aug-17,14.77,16.21,14.77,16.00,39304
18-Aug-17,14.65,14.77,14.31,14.77,8999
17-Aug-17,14.49,14.54,14.25,14.54,3853
16-Aug-17,14.45,14.49,14.17,14.49,148484
14-Aug-17,14.20,14.66,14.20,14.45,654
11-Aug-17,14.55,14.59,14.20,14.49,3795
10-Aug-17,14.39,14.75,14.32,14.32,2039
9-Aug-17,14.77,14.78,14.35,14.35,2301
8-Aug-17,13.71,14.80,13.71,14.79,10547
7-Aug-17,14.15,14.15,13.90,14.00,3346
4-Aug-17,13.80,14.18,13.80,14.18,2396
3-Aug-17,14.30,14.30,13.62,13.70,25652
2-Aug-17,13.84,14.30,13.84,14.30,11263
1-Aug-17,12.99,14.50,12.99,13.70,40265
31-Jul-17,12.58,13.20,12.35,12.98,15797
28-Jul-17,12.40,12.50,11.66,12.50,19842
27-Jul-17,12.36,12.36,12.20,12.23,671
26-Jul-17,12.37,12.50,12.21,12.26,407
25-Jul-17,12.55,12.55,12.20,12.30,7826
24-Jul-17,12.29,12.59,12.29,12.50,6036
21-Jul-17,13.30,13.40,12.13,12.29,27426
20-Jul-17,13.55,13.55,13.30,13.40,2992
19-Jul-17,13.30,13.69,13.30,13.51,2252
18-Jul-17,13.59,13.59,13.30,13.53,2545
17-Jul-17,13.60,13.95,13.41,13.59,6143
14-Jul-17,12.20,14.74,12.20,13.60,61201
13-Jul-17,12.15,12.35,11.85,12.02,6017
12-Jul-17,12.34,12.49,12.03,12.35,8369
11-Jul-17,12.50,12.50,11.83,12.03,2665
10-Jul-17,12.44,12.53,12.21,12.37,15429
7-Jul-17,12.42,12.42,12.26,12.42,1084
6-Jul-17,12.20,12.48,12.18,12.26,8288
5-Jul-17,12.48,12.48,12.02,12.48,7493
4-Jul-17,11.90,12.48,11.90,12.48,3616
3-Jul-17,12.14,12.48,11.89,12.25,6173
30-Jun-17,12.14,12.14,12.07,12.14,158
29-Jun-17,12.14,12.14,11.81,12.13,233
28-Jun-17,12.14,12.14,11.90,11.93,1969
27-Jun-17,12.58,12.58,11.77,11.98,2246
26-Jun-17,12.50,12.50,12.29,12.47,1618
23-Jun-17,12.59,12.59,12.32,12.32,573
22-Jun-17,12.69,12.69,12.50,12.50,9688
21-Jun-17,12.32,12.62,12.11,12.50,12049
20-Jun-17,12.29,12.32,12.13,12.22,232
19-Jun-17,11.90,12.14,11.90,12.14,3739
16-Jun-17,12.54,12.59,11.81,11.90,8249
14-Jun-17,12.65,12.65,12.32,12.55,2279
13-Jun-17,12.65,12.75,12.50,12.62,670
