b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,41.00,41.00,39.13,39.45,24124
14-Sep-17,42.07,42.07,39.30,41.00,123359
13-Sep-17,42.26,42.26,41.25,41.99,99383
12-Sep-17,42.99,42.99,42.01,42.52,1087
11-Sep-17,42.97,43.39,42.11,42.75,17922
8-Sep-17,41.99,42.88,41.71,42.50,17636
7-Sep-17,41.67,42.47,40.81,42.00,26628
6-Sep-17,42.17,42.86,41.41,41.53,47651
5-Sep-17,42.80,42.87,41.01,42.01,92089
4-Sep-17,42.65,42.90,42.00,42.80,7837
1-Sep-17,42.95,42.95,42.31,42.90,2977
31-Aug-17,41.92,42.84,41.31,42.84,91554
30-Aug-17,42.74,42.90,41.31,41.85,70104
29-Aug-17,42.01,42.99,42.01,42.35,125546
28-Aug-17,42.00,43.20,41.62,42.01,18030
25-Aug-17,41.70,41.85,41.40,41.46,112312
24-Aug-17,42.73,42.73,41.12,41.60,194503
23-Aug-17,46.00,46.90,42.60,42.87,65905
22-Aug-17,47.00,47.00,46.71,46.80,2441
21-Aug-17,47.00,47.08,46.56,46.90,26698
18-Aug-17,45.98,47.00,45.52,47.00,45154
17-Aug-17,46.00,46.00,45.80,46.00,5609
16-Aug-17,45.41,46.00,45.40,46.00,11676
14-Aug-17,45.75,46.00,45.60,45.97,3515
11-Aug-17,45.68,45.89,45.45,45.75,1447
10-Aug-17,45.97,45.97,45.21,45.95,2071
9-Aug-17,45.25,46.00,44.65,45.89,17072
8-Aug-17,45.11,46.25,45.11,45.24,1619
7-Aug-17,45.71,46.00,45.10,45.10,5554
4-Aug-17,45.21,46.30,45.21,45.53,132738
3-Aug-17,45.60,45.60,45.03,45.56,310
2-Aug-17,45.88,45.88,45.02,45.50,7996
1-Aug-17,45.68,45.88,45.00,45.50,163970
31-Jul-17,45.20,45.68,44.70,45.49,25468
28-Jul-17,44.95,45.24,44.95,45.24,7109
27-Jul-17,45.28,45.28,44.86,45.15,9632
26-Jul-17,45.30,45.30,44.83,45.00,2526
25-Jul-17,45.24,45.30,44.80,45.00,18545
24-Jul-17,45.30,45.30,45.00,45.04,1446
21-Jul-17,45.12,45.35,44.64,45.34,15375
20-Jul-17,45.80,45.80,45.11,45.48,904
19-Jul-17,45.27,45.82,45.27,45.82,326
18-Jul-17,45.77,45.83,45.51,45.69,12865
17-Jul-17,44.91,45.90,44.91,45.90,678
14-Jul-17,45.65,45.65,44.65,45.38,5258
13-Jul-17,45.75,45.75,45.02,45.11,2339
12-Jul-17,45.00,45.85,44.70,45.24,22748
11-Jul-17,45.78,45.85,44.61,45.07,3726
10-Jul-17,45.50,45.50,45.08,45.37,13793
7-Jul-17,45.60,45.94,45.08,45.40,15673
6-Jul-17,45.50,45.90,44.90,45.60,24279
5-Jul-17,44.82,45.39,44.70,44.84,4694
4-Jul-17,45.10,45.10,44.40,44.60,2846
3-Jul-17,45.38,45.95,44.52,45.00,21018
30-Jun-17,45.98,45.98,44.51,45.00,50092
29-Jun-17,46.49,46.49,45.80,46.00,21790
28-Jun-17,46.42,46.60,45.33,46.16,84637
27-Jun-17,46.50,47.15,46.41,46.71,5020
26-Jun-17,45.60,47.90,45.60,46.50,43873
23-Jun-17,45.30,45.99,45.30,45.60,15641
22-Jun-17,45.19,45.19,44.90,45.00,7216
21-Jun-17,44.35,45.30,43.62,44.99,16331
20-Jun-17,43.70,44.35,43.30,44.18,1328
19-Jun-17,44.49,44.49,43.80,43.91,2001
16-Jun-17,44.60,44.60,43.65,44.49,6822
14-Jun-17,44.88,44.88,44.00,44.49,3350
13-Jun-17,43.05,44.90,43.05,44.90,6112
12-Jun-17,44.64,44.65,42.62,43.05,9463
9-Jun-17,44.88,44.88,43.81,44.75,9840
8-Jun-17,44.80,45.78,43.62,44.95,11097
7-Jun-17,44.89,45.08,44.55,44.99,1221
6-Jun-17,43.98,45.10,43.22,45.00,6912
5-Jun-17,44.24,44.24,43.12,43.88,1574
2-Jun-17,43.55,44.30,43.55,44.00,2276
