b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,13.29,13.55,13.26,13.45,5352409
14-Sep-17,13.37,13.43,13.02,13.32,1726063
13-Sep-17,13.50,13.56,13.21,13.37,1557945
12-Sep-17,13.75,14.03,13.28,13.37,2218890
11-Sep-17,13.37,13.72,13.37,13.67,1736660
8-Sep-17,13.60,13.60,12.98,13.29,3547884
7-Sep-17,13.93,14.00,13.38,13.44,5185499
6-Sep-17,14.31,14.45,13.78,13.85,3058139
5-Sep-17,14.50,14.65,14.16,14.41,1070029
4-Sep-17,14.50,14.50,14.31,14.50,672779
1-Sep-17,14.27,14.60,14.21,14.58,1217273
31-Aug-17,14.45,14.50,14.21,14.27,1746767
30-Aug-17,14.70,14.70,14.32,14.40,2064705
29-Aug-17,14.90,14.94,14.45,14.62,2293534
28-Aug-17,14.44,15.00,14.36,14.95,2665074
25-Aug-17,14.61,14.70,14.39,14.39,1418715
24-Aug-17,14.35,14.49,14.25,14.49,2662430
23-Aug-17,14.20,14.37,14.11,14.24,2046309
22-Aug-17,14.45,14.45,14.10,14.19,1716947
21-Aug-17,14.10,14.44,14.02,14.31,3211194
18-Aug-17,13.66,14.07,13.66,14.07,2506222
17-Aug-17,13.99,14.10,13.80,13.92,2288962
16-Aug-17,13.56,14.03,13.52,13.94,3302478
14-Aug-17,13.49,13.56,13.43,13.49,916311
11-Aug-17,13.00,13.52,12.93,13.49,2458499
10-Aug-17,13.21,13.28,12.92,13.03,1933856
9-Aug-17,13.50,13.53,13.05,13.21,2289546
8-Aug-17,13.46,13.54,13.39,13.50,1526578
7-Aug-17,13.47,13.54,13.35,13.46,1199085
4-Aug-17,13.50,13.59,13.42,13.42,1036138
3-Aug-17,13.34,13.55,13.25,13.50,1542289
2-Aug-17,13.30,13.57,13.30,13.34,2266377
1-Aug-17,13.11,13.29,13.08,13.29,2422106
31-Jul-17,12.84,13.22,12.82,13.10,3359029
28-Jul-17,12.62,12.92,12.62,12.89,889489
27-Jul-17,12.80,12.80,12.55,12.79,1542950
26-Jul-17,12.84,12.90,12.77,12.83,727000
25-Jul-17,13.10,13.10,12.80,12.80,2212010
24-Jul-17,13.00,13.03,12.82,13.00,970419
21-Jul-17,12.80,13.16,12.80,12.98,1813964
20-Jul-17,13.20,13.30,12.76,12.77,3081864
19-Jul-17,12.85,13.15,12.84,13.12,1517476
18-Jul-17,13.00,13.23,12.77,12.77,2158003
17-Jul-17,12.97,13.04,12.87,13.02,1485268
14-Jul-17,13.12,13.16,12.85,12.88,1960607
13-Jul-17,12.80,13.20,12.70,13.10,4572823
12-Jul-17,12.28,12.80,12.23,12.80,3504142
11-Jul-17,12.18,12.38,12.08,12.24,1237598
10-Jul-17,12.03,12.17,12.02,12.06,1172793
7-Jul-17,12.07,12.20,11.98,12.03,748657
6-Jul-17,12.00,12.14,11.97,12.10,1072327
5-Jul-17,12.00,12.05,11.91,11.94,811456
4-Jul-17,12.19,12.19,11.91,11.98,683268
3-Jul-17,12.07,12.25,12.04,12.20,696422
30-Jun-17,12.17,12.26,11.96,12.11,2643742
29-Jun-17,12.70,12.70,12.17,12.17,2073018
28-Jun-17,12.68,12.68,12.52,12.57,1582578
27-Jun-17,12.42,12.68,12.42,12.68,4269914
26-Jun-17,12.25,12.39,12.18,12.29,1609162
23-Jun-17,12.18,12.37,12.17,12.27,2114733
22-Jun-17,12.32,12.49,12.22,12.22,2038589
21-Jun-17,11.86,12.40,11.73,12.39,4281679
20-Jun-17,11.99,12.13,11.84,11.85,1907492
19-Jun-17,11.85,12.00,11.75,11.98,6344478
16-Jun-17,11.67,11.88,11.61,11.75,2796134
14-Jun-17,11.45,11.70,11.40,11.70,1517684
13-Jun-17,11.45,11.62,11.37,11.49,1194073
12-Jun-17,11.71,11.72,11.41,11.49,707922
9-Jun-17,11.68,11.81,11.65,11.71,1223806
8-Jun-17,11.66,11.82,11.54,11.69,1899595
7-Jun-17,11.58,11.88,11.46,11.75,3599620
6-Jun-17,11.29,11.60,11.23,11.60,2283607
5-Jun-17,11.64,11.66,11.36,11.38,1619377
2-Jun-17,11.35,11.64,11.27,11.64,2503983
1-Jun-17,11.10,11.25,10.91,11.20,4116102
31-May-17,11.19,11.31,10.91,10.92,5828846
30-May-17,11.45,11.49,11.11,11.17,2446986
29-May-17,11.57,11.59,11.44,11.54,524954
26-May-17,11.61,11.65,11.36,11.50,1474143
25-May-17,11.69,11.85,11.59,11.70,2441567
24-May-17,11.36,11.71,11.29,11.66,2459176
23-May-17,11.42,11.54,11.30,11.32,2099681
22-May-17,11.54,11.54,11.21,11.50,2189596
19-May-17,11.01,11.54,10.98,11.54,3559605
18-May-17,11.20,11.29,10.84,10.99,1984864
17-May-17,11.30,11.36,11.14,11.15,4195365
16-May-17,11.33,11.49,11.10,11.33,3409079
15-May-17,11.52,11.65,11.22,11.37,3981440
12-May-17,11.98,12.04,11.34,11.50,13320447
11-May-17,11.89,12.52,11.89,12.52,8411816
