b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,6.87,6.95,6.85,6.91,8792977
14-Sep-17,6.86,6.94,6.86,6.90,3823455
13-Sep-17,6.71,6.89,6.70,6.89,2396514
12-Sep-17,6.80,6.87,6.70,6.70,2083546
11-Sep-17,6.78,6.81,6.73,6.77,1904022
8-Sep-17,6.83,6.90,6.75,6.78,2497388
7-Sep-17,6.84,6.93,6.81,6.85,2860293
6-Sep-17,6.90,6.94,6.83,6.89,2553338
5-Sep-17,6.86,6.95,6.85,6.90,3152069
4-Sep-17,6.81,6.86,6.80,6.82,1364505
1-Sep-17,6.79,6.90,6.71,6.90,3810247
31-Aug-17,6.90,6.90,6.78,6.83,7961185
30-Aug-17,6.90,6.95,6.79,6.95,4242166
29-Aug-17,6.85,6.97,6.81,6.92,4874113
28-Aug-17,6.68,6.95,6.64,6.95,5979427
25-Aug-17,6.70,6.72,6.60,6.70,2734891
24-Aug-17,6.49,6.70,6.49,6.70,4496028
23-Aug-17,6.52,6.54,6.47,6.49,1461262
22-Aug-17,6.55,6.55,6.48,6.54,1394049
21-Aug-17,6.54,6.56,6.46,6.55,1502751
18-Aug-17,6.37,6.54,6.35,6.54,2830727
17-Aug-17,6.48,6.50,6.36,6.43,3212251
16-Aug-17,6.55,6.57,6.52,6.52,2634734
14-Aug-17,6.51,6.56,6.48,6.53,1045974
11-Aug-17,6.53,6.55,6.47,6.51,2232846
10-Aug-17,6.57,6.62,6.51,6.55,2451851
9-Aug-17,6.69,6.70,6.55,6.62,1991099
8-Aug-17,6.65,6.69,6.63,6.69,1884427
7-Aug-17,6.68,6.68,6.60,6.68,1455834
4-Aug-17,6.62,6.72,6.62,6.69,1780653
3-Aug-17,6.61,6.71,6.57,6.68,2401723
2-Aug-17,6.74,6.74,6.61,6.70,1878709
1-Aug-17,6.68,6.75,6.65,6.75,2712836
31-Jul-17,6.51,6.68,6.51,6.68,3491291
28-Jul-17,6.51,6.59,6.45,6.59,2422103
27-Jul-17,6.55,6.56,6.48,6.53,1274442
26-Jul-17,6.50,6.56,6.50,6.56,1447680
25-Jul-17,6.55,6.60,6.47,6.47,3086161
24-Jul-17,6.52,6.55,6.46,6.52,1735358
21-Jul-17,6.61,6.64,6.50,6.50,2467027
20-Jul-17,6.73,6.73,6.56,6.61,3378826
19-Jul-17,6.57,6.73,6.55,6.73,2616582
18-Jul-17,6.60,6.68,6.54,6.55,3527089
17-Jul-17,6.70,6.84,6.70,6.77,3721914
14-Jul-17,6.67,6.75,6.67,6.74,2643610
13-Jul-17,6.61,6.68,6.55,6.68,3881607
12-Jul-17,6.45,6.61,6.44,6.61,3717934
11-Jul-17,6.52,6.56,6.42,6.45,1197038
10-Jul-17,6.47,6.56,6.46,6.49,1786959
7-Jul-17,6.36,6.45,6.36,6.41,1769583
6-Jul-17,6.44,6.48,6.35,6.35,2122279
5-Jul-17,6.50,6.51,6.36,6.45,2495881
4-Jul-17,6.44,6.52,6.42,6.47,2730121
3-Jul-17,6.35,6.45,6.35,6.43,2287567
30-Jun-17,6.50,6.50,6.32,6.32,4403913
29-Jun-17,6.55,6.60,6.46,6.52,2191151
28-Jun-17,6.54,6.58,6.51,6.54,2531756
27-Jun-17,6.59,6.60,6.49,6.54,3335582
26-Jun-17,6.55,6.63,6.45,6.55,3494601
23-Jun-17,6.68,6.68,6.50,6.50,2546991
22-Jun-17,6.61,6.71,6.56,6.70,2199358
21-Jun-17,6.56,6.67,6.47,6.67,3603581
20-Jun-17,6.60,6.64,6.51,6.56,2212938
19-Jun-17,6.55,6.62,6.48,6.60,2273485
16-Jun-17,6.40,6.55,6.36,6.55,5426985
14-Jun-17,6.45,6.48,6.36,6.39,2565286
13-Jun-17,6.41,6.52,6.41,6.45,2030828
12-Jun-17,6.42,6.48,6.36,6.41,3006929
9-Jun-17,6.55,6.64,6.41,6.41,4242548
8-Jun-17,6.52,6.56,6.47,6.56,2951619
7-Jun-17,6.50,6.57,6.46,6.56,2980907
6-Jun-17,6.35,6.52,6.32,6.51,3157909
5-Jun-17,6.55,6.57,6.33,6.33,2254998
2-Jun-17,6.58,6.61,6.51,6.58,1462401
1-Jun-17,6.52,6.55,6.38,6.45,2231634
31-May-17,6.45,6.56,6.35,6.35,6032947
30-May-17,6.75,6.75,6.45,6.45,2491203
29-May-17,6.63,6.75,6.63,6.75,1666245
26-May-17,6.64,6.72,6.59,6.66,3416811
25-May-17,6.57,6.68,6.54,6.67,7210037
24-May-17,6.30,6.31,6.20,6.27,2366833
23-May-17,6.25,6.38,6.23,6.29,2611457
22-May-17,6.35,6.41,6.17,6.29,3561139
19-May-17,6.30,6.40,6.25,6.37,4273418
18-May-17,6.28,6.37,6.10,6.26,4696287
17-May-17,6.49,6.49,6.27,6.27,4359840
16-May-17,6.68,6.70,6.47,6.52,2373606
15-May-17,6.68,6.73,6.57,6.70,2239361
12-May-17,6.58,6.66,6.57,6.65,2052693
11-May-17,6.65,6.73,6.49,6.54,3559764
10-May-17,6.62,6.66,6.57,6.65,2408695
9-May-17,6.43,6.61,6.35,6.61,3536192
8-May-17,6.45,6.45,6.34,6.43,1583597
5-May-17,6.59,6.60,6.34,6.42,8562459
4-May-17,6.60,6.79,6.60,6.77,8588910
2-May-17,6.64,6.67,6.55,6.56,3209736
28-Apr-17,6.56,6.62,6.55,6.62,3323746
27-Apr-17,6.55,6.62,6.48,6.52,2516727
26-Apr-17,6.55,6.59,6.44,6.59,3551575
25-Apr-17,6.43,6.58,6.42,6.57,4737868
24-Apr-17,6.37,6.45,6.32,6.43,4633968
21-Apr-17,6.35,6.39,6.25,6.31,5738894
20-Apr-17,6.31,6.35,6.26,6.35,3798059
19-Apr-17,6.23,6.35,6.20,6.31,4375543
18-Apr-17,6.15,6.23,6.11,6.22,5502706
13-Apr-17,6.06,6.24,6.06,6.23,3094187
12-Apr-17,5.95,6.09,5.93,6.08,3263263
11-Apr-17,6.02,6.05,5.88,5.95,2747716
10-Apr-17,6.01,6.07,5.97,6.06,1698130
7-Apr-17,6.05,6.09,6.01,6.01,1550325
6-Apr-17,6.00,6.09,5.97,6.08,1797881
5-Apr-17,6.03,6.10,5.99,6.03,2850077
4-Apr-17,5.89,6.03,5.87,6.03,2196153
3-Apr-17,5.92,5.96,5.84,5.95,2342161
31-Mar-17,5.91,5.98,5.88,5.92,4466821
30-Mar-17,5.93,5.97,5.79,5.97,3687680
29-Mar-17,6.03,6.07,5.92,5.92,3937398
28-Mar-17,6.05,6.06,5.94,5.99,2553896
27-Mar-17,5.98,6.07,5.93,6.06,3925673
24-Mar-17,6.03,6.08,6.01,6.08,2114639
23-Mar-17,6.05,6.09,5.99,6.04,2559976
22-Mar-17,6.11,6.15,5.96,6.03,4767141
21-Mar-17,6.27,6.29,6.12,6.16,3270075
20-Mar-17,6.17,6.27,6.08,6.27,2794126
17-Mar-17,6.16,6.17,6.08,6.17,10194390
16-Mar-17,6.07,6.25,6.07,6.13,5036906
15-Mar-17,6.02,6.08,6.00,6.02,8096867
14-Mar-17,6.14,6.16,5.78,6.01,13311387
13-Mar-17,6.24,6.32,6.20,6.27,3602108
10-Mar-17,6.32,6.42,6.27,6.33,4895136
9-Mar-17,6.35,6.40,6.13,6.31,6444902
8-Mar-17,6.14,6.34,6.10,6.32,3952687
7-Mar-17,6.06,6.19,6.01,6.09,3818930
6-Mar-17,6.22,6.25,6.06,6.06,4127919
3-Mar-17,6.25,6.29,6.18,6.25,3989775
2-Mar-17,6.35,6.43,6.25,6.33,4967535
1-Mar-17,6.25,6.35,6.17,6.35,4671969
28-Feb-17,6.27,6.27,6.15,6.25,5689142
27-Feb-17,6.15,6.28,6.15,6.27,5979127
24-Feb-17,6.14,6.17,6.03,6.12,4944787
23-Feb-17,6.04,6.17,5.98,6.14,4324016
22-Feb-17,6.03,6.08,5.95,6.04,3907626
21-Feb-17,5.87,6.03,5.86,6.00,4598207
20-Feb-17,5.85,5.97,5.82,5.85,3501242
17-Feb-17,6.03,6.06,5.77,5.78,6571410
16-Feb-17,5.72,6.15,5.72,6.03,16916846
15-Feb-17,5.72,5.74,5.62,5.66,4115524
14-Feb-17,5.72,5.74,5.62,5.70,3000584
13-Feb-17,5.73,5.78,5.67,5.75,3682523
10-Feb-17,5.58,5.77,5.53,5.72,9520561
9-Feb-17,5.56,5.59,5.52,5.55,5393993
8-Feb-17,5.59,5.59,5.52,5.58,2901867
7-Feb-17,5.56,5.60,5.53,5.59,2350732
6-Feb-17,5.50,5.56,5.49,5.56,2329531
3-Feb-17,5.53,5.56,5.48,5.53,3133551
2-Feb-17,5.50,5.55,5.48,5.55,3295318
1-Feb-17,5.50,5.55,5.42,5.48,3507875
31-Jan-17,5.48,5.52,5.47,5.49,2966487
30-Jan-17,5.52,5.60,5.47,5.47,2035892
27-Jan-17,5.54,5.61,5.52,5.55,3106845
26-Jan-17,5.57,5.60,5.50,5.55,4263783
25-Jan-17,5.51,5.58,5.47,5.57,4361752
24-Jan-17,5.48,5.53,5.38,5.50,3971304
23-Jan-17,5.38,5.48,5.36,5.45,2386646
20-Jan-17,5.43,5.49,5.35,5.35,4089578
19-Jan-17,5.46,5.52,5.37,5.43,2392402
18-Jan-17,5.52,5.65,5.46,5.46,3549441
17-Jan-17,5.53,5.59,5.50,5.54,2039519
16-Jan-17,5.48,5.57,5.46,5.55,3123752
13-Jan-17,5.59,5.64,5.42,5.45,4294620
12-Jan-17,5.67,5.73,5.58,5.58,3522740
11-Jan-17,5.75,5.79,5.63,5.66,4969290
10-Jan-17,5.65,5.80,5.61,5.77,5661106
9-Jan-17,5.52,5.67,5.51,5.67,4928394
5-Jan-17,5.60,5.60,5.51,5.54,6709429
4-Jan-17,5.59,5.66,5.57,5.66,3505711
3-Jan-17,5.57,5.65,5.54,5.60,3368768
2-Jan-17,5.58,5.63,5.52,5.57,1545954
30-Dec-16,5.59,5.65,5.56,5.63,1891116
29-Dec-16,5.55,5.59,5.53,5.59,1576083
28-Dec-16,5.49,5.58,5.47,5.58,3100014
27-Dec-16,5.44,5.51,5.43,5.49,750344
