b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,126.00,127.65,125.20,126.40,1602264
14-Sep-17,125.30,126.45,125.00,126.00,436648
13-Sep-17,126.50,128.90,124.50,124.65,859898
12-Sep-17,126.00,126.30,124.95,126.25,852067
11-Sep-17,120.00,126.45,119.60,126.00,997701
8-Sep-17,118.65,119.75,118.10,119.50,502222
7-Sep-17,118.50,119.95,117.30,118.80,670135
6-Sep-17,117.00,118.60,117.00,118.60,944735
5-Sep-17,117.20,119.75,117.00,117.00,381057
4-Sep-17,117.85,117.85,116.50,117.20,346829
1-Sep-17,117.45,119.45,117.25,118.80,511034
31-Aug-17,118.50,119.60,117.35,117.90,560440
30-Aug-17,118.35,120.00,117.75,118.70,644715
29-Aug-17,119.25,120.85,115.55,117.90,1100972
28-Aug-17,115.05,120.85,115.05,119.85,947523
25-Aug-17,115.00,116.90,114.95,115.25,839222
24-Aug-17,109.15,114.50,109.15,114.05,2231003
23-Aug-17,107.75,109.10,107.35,108.80,567726
22-Aug-17,107.60,108.50,107.00,107.70,511065
21-Aug-17,108.00,109.20,107.30,108.00,611983
18-Aug-17,105.35,108.55,105.35,108.35,417983
17-Aug-17,107.60,108.55,105.60,105.60,508449
16-Aug-17,106.70,109.45,106.55,107.75,650611
14-Aug-17,106.70,107.40,105.35,106.65,295075
11-Aug-17,106.45,107.00,106.00,106.25,474341
10-Aug-17,107.35,107.80,106.50,107.00,537099
9-Aug-17,108.00,108.10,106.45,107.80,504264
8-Aug-17,105.55,108.00,105.35,108.00,598530
7-Aug-17,106.20,107.00,105.15,105.50,394322
4-Aug-17,106.95,107.70,105.85,106.15,302784
3-Aug-17,107.05,107.45,105.80,106.60,554577
2-Aug-17,107.90,108.15,106.15,106.55,338122
1-Aug-17,106.85,107.45,105.80,107.45,547346
31-Jul-17,106.50,108.90,106.00,106.35,929854
28-Jul-17,105.10,106.70,105.10,106.55,359388
27-Jul-17,108.80,108.85,105.15,105.45,453562
26-Jul-17,106.00,109.25,105.10,108.20,580315
25-Jul-17,106.15,106.75,104.60,106.05,1161525
24-Jul-17,107.20,107.20,104.50,105.90,1109481
21-Jul-17,109.50,110.20,106.20,106.35,1056430
20-Jul-17,110.70,111.90,109.35,109.90,903587
19-Jul-17,112.30,112.75,110.20,111.00,806637
18-Jul-17,113.00,113.80,111.05,111.95,577258
17-Jul-17,113.50,114.15,111.30,112.40,589431
14-Jul-17,111.50,113.20,110.10,113.00,504321
13-Jul-17,111.10,111.85,109.70,111.85,617123
12-Jul-17,110.00,113.95,110.00,112.90,646223
11-Jul-17,112.00,112.95,110.25,110.25,505525
10-Jul-17,111.60,112.80,110.60,111.50,466864
7-Jul-17,111.00,112.20,110.20,110.65,487777
6-Jul-17,113.60,113.60,109.60,111.00,691409
5-Jul-17,111.00,113.25,110.75,113.25,531828
4-Jul-17,111.00,111.45,109.55,110.35,487151
3-Jul-17,112.60,112.60,110.20,111.35,335579
30-Jun-17,114.40,114.95,111.90,111.90,753397
