b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,35.23,35.40,34.54,34.75,5694149
14-Sep-17,34.90,35.29,34.90,35.29,1597534
13-Sep-17,35.01,35.24,34.55,34.85,2254989
12-Sep-17,35.64,35.98,34.71,34.91,2293999
11-Sep-17,35.90,36.14,35.51,35.51,1652534
8-Sep-17,35.70,36.13,35.57,35.74,1284662
7-Sep-17,36.22,36.56,35.52,35.80,2017140
6-Sep-17,36.20,36.55,36.16,36.30,914928
5-Sep-17,36.63,36.93,36.26,36.51,972399
4-Sep-17,36.30,36.81,36.27,36.51,725309
1-Sep-17,36.53,36.90,36.23,36.90,841050
31-Aug-17,36.89,37.30,36.26,36.68,1660767
30-Aug-17,36.38,37.40,36.30,36.90,2519386
29-Aug-17,36.71,36.81,36.04,36.07,1720325
28-Aug-17,36.20,36.84,35.86,36.81,1768167
25-Aug-17,35.98,36.14,35.63,35.99,910662
24-Aug-17,35.10,35.84,34.95,35.79,1510922
23-Aug-17,35.03,35.26,34.64,35.09,802283
22-Aug-17,35.37,35.44,34.91,35.00,934295
21-Aug-17,35.05,35.39,34.80,35.39,418503
18-Aug-17,35.00,35.22,34.75,35.11,1184626
17-Aug-17,35.55,35.64,35.05,35.22,1132988
16-Aug-17,36.00,36.07,35.55,35.55,1668417
14-Aug-17,35.97,36.40,35.87,35.99,1082610
11-Aug-17,35.80,36.10,35.78,35.87,1475320
10-Aug-17,36.47,36.86,35.88,35.90,1910985
9-Aug-17,36.72,36.82,36.23,36.73,2044848
8-Aug-17,36.12,36.93,35.86,36.93,1495810
7-Aug-17,35.91,36.12,35.73,36.12,986434
4-Aug-17,35.56,36.30,35.56,35.85,2735137
3-Aug-17,36.01,36.27,35.51,35.51,2621247
2-Aug-17,37.16,37.45,35.89,35.99,3271709
1-Aug-17,36.80,37.43,36.80,37.28,1505577
31-Jul-17,36.55,37.09,36.55,36.83,2320149
28-Jul-17,36.15,36.73,35.96,36.73,915987
27-Jul-17,36.12,36.40,36.04,36.40,1125428
26-Jul-17,36.20,36.49,36.01,36.30,861835
25-Jul-17,36.00,36.26,35.82,36.10,2508135
24-Jul-17,35.80,36.38,35.71,36.10,1816626
21-Jul-17,35.74,36.14,35.35,35.80,2380694
20-Jul-17,36.01,36.42,35.74,35.85,2249207
19-Jul-17,35.61,36.20,35.55,36.01,3538618
18-Jul-17,35.52,35.90,35.23,35.60,1813766
17-Jul-17,34.88,35.68,34.88,35.68,2520284
14-Jul-17,34.80,34.95,34.42,34.85,1110840
13-Jul-17,35.02,35.17,34.67,34.80,1700609
12-Jul-17,34.69,35.39,34.69,35.10,1508798
11-Jul-17,34.55,34.94,34.44,34.70,1254818
10-Jul-17,35.00,35.09,34.43,34.65,836293
7-Jul-17,34.91,35.04,34.75,34.77,813243
6-Jul-17,34.50,35.10,34.43,35.01,1386492
5-Jul-17,34.45,34.83,34.41,34.52,1359126
4-Jul-17,35.05,35.09,34.50,34.50,1424181
3-Jul-17,34.46,35.47,34.36,35.47,920929
30-Jun-17,34.52,34.97,34.26,34.46,1369824
29-Jun-17,34.80,35.05,34.43,34.84,1547451
28-Jun-17,34.75,34.87,34.16,34.63,1838927
27-Jun-17,34.76,35.44,34.70,34.75,1492373
26-Jun-17,34.00,35.28,33.98,34.86,1854843
23-Jun-17,34.35,34.61,33.78,34.00,1402399
22-Jun-17,34.55,34.79,34.20,34.38,1038423
21-Jun-17,34.52,34.78,34.21,34.54,2099528
20-Jun-17,35.82,35.82,34.37,34.55,2484326
19-Jun-17,35.30,35.84,35.28,35.83,829275
16-Jun-17,34.77,35.43,34.71,35.10,3457120
14-Jun-17,35.49,35.77,34.60,34.64,2089087
13-Jun-17,35.03,35.55,34.54,35.41,1761491
12-Jun-17,35.85,35.96,34.73,34.73,1880629
9-Jun-17,36.50,37.24,35.80,35.85,2251432
8-Jun-17,35.81,36.59,35.72,36.59,1720470
7-Jun-17,35.87,36.75,35.81,35.95,2348342
6-Jun-17,35.34,36.17,35.23,35.94,1695173
5-Jun-17,35.77,35.99,35.26,35.65,1798044
2-Jun-17,35.59,35.93,35.40,35.77,1536627
1-Jun-17,36.41,36.41,35.26,35.26,2310300
31-May-17,35.22,36.51,35.12,36.51,6975170
30-May-17,35.58,35.87,35.05,35.23,1055854
29-May-17,36.00,36.17,35.65,35.72,446806
26-May-17,35.91,36.49,35.63,36.10,2221533
25-May-17,36.34,36.84,35.88,36.05,2821136
24-May-17,34.55,36.17,34.30,36.17,3350263
23-May-17,35.45,35.59,34.43,34.58,1663892
22-May-17,34.97,35.69,34.66,35.45,2174045
19-May-17,34.55,34.92,34.27,34.55,2150872
18-May-17,34.70,34.98,34.07,34.55,1471346
17-May-17,35.25,35.48,34.57,34.84,2803455
16-May-17,35.80,36.09,34.51,35.40,2950805
15-May-17,36.00,36.44,35.57,35.80,1309122
12-May-17,35.55,35.95,35.20,35.79,1693347
11-May-17,36.10,36.84,35.35,35.41,1985769
10-May-17,37.00,37.23,35.78,36.06,3221244
9-May-17,35.75,37.29,35.68,37.29,3006550
8-May-17,36.55,36.84,35.48,35.70,2269812
5-May-17,36.22,36.63,36.08,36.54,2136710
4-May-17,35.55,36.94,35.51,36.50,4953984
2-May-17,35.30,35.56,34.97,35.56,1499274
28-Apr-17,35.74,36.00,34.95,35.29,1987641
27-Apr-17,34.85,36.10,34.84,35.84,3329945
26-Apr-17,34.18,35.25,33.91,35.03,3896443
25-Apr-17,33.12,34.34,33.12,34.17,2917303
24-Apr-17,33.20,33.46,32.74,33.18,2303482
21-Apr-17,33.30,33.48,32.45,32.65,1014452
20-Apr-17,33.21,33.41,32.81,33.19,1880964
19-Apr-17,32.49,33.24,32.38,33.21,2454774
